Key	文本内容1
text_dragonTalentName1_9	Nightmare Curse
text_dragonTalentDesc1_9	Reduces the dodge of cursed enemies by 20%.
text_dragonTalentName2_9	Dark Curse
text_dragonTalentDesc2_9	Reduces healing effects of cursed enemies by 30%.
text_dragonTalentName3_9	Deep Roar
text_dragonTalentDesc3_9	Curse effects last until the end of battle.
text_dragonTalentName4_9	Evil Dragon Power
text_dragonTalentDesc4_9	<font size = #"18",color="#f0b63aff",strokeColor="#000000ff",strokeSize=2>All deployed heroes <line></font><font size = #"22",color="#fffbccff",strokeColor="#000000ff",strokeSize=2>+2.5%</font><font size = #"22",color="#fc2626ff",strokeColor="#000000ff",strokeSize=2> PvP starting rage <line></font><font size = #"18",color="#93f644ff",strokeColor="#000000ff",strokeSize=2>(increases by 0.5% for every Fate level)</font>
text_dragonName_10	Black Dragon Jorgon
text_dragonNameSimple_10	Black Dragon
text_dragonDesc_10	His round stomach gives the Black Dragon the greatest lung capacity of any dragon, letting him blast enemies with continuous demonic flames. They say none caught in the flames maintain the will to fight.
text_dragonTalentName1_10	Demon Flame Assault
text_dragonTalentDesc1_10	Reduces the attack of enemies caught in the demonic flames by 25%.
text_dragonTalentName2_10	Blink of Darkness
text_dragonTalentDesc2_10	Reduces the accuracy of enemies caught in the demonic flames by 20%.
text_dragonTalentName3_10	Black Dragon Mark
text_dragonTalentDesc3_10	Enemies caught in the demonic flames completely lose the will to move.
text_dragonTalentName4_10	Black Dragon Lineage
text_dragonTalentDesc4_10	<font size = #"18",color="#f0b63aff",strokeColor="#000000ff",strokeSize=2>All deployed heroes <line></font><font size = #"22",color="#fffbccff",strokeColor="#000000ff",strokeSize=2>+2.5%</font><font size = #"22",color="#fc2626ff",strokeColor="#000000ff",strokeSize=2> PvP healing bonus <line></font><font size = #"18",color="#93f644ff",strokeColor="#000000ff",strokeSize=2>(increases by 0.5% for every Fate level)</font>
text_vipDesc_cash	Recharge a total of %s Golden Diamonds to activate
text_vipDesc_monthCard	SP Perks Card extra daily rewards:
text_vipDesc_endVip	Receive all VIP %s perks
text_vipDesc_godShopRefresh	Daily Hero Store refreshes: %s
text_vipDesc_hardReset	Daily stage resets: %s
text_vipDesc_eliteReset	Daily stage resets: %s
text_vipDesc_normalReset	Daily stage resets: %s
text_vipDesc_exploreAccelerateTimes	Daily Base Camp Idle speedups: %s
text_vipDesc_shopLimit1	Daily 5-Star Hero Shard purchases: %s
text_vipDesc_shopLimit2	Daily Lv.1 Super Dragonite purchases: %s
text_vipDesc_shopLimit3	Daily Arena Ticket purchases: %s
text_vipDesc_citycraftChallenge	Daily Royal Clash challenge purchases: %s
text_vipDesc_altar1	Daily Altar sacrifices: %s
text_vipDesc_altar2	Daily Altar sacrifices: %s
text_vipDesc_altar3	Daily Altar sacrifices: %s
text_vipDesc_altar4	Daily Altar sacrifices: %s
text_vipDesc_vipShop0	Unlocked in VIP Store: Gold x1000000
text_vipDesc_vipShop1	Unlocked in VIP Store: Gold x1000000
text_vipDesc_vipShop2	Unlocked in VIP Store: Transcend Stone x100
text_vipDesc_vipShop3	Unlocked in VIP Store: 4-Star Hero Shard x40
text_vipDesc_vipShop4	Unlocked in VIP Store: 5-Star Hero Shard x10
text_vipDesc_vipShop5	Unlocked in VIP Store: 5hrs Speedup Card x1
text_vipDesc_vipShop6	Unlocked in VIP Store: Lucky Coin x10
text_vipDesc_vipShop7	Unlocked in VIP Store: Fancy Recruit x5
text_vipDesc_vipShop8	Unlocked in VIP Store: 5-Star Hero Shard x60
text_vipDesc_vipShop9	Unlocked in VIP Store: Royal City Knight (7 days)
text_vipDesc_vipShop10	Unlocked in VIP Store: SP Lucky Coin x5
text_vipDesc_vipShop11	Unlocked in VIP Store: Moonstone x1
text_vipDesc_vipShop12	Unlocked in VIP Store: Large Dragonite Pack x5
text_vipDesc_vipShop13	Unlocked in VIP Store: Sunstone x1
text_vipDesc_vipShop14	Unlocked in VIP Store: Lv.8 Gem Bag x1
text_vipDesc_vipShop15	Unlocked in VIP Store: Ancient Gear x1
text_vipDesc_exploreMagicConversion2	Base Camp Magic Circle conversion rate +4%
text_vipDesc_exploreMagicConversion5	Base Camp Magic Circle conversion rate +6%
text_vipDesc_exploreMagicConversion9	Base Camp Magic Circle conversion rate +10%
text_vipDesc_towerOneKey	Unlocks Complete Now in Courage Tower
text_vipDesc_luckyDragon	Participate in the Fortune event %s times
text_vipDesc_trialOneKey	Unlocks Quick Explore in Fairyland Mine
text_vipDesc_battleSpeedUp3	Unlocks 3x battle speed
text_vipDesc_exploreBossImprove	Increases Wild Goblin trigger rate by %s%%
text_vipDesc_legionConstruct	+1 daily Legion Contributions
text_vipDesc_exploreTaskExtra	+1 daily Base Camp Search Quest purchases
text_vipDesc_towerAgainTimes	+1 daily Courage Tower resets
text_vipDesc_tavernNormalLimit	Tavern Normal Recruit cap +10
text_vipDesc_signAgain	Unlocks 7 Day Sign In
text_vipDesc_investment	Unlocks Grand Investment
text_vipDesc_customWeal	Unlocks Adventurers\' Benefits extra reward
text_vipDesc_customWealOpen	Unlocks Adventurers\' Benefits
text_vipDesc_luckyWheelAdvOpen	Unlocks SP Lucky Wheel
text_recharge_weekCard	30 Days
text_recharge_monthCard	30 Days
text_recharge_other	Double
text_recharge_1	--
text_recharge_2	--
text_recharge_3	3% More
text_recharge_4	6% More
text_recharge_5	9% More
text_recharge_6	12% More
text_heroDesc_1000	An adventurer who unknowingly entered a new world and is determined to explore it in order to learn more about the divine dragons.
text_heroDesc_1001	This ranger in the forest sometimes raids traveling merchants and gives their wealth to the commoners.
text_heroDesc_1002	This cute archer is the Light Maiden\'s younger sister and possessed a strong talent for archery ever since she childhood.
text_heroDesc_2001	A wild and impulsive barbarian knight with a boar companion. Possesses immeasurable strength and loves eating chicken legs.
text_heroDesc_2002	A cute archer who has had a strong talent for archery ever since childhood.
text_heroDesc_3001	The fierce and wild Blood Axe Warrior has strong resistance to attacks.
text_heroDesc_3002	A cute mage who has had a strong talent for magic ever since childhood.
text_heroDesc_5001	The guardian of the entrance to the Elf World, his large and muscular body is the only weapon he needs.
text_heroDesc_5002	Quick and agile, wielding a spear with lightness and accuracy against all the unlucky fools who trespass in the Silent Forest.
text_heroDesc_5003	This fearless warrior of the dwarves wields a war hammer forged in dragon fire to destroy his foes in battle.
text_heroDesc_5004	The Cannon Master\'s cute and deadly guided missile pet is enough to make any enemy think twice before attacking.
text_heroDesc_5005	The queen of the Nagas, she wields dual blades of ice and defends her people with resolute determination.
text_heroDesc_5006	This ancient race existed in the time of fairytales, a people whose appearance does not change with age. On the battlefield they are a threat that cannot be ignored.
text_heroDesc_5007	The arbiter of justice, sworn to protect humanity from the invading darkness and defeat the evil of the world.
text_heroDesc_5008	A devout follower and guardian of light armed with holy arrows that send fear in the hearts of any demon who dares to invade the empire.
text_heroDesc_5009	This bloodthirsty warrior is the strongest of the Son of Darkness\'s soldiers. Like the Reaper himself, death follows wherever he goes.
text_heroDesc_5010	The deadliest arrows of the darkness fly from her hands. It is rumored that one cut from them is enough to send him into the Reaper\'s embrace.
text_heroDesc_5011	This pirate leader is wanted by the empire for commanding thousands of pirates who pillage the high seas.
text_heroDesc_5012	The best gourmet chef the empire has to offer. Rumor says his food fills you with strength and courage.
text_heroDesc_5013	Once the ruler of the desert, his greed caused his own people to trap him with a seal in the desert depths.
text_heroDesc_5014	After Pharaoh left she became the true ruler of the desert empire. Her resolute and courageous personality has won the admiration of her people.
text_heroDesc_5015	A handsome and brave knight adored by all the girls in the county.
text_heroDesc_5016	The most revered sage in the empire, and the most feared mage among his enemies.
text_heroDesc_5017	A staunch guardian of the empire and one of its toughest warriors, his bravery is unmatched on the battlefield.
text_heroDesc_5018	Under the moonlit sky, this master archer\'s sharp eyes and skill with a bow make her arrows the nightmare of all warriors.
text_heroDesc_5019	Born with a magic-resistant constitution and a talent for melee combat, his presence on the battlefield is a bane to all mages.
text_heroDesc_5020	He watches the graveyard in silence and mystery, shrouded in an aura of death that makes his enemies cower in fear.
text_heroDesc_5021	The crown prince of the empire, a skilled warrior who empathizes with the people and is loved by his subjects.
text_heroDesc_5022	This mysterious figure can be seen wandering throughout the world, feared for his strange personality and unpredictable magic.
text_heroDesc_5023	An elf warrior immune to magic. Any mage who harbors evil plans towards the race of elves falls in his presence.
text_heroDesc_5024	The most skilled archer of the elves, his strong physique darts through the forest bringing death to anyone who disrespects it.
text_heroDesc_5025	The king of the Naga on the shallow seas. He often leads his people on raids against coastal empire settlements, which has earned him the name "Tidal Calamity."
text_heroDesc_5026	The only princess of the deep sea mermaids, known for her beauty as the Pearl of the Ocean. She possesses the ability to control the seas.
text_heroDesc_5027	The lord of the undead lands. He is one of the gods most dreaded by mortals for his power to harvest the souls of all beings.
text_heroDesc_5028	This witch prodigy is adept at all magic known to the world, and is the only one who possesses the knowledge of taming dragons.
text_heroDesc_7001	The guardian of the night, the incarnation of the moon. Wherever the moonlight reaches, no evil escapes the wrath of the Moon God.
text_heroDesc_7002	The demonic presence in the night leaves only death and blood in its tracks.
text_heroDesc_7003	The son of the God of Thunder, with divine blood running through his veins. Majestic and brave, he watches over the primordial chaos on behalf of the gods.
text_heroDesc_7004	The supreme lord of the Land of Chaos.
text_teamhint_leave1	Cannot receive team bonus
text_teamhint_leave2	Partner lost
text_teamhint_leave3	Alone and isolated in team event
text_teamhint_create1	Join a team to receive team stat bonuses
text_teamhint_create2	The world is a better place with friends you can rely on.
text_teamhint_create3	Participate in fun events and have a great time.
text_teamemblem1	Team exists
text_teamemblem2	All Members Perks Card
text_teamemblem3	All Members SP Perks Card
text_teamemblem4	All Members VIP 4
text_teamemblem5	All Members VIP 6
text_teamemblem6	All Members VIP 8
text_teamemblem7	All Members VIP 10
text_teamemblem8	All Members VIP 12
text_playerTreasureSuitName1	Reaper\'s Blessings
text_playerTreasureSuitName2	Hades\' Blessings
text_playerTreasureSuitName3	War God\'s Blessings
text_playerTreasureSuitName4	Titan\'s Blessings
text_playerTreasureSuitName5	Ancient Blessings
text_playerTreasureSuitName6	Divine Blessings
text_soldierArmorName1	No Armor
text_soldierArmorName2	Cloth Armor
text_soldierArmorName3	Leather Armor
text_soldierArmorName4	Light Armor
text_soldierArmorName5	Chainmail
text_soldierArmorName6	Heavy Armor
text_soldier_1_skillName1	Strong Armor Ⅰ
text_soldier_1_skillDesc1	Troop DEF +6%
text_soldier_1_skillName2	Strong Armor Ⅱ
text_soldier_1_skillDesc2	Troop DEF 18%
text_soldier_1_skillName3	Regeneration
text_soldier_1_skillDesc3	After taking damage, troops recover 0.6% of max HP per second.
text_soldier_2_skillName1	Power Attack Ⅰ
text_soldier_2_skillDesc1	Troop ATK +3%
text_soldier_2_skillName2	Power Attack Ⅱ
text_soldier_2_skillDesc2	Troop ATK 9%
text_soldier_2_skillName3	Precision Attack
text_soldier_2_skillDesc3	Troop ATK ignores 10% of the target\'s armor.
text_soldier_3_skillName1	Endurance Ⅰ
text_soldier_3_skillDesc1	Troop HP +5%
text_soldier_3_skillName2	Endurance Ⅱ
text_soldier_3_skillDesc2	Troop HP 15%
text_soldier_3_skillName3	Siege Tactics
text_soldier_3_skillDesc3	Troops deal 20% extra damage to range units.
text_kingWar_name1	King
text_kingWar_name2	Prince
text_kingWar_name3	Duke
text_kingWar_name4	Marquis
text_kingWar_name5	Earl
text_kingWar_name6	Viscount
text_kingWar_name7	Baron
text_kingWar_name8	Honor
text_kingWar_name9	Lord
text_kingWar_name10	Knight
text_kingWar_name11	Citizen
text_general_level1	Ⅰ
text_general_level2	Ⅱ
text_general_level3	Ⅲ
text_general_level4	Ⅳ
text_general_level5	Ⅴ
text_general_level6	Ⅵ
text_general_level7	Ⅶ
text_general_level8	Ⅷ
text_general_level9	Ⅸ
text_general_level10	Ⅹ
text_worldWarScheduleDesc1	Monday - Thursday
text_worldWarScheduleDesc2	Thursday
text_worldWarScheduleDesc3	Friday
text_worldWarScheduleDesc4	Friday
text_worldWarScheduleDesc5	Saturday
text_worldWarScheduleDesc6	Saturday
text_worldWarAchievement_name_1	Points
text_worldWarAchievement_desc_1	Get a total of {1} points in Points Match.
text_worldWarAchievement_name_2	Victories
text_worldWarAchievement_desc_2	Win {1} victories in Points Match.
text_worldWarAchievement_name_3	Support
text_worldWarAchievement_desc_3	Successfully support a total of {1} times in Battle of Kings.
text_worldWarAchievement_name_4	Champion
text_worldWarAchievement_desc_4	Become champion a total of {1} times in Battle of Kings.
text_legionhint_leave1	Unable to receive legion benefits.
text_legionhint_leave2	Friend lost
text_legionhint_leave3	Unable to participate in Legion event
text_legionhint_create1	Enjoy all kinds of benefits when you join a legion.
text_legionhint_create2	The world is a better place with friends you can rely on.
text_legionhint_create3	Participate in fun events and have a great time.
text_legion_buildName1	Basic Construction
text_legion_buildName2	Adv. Construction
text_legion_buildName3	Ultimate Construction
text_legionBonFireRedPaperName_operate1	Wood Red Envelope
text_legionBonFireRedPaperName_operate2	Fire Red Envelope
text_legionBonFireRedPaperName_level1	Campfire Red Envelope (Lv.1)
text_legionBonFireRedPaperName_level2	Campfire Red Envelope (Lv.2)
text_legionBonFireRedPaperName_level3	Campfire Red Envelope (Lv.3)
text_legionBonFireRedPaperName_level4	Campfire Red Envelope (Lv.4)
text_legionBonFireRedPaperName_level5	Campfire Red Envelope (Lv.5)
text_legionLog_create	%s created a legion
text_legionLog_upgrade	Great work! The legion is now level %s!
text_legionLog_newMember	%s joined the legion.
text_legionLog_newDeputy	%s is now Legion Deputy.
text_legionLog_newMaster	%s gave Legion Leader to %s.
text_legionLog_leaveMember	%s left the legion!
text_legionLog_kickMember	%s is kicked out of the legion!
text_legionLog_setNotice	%s modified the Notice!
text_legionLog_appoint	%s has been appointed to %s.
text_legionLog_liftDuty	%s has been removed as %s.
text_legionLog_construct	%s performed a %s.
text_legionLog_impeachmentsuccess	%s impeached %s.
text_legion_magicName1	Advanced Build
text_legion_magicName2	Build Speedup
text_legion_magicName3	Assault
text_legion_magicName4	Quick Supply
text_legion_magicName5	Scout
text_legion_magicName6	Defense Up
text_legion_magicName7	Attack Up
text_legion_magicDesc1	Increases legion construction by {1}.
text_legion_magicDesc2	Increases build speed by 50% for the current round of Legion War.
text_legion_magicDesc3	Allows you to attack a city you can\'t get to.
text_legion_magicDesc4	+{1} attack chances for the current round of Legion War.
text_legion_magicDesc5	Discover 1 concealed hero.
text_legion_magicDesc6	+{1}%% damage mitigation for the current battle.
text_legion_magicDesc7	+{1}%% damage bonus for the current battle.
text_legionExploreTask	Seek Magic Card
text_legionExploreTask1	Remaining Explorations:
text_legionWar_buildName1	Base Camp
text_legionWar_buildName2	Stronghold
text_legionWar_buildName3	Stronghold
text_legionWar_buildName4	Outpost
text_legionWar_buildName5	Intel Station
text_legionWar_buildName6	Outpost
text_legionWar_buildName7	Sentry
text_legionWar_buildName8	Sentry
text_legionWar_buildName9	Sentry
text_legionWar_buildName10	Frontline Camp
text_legionWar_buildName11	Sentry
text_legionWar_buildName12	Intel Station
text_legionWar_buildName13	Intel Station
text_legionWar_buildName14	Outpost
text_legionWar_buildName15	Fortified Outpost
text_legionWar_buildName16	Outpost
text_legionWar_rankName1	New Faction
text_legionWar_rankName2	Iron Ⅲ
text_legionWar_rankName3	Iron Ⅱ
text_legionWar_rankName4	Iron Ⅰ
text_legionWar_rankName5	Bronze Ⅲ
text_legionWar_rankName6	Bronze Ⅱ
text_legionWar_rankName7	Bronze Ⅰ
text_legionWar_rankName8	Silver Ⅲ
text_legionWar_rankName9	Silver Ⅱ
text_legionWar_rankName10	Silver Ⅰ
text_legionWar_rankName11	Gold Ⅲ
text_legionWar_rankName12	Gold Ⅱ
text_legionWar_rankName13	Gold Ⅰ
text_legionWar_rankName14	Violet Gold Ⅲ
text_legionWar_rankName15	Violet Gold Ⅱ
text_legionWar_rankName16	Violet Gold Ⅰ
text_legionWar_rankName17	Diamond Ⅲ
text_legionWar_rankName18	Diamond Ⅱ
text_legionWar_rankName19	Diamond Ⅰ
text_legionWar_rankName20	Majesty Ⅲ
text_legionWar_rankName21	Majesty Ⅱ
text_legionWar_rankName22	Majesty Ⅰ
text_legionWar_rankName23	Ultimate Champion
text_legionWar_timedesc1	Preparation
text_legionWar_timedesc2	Battle
text_legionWar_timedesc3	Rest
text_bag_titleName1_0	All Items
text_bag_titleName1_1	Material
text_bag_titleName1_2	Packs, chests
text_bag_titleName1_3	Shards
text_bag_titleName1_4	Military Gear
text_bag_titleName2_0	Gem
text_bag_titleName3_0	All Gears
text_bag_titleName3_1	Gear - Helmet
text_bag_titleName3_2	Gear - Weapon
text_bag_titleName3_3	Gear - Shoulder
text_bag_titleName3_4	Gear - Armor
text_bag_titleName3_5	Gear - Cloak
text_bag_titleName3_6	Gear - Pendant
text_bag_titleName4_0	Rune
text_rune_name1	Sabotage
text_rune_desc1	This rune contains the power to destroy it all!
text_rune_name2	Resist
text_rune_desc2	Equip for strong resistance to attacks!
text_rune_name3	Insight
text_rune_desc3	Equip to see all of your enemy\'s weak spots!
text_rune_name4	Blessings
text_rune_desc4	Enjoy the miracle of being blessed by the gods!
text_magicCircleName1	Transcendence Circle
text_magicCircleName2	Awakening Circle
text_magicCircleName3	Fate Circle
text_magicConvertName1	Perks Card
text_magicConvertName2	SP Perks Card
text_magicConvertName3	VIP %s
text_magicUpgradeName1	Normal
text_magicUpgradeName2	Elite
text_magicUpgradeName3	Hard
text_magicUpgradeName4	Nightmare
text_warCollegeCourseName1	Infantry Drill 1
text_warCollegeCourseName2	Rider Drill 1
text_warCollegeCourseName3	Ranged Drill 1
text_warCollegeCourseName4	Infantry Drill 2
text_warCollegeCourseName5	Rider Drill 2
text_warCollegeCourseName6	Ranged Drill 2
text_warCollegeCourseDescribe1	Infantry hold back the enemy while ranged units rain down damage, that\'s the way to do it!
text_warCollegeCourseDescribe2	Riders outflank the enemy rider attack to protect your damage dealers!
text_warCollegeCourseDescribe3	Ranged units focus fire on enemy infantry to cover your riders\' charge!
text_warCollegeCourseDescribe4	Ranged units are only effective when the infantry stops the enemy approach!
text_warCollegeCourseDescribe5	Riders must master flanking tactics to guarantee victory!
text_warCollegeCourseDescribe6	Protect your ranged units to unlock their full damage potential!
text_dailyTaskDesc_battleFight	Complete any stage %s times
text_dailyTaskDesc_exploreSpeedUp	Use %s speedups in Idle mode
text_dailyTaskDesc_friendGive	Send gifts to friends %s times
text_dailyTaskDesc_shopBuy	Purchase %s items in Specialty Store
text_dailyTaskDesc_doWheel	Participate in Lucky Wheel %s times
text_dailyTaskDesc_cave	Complete %s Cave Explorations
text_dailyTaskDesc_equipUpgrade	Enhance gear %s times
text_dailyTaskDesc_exploreBoss	Capture %s goblins
text_dailyTaskDesc_territorywar	Occupy village land %s times
text_dailyTaskDesc_arena	Complete %s Arena challenges
text_dailyTaskDesc_tavern	Normal Recruit %s times in Tavern
text_dailyTaskDesc_tavernHigh	Fancy Recruit %s times in Tavern
text_dailyTaskDesc_tower	Reset Courage Tower %s times
text_dailyTaskDesc_superBox	Open the Dragonite Mine Ultimate Chest
text_dailyTaskDesc_supremacy	Complete %s Royal Clash challenges
text_dailyTaskDesc_legionFire	Participate in Legion Campfire %s times
text_dailyTaskDesc_teamTask	Complete %s team quests
text_dailyTaskDesc_statueAward	Get %s Midas Statue rewards
text_dailyTaskDesc_statueImprove	Modify gear %s times
text_dailyTaskDesc_exploreTask	Complete %s Base Camp Search Quests
text_dailyTaskDesc_foodFete	Perform %s Transcend Stone sacrifices
text_dailyTaskDesc_goldFete	Perform %s gold sacrifices
text_dailyTaskDesc_destinyFete	Perform %s Gem Bag sacrifices
text_dailyTaskDesc_gemFete	Perform %s EXP Potion sacrifices
text_dailyTaskDesc_build	Perform legion construction %s times
text_dailyTaskDesc_uncharted	Complete %s rounds of Fairyland Mine exploration.
text_dailyTaskDesc_food	Daily Meal
text_dailyTaskDesc_weekCard	Perks Card Pack
text_dailyTaskDesc_monthCard	SP Perks Card Pack
text_dailyTaskDesc_doubleCard	Double Card Pack
text_taskBattle	Clear normal stage {2}
text_taskElite	Clear elite stage {2}
text_taskHard	Clear hard stage {2}
text_taskNightmare	Clear nightmare stage {2}
text_taskHell	Clear hell stage {2}
text_taskLevel	Lord reaches Lv.{2}
text_taskRoleQuality	Collect {2} {1} star heros
text_taskSoldierLevel	Upgrade {2} hero troops to rank {1}
text_taskRoleReborn	Transcend {2} heroes to level {1}
text_taskLegionLevelJoin	Join a legion
text_taskLegionLevel	Reach legion level {2}
text_taskTeamLevelJoin	Join a team
text_taskTeamLevel	Reach team level {2}
text_taskFightPower	Reach {2}x10k power
text_taskLegionFire	Participate in Legion Campfire {2} times
text_getWayName1	Recharge
text_getWayName102	Adventure Normal Stage
text_getWayName202	Adventure Elite Stage
text_getWayName302	Adventure Nightmare Stage
text_getWayName400	Tavern
text_getWayName401	Tavern Normal Recruit
text_getWayName402	Tavern Fancy Recruit
text_getWayName501	Courage Tower
text_getWayName601	Base Camp Idle
text_getWayName602	Goblin
text_getWayName603	Exploration Quests
text_getWayName604	Magic Circle
text_getWayName701	Dragonite Mine
text_getWayName702	Dragonite Craft
text_getWayName703	Dragonite Conversion
text_getWayName801	Fairyland Mine
text_getWayName901	Daily Quests
text_getWayName1001	Arena
text_getWayName1101	Friend Gift
text_getWayName1201	Craft Military Gear
text_getWayName1301	Royal Clash
text_getWayName1302	Battle of Kings
text_getWayName1401	Fate Stone Craft
text_getWayName1501	Cave Exploration
text_getWayName1601	Legion Construction
text_getWayName1602	Legion Campfire
text_getWayName1603	Legion War
text_getWayName1701	Team Quests
text_getWayName1801	Gold Altar
text_getWayName1802	Transcend Altar
text_getWayName1803	Gem Bag Altar
text_getWayName1804	EXP Altar
text_getWayName1901	Deconstruct Gear
text_getWayName2001	Deconstruct Heroes
text_getWayName2101	Deconstruct Runes
text_getWayName2201	Midas Statue
text_getWayName2301	Lucky Wheel
text_getWayName2401	Hero Fusion
text_getWayName2501	Timed Exchange
text_getWayName10100	Specialty Store
text_getWayName10201	Hero Store
text_getWayName10202	Ancient Hero Store
text_getWayName10301	Modification Materials Store
text_getWayName10302	Rare Gear Stone
text_getWayName10303	Epic Gear Store
text_getWayName10304	Mythic Gear Store
text_getWayName10305	Ancient Gear Store
text_getWayName10306	Genesis Gear Store
text_getWayName10401	Activity Store
text_getWayName10501	Arena Store
text_getWayName10601	Team Store
text_getWayName10701	Legion Store
text_getWayName10801	Royal City Store
text_getWayName20001	Large Legion Chest
text_getWayName30001	Luxury Sign In
text_getWayName30002	Monthly Rebates
text_getWayDesc1	Receive tons of diamonds and VIP perks
text_getWayDesc102	Grants EXP and gear
text_getWayDesc202	Grants EXP and military gear
text_getWayDesc302	Grants EXP and Ancient Soul Crystals
text_getWayDesc400	The best way to get heroes
text_getWayDesc401	The best way to get main heroes
text_getWayDesc402	The best way to get advanced heroes
text_getWayDesc501	Grants runes and tons of resources
text_getWayDesc601	The best way to get EXP and gear
text_getWayDesc602	Capture treasure goblins
text_getWayDesc603	Exploration quests, grants great rewards
text_getWayDesc604	Grants core development resources
text_getWayDesc701	The best way to get Dragonite
text_getWayDesc702	Craft Large Dragonite
text_getWayDesc703	Get Super Dragonite
text_getWayDesc801	One of the main ways of getting Refine Stones
text_getWayDesc901	Complete quests to earn loads of rewards
text_getWayDesc1001	Earn tons of resources based on rank
text_getWayDesc1101	Send gifts to your friends
text_getWayDesc1201	Craft to get Advance Medals
text_getWayDesc1301	Nobility grants Royal Coins and gems
text_getWayDesc1302	Battle of Kings grants Fate Stones and large gems
text_getWayDesc1401	Craft to get Advanced Fate Stones
text_getWayDesc1501	Earn tons of chests
text_getWayDesc1601	All members have responsibility to build the legion
text_getWayDesc1602	Unlimited Campfire Red Envelopes
text_getWayDesc1603	Work together to become the top legion
text_getWayDesc1701	Become the strongest team of 5
text_getWayDesc1801	Pray to receive tons of Coins
text_getWayDesc1802	Pray to receive tons of Transcend Stone
text_getWayDesc1803	Pray to receive tons of Awakening Stone
text_getWayDesc1804	Pray to receive tons of EXP Potion
text_getWayDesc1901	A use for useless gear
text_getWayDesc2001	Deconstruct unneeded heroes
text_getWayDesc2101	Deconstruct unneeded runes
text_getWayDesc2201	Get mysterious rewards at the Midas Statue!
text_getWayDesc2301	Get precious items !
text_getWayDesc2401	Get super hero！
text_getWayDesc2501	You can exchange for rare items !
text_getWayDesc10100	Rare and valuable materials for sale
text_getWayDesc10201	Tons of Hero Shards for sale
text_getWayDesc10202	Sells Ancient Hero Shards
text_getWayDesc10301	Sells gear modification materials
text_getWayDesc10302	Sells rare gear
text_getWayDesc10303	Sells epic gear
text_getWayDesc10304	Sells mythic gear
text_getWayDesc10305	Sells ancient gear
text_getWayDesc10306	Sells genesis gear
text_getWayDesc10401	Use Activity Points to buy items
text_getWayDesc10501	Use Arena Tokens to buy items
text_getWayDesc10601	Use Team Tokens to buy items
text_getWayDesc10701	Use Legion Tokens to buy items
text_getWayDesc10801	Use Royal Coins to buy items
text_getWayDesc20001	Open chests for valuable rewards
text_getWayDesc30001	Get gold apples
text_getWayDesc30002	Get large amounts of gold apples
text_legionLevelHelp	Legion Level
text_legionLevelHelpTitle1	Legion Construction
text_legionLevelHelpDesc1-1	Legion Construction belongs to the legion.
text_legionLevelHelpDesc1-2	After players join a legion, any construction points they earn belong to the legion.
text_legionLevelHelpTitle2	Acquiring Legion Construction
text_legionLevelHelpDesc2-1	Legion members can perform Daily Construction
text_legionLevelHelpDesc2-2	Participate in various legion events
text_legionLevelHelpTitle3	Legion Level Up Benefits
text_legionLevelHelpDesc3-1	Increases legion member cap
text_legionLevelHelpDesc3-2	Increases Deputy and Elite position cap
text_legionLevelHelpDesc3-3	Increases Campfire EXP reward
text_legionLevelHelpDesc3-4	Challenge higher level Legion Bosses
text_teamLevelHelp	Team Level
text_teamLevelHelpTitle1	Team EXP
text_teamLevelHelpDesc1-1	Team EXP belongs to the individual player.
text_teamLevelHelpDesc1-2	Team level is determined by the sum of all members\'team EXP.
text_teamLevelHelpDesc1-3	If a member leaves the team they will take their EXP with them, and the team\'s level may decrease.
text_teamLevelHelpTitle2	Acquiring Team EXP
text_teamLevelHelpDesc2-1	Complete daily Team Quests
text_teamLevelHelpDesc2-2	Participate in team events
text_teamLevelHelpTitle3	Team Level Up Benefits
text_teamLevelHelpDesc3-1	Increases daily team benefits
text_teamLevelHelpDesc3-2	Increases Team Quest rewards
text_teamLevelHelpDesc3-3	Unlocks Team Store items
text_teamLevelHelpDesc3-4	Unlocks team events
text_team_playerJoin	%s has joined the team
text_team_playerExit	%s has left the team
text_team_playerRemove	Team leader has been kicked %s out
text_team_teamLevelUp	Team level increased to Lv.%s
text_team_teamLevelDown	Team level decreased to Lv.%s
text_team_performTask	%s completed a Team Quest, team EXP +%s
text_team_captainChange	%s is the new team leader
text_team_establishTeam	Team %s has been formed
text_talent_1000000_1	Increases ATK by 5% whenever an ally hero dies. This effect can stack and last until the end of battle.
text_talent_1000000_2	Gain an extra 30% rage whenever you kill an enemy hero.
text_talent_5001_1	When attacked by a hero, has a 20% chance to restore 3% of max HP.
text_talent_5001_2	Normal attacks have a 25% chance to increase damage taken by the target by 50% for 3 seconds.
text_talent_5002_1	When the Forest Sorceress is on the battlefield, all ally units receive +10% healing.
text_talent_5002_2	When killed in battle, immediately cast Spring Breeze.
text_talent_5003_1	Immune to stun.
text_talent_5003_2	Normal attacks against stunned targets deal an extra 30% damage.
text_talent_5004_1	Normal attacks ignore 12% of the target\'s armor.
text_talent_5004_2	Damage against targets with less than 50%, HP is increased by 20%.
text_talent_5005_1	Increases ATK by 5% for every 10% of HP lost. This effect lasts until the end of the battle.
text_talent_5005_2	40% damage mitigation when HP drops below 25%.
text_talent_5006_1	Normal attacks against targets with over 70% HP dealing an extra 30% damage.
