城池ID	城池组ID	等级限制	探索星星要求	地图碎片ID	城池名称	城池类型	城池类型2	是否翻转	默认势力	boss展示	城市坐标X	城市坐标Y	山贼坐标	背景块	功能开启	新手引导标示	开启龙	是否开启功能	是否显示进贡	进贡	战斗背景	小战斗ID	战斗ID	普通消耗粮草	普通掉落经验	挑战次数上限	掉落道具组ID	小战斗首次掉落道具	首次掉落道具	精英怪物ID	精英消耗粮草	精英掉落经验	精英挑战次数上限	精英掉落道具组ID	精英首次掉落道具	切磋怪物ID	切磋消耗粮草	切磋掉落经验	切磋挑战次数上限	切磋掉落道具组ID	太守消耗粮草	太守产出ID	巡逻每轮金币	巡逻每轮经验	巡逻掉落装备等级	巡逻掉落装备品质	巡逻掉落装备部位1	巡逻掉落装备部位2	巡逻掉落装备个数	描述	切磋描述
44	12	1	228	107	44.博望坡	4	4	0	7	1	3058.23	1989.42	46|200|-1|-100|40	15	0	0	0		1		1	20441|20442	44	5	user.xp:200	99	44	10441|10442		244	5	user.xp:200	30	244	dress.142:1	444	5	user.xp:200	5	444	2	644	86	30	50	5	3	0	1	    为抵御刘备的北伐，曹操指派大将夏侯惇、于禁、李典，于博望与刘备交战，刘备在杀伤一定曹军后退兵。日后曹操将重心转移至北方的袁谭与袁尚身上，无暇再顾及荆州的刘备，使其获得休养生息的机会，而刘表亦不愿再北伐曹操，中原南部有了数年的和平。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
45	12	1	228	30	45.新野	6	4	1	7	0	3098.31	1834.77	46|200|-1|-100|40	15	tower	17	0	千层塔	1	equip.450501.0:1,material.200001:4	1	20451|20452	45	5	user.xp:200	99	45	10451|10452		245	5	user.xp:200	30	245	dress.143:1	445	5	user.xp:200	5	445	2	645	88	30	50	5	0	0	1	    建安六年，刘备受刘表之邀驻兵在此，并三顾茅庐请出诸葛亮担任军师。建安十三年，曹操拔新野，刘备奔往江夏。三国魏黄初元年，县属魏，正始年间，荆州治所移驻新野。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
46	12	46	228	31	46.檀溪	4	1	0	7	0	2861.02	1679.64	46|200|-1|-100|40	15	goldmine	16	0	金矿	1		1	20461|20462	46	5	user.xp:200	99	46	10461|10462		246	5	user.xp:200	30	246	dress.144:1	446	5	user.xp:200	5	446	2	646	90	30	50	5	5	0	1	    檀溪，又名檀溪湖，在襄阳城西真武山北面，和汉水畔的白马洞及江中蔡家洲具为佳境。刘备曾马跃檀溪。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
47	12	1	228	32	47.上庸	3	4	0	7	0	2527.86	1822.13	46|200|-1|-100|40	15	0	0	0		1		1	20471|20472	47	5	user.xp:200	99	47	10471|10472		247	5	user.xp:200	30	247	dress.145:1	447	5	user.xp:200	5	447	2	647	92	30	50	5	1	0	1	    东汉建安二十年析汉中郡置，治所在上庸县，上庸郡辖北巫、安乐、武陵、安富、微阳5县。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
48	12	1	228	33	48.阆中	1	2	1	7	1	2203.25	1917.66	46|200|-1|-100|40	15	0	0	8		1	equip.650501.0:1,material.200001:4	1	20481|20482	48	5	user.xp:200	99	48	10481|10482	card.10012:1	248	5	user.xp:200	30	248	dress.146:1	448	5	user.xp:200	5	448	2	648	94	30	50	5	0	0	1	    阆中之地，北有曹魏，东有孙吴，是蜀汉的最前哨	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
49	13	1	258	34	49.夷陵	5	4	1	9	1	2610.77	1449.55	88|250|-15|-120|100	15	0	39	0		1		1	20491|20492	49	5	user.xp:200	99	49	10491|10492		249	5	user.xp:200	30	249	dress.151:1	449	5	user.xp:200	5	449	2	649	96	30	50	5	4	0	1	    夷陵，上控巴夔，下引荆襄，“水至此而夷，山至此而陵”，故名为“夷陵”，素有“三峡门户”之称。陆逊在夷陵一带打败蜀军。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
50	13	1	258	35	50.公安	5	5	0	9	0	3064.16	1181.57	50|250|-15|-120|100	15	0	28	0	天命	1		1	20501|20502	50	5	user.xp:200	99	50	10501|10502		250	5	user.xp:200	30	250	dress.152:1	450	5	user.xp:200	5	450	2	650	98	30	50	5	6	0	1	    209年，刘备领荆州牧，扎营油江口，取“左公安营扎寨”之意，改孱陵为公安，图谋霸业。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
51	13	49	258	36	51.江陵	3	4	0	9	0	3219.15	1596.06	50|250|-15|-120|100	15	0	0	0		1	equip.350501.0:1,material.200002:2	1	20511|20512	51	5	user.xp:200	99	51	10511|10512		251	5	user.xp:200	30	251	dress.153:1	451	5	user.xp:200	5	451	2	651	100	30	50	5	0	0	1	    南北朝时期齐国改置江陵郡。三国时期是刘表囤积兵粮物资的军事基地。208年，当周瑜在这里和曹仁大战时，中了流箭落马。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
52	14	1	276	39	52.江夏	6	5	1	9	0	3474.66	1305.09	50|250|-15|-120|100	16	0	110	0		1	equip.550501.0:1,material.200002:2	1	20521|20522	52	5	user.xp:200	99	52	10521|10522		252	5	user.xp:200	30	252	dress.154:1	452	5	user.xp:200	5	452	2	652	102	30	50	5	0	0	1	    元鼎六年汉武帝置。刘表麾下将军黄祖曾为太守，镇守此地。黄祖曾数度抵挡住孙策的猛攻，但在208年时战败而亡。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
53	14	1	276	38	53.长坂坡	4	3	0	9	0	3496.03	1665.16	50|250|-15|-120|100	16	boat1	19	0	押镖	1		1	20531|20532	53	5	user.xp:200	99	53	10531|10532		253	5	user.xp:200	30	253	dress.155:1	453	5	user.xp:200	5	453	2	653	104	30	50	5	2	0	1	    阪高即长坂或长坂坡又称长板，泛指山坡。“坡者为阪。一曰泽障也，一曰山肋也。”赵子龙单骑救主”与“张翼德大闹长坂桥”的故事就发生在这里。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
54	14	1	276	37	54.襄阳	2	6	0	9	1	3527.46	1841.04	50|250|-15|-120|100	16	0	43	0	部位精炼	1		1	20541|20542	54	5	user.xp:200	99	54	10541|10542		254	5	user.xp:200	30	254	dress.156:1	454	5	user.xp:200	5	454	2	654	106	30	60	5	3	0	1	    东汉献帝初平元年，荆州牧刘表将治所由武陵汉寿迁至襄阳。而后208年起归属曹操。219年，曹仁死守樊城，挡住关羽的水攻。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
55	15	1	294	40	55.巴丘	5	5	0	9	0	3388.95	1054.84	57|250|-30|-130|200	16	0	0	0		1	equip.150601.0:1,material.200002:2	1	20551|20552	55	5	user.xp:200	99	55	10551|10552		255	5	user.xp:200	30	255	dress.151:1	455	5	user.xp:200	5	455	2	655	108	30	60	5	0	0	1	    赤壁大战中曹军进退都经过巴丘。大战后，巴丘是孙、刘两个军事集团的交界处，周瑜于此暴疾而死。鲁肃接任率万人驻守巴丘，在洞庭湖操练水军，筑巴丘城，建阅军楼。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
56	15	1	294	41	56.武陵	6	5	1	9	0	3309.5	801.44	57|250|-30|-130|200	22	0	0	0		1		1	20561|20562	56	5	user.xp:200	99	56	10561|10562		256	5	user.xp:200	30	256	dress.152:1	456	5	user.xp:200	5	456	2	656	110	30	60	5	5	0	1	    三国时的武陵郡，治所仍在临沅，金旋曾任当地太守。208年，为刘备所陷。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
57	15	52	294	42	57.零陵	6	6	1	9	0	3403.64	509.17	57|250|-30|-130|200	22	0	112	0		1	equip.450601.0:1,material.200002:2	1	20571|20572	57	5	user.xp:200	99	57	10571|10572		257	5	user.xp:200	30	257	dress.153:1	457	5	user.xp:200	5	457	2	657	112	30	60	5	0	0	1	    三国时，为零陵郡、泉陵县治，分营阳郡，营浦治，皆隶荆州。三国时期刘度曾任当地太守。208年，被刘备所破。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
58	15	1	294	43	58.桂阳	6	5	0	9	0	3791.15	775.38	57|250|-30|-130|200	22	worldwar	22	0	群雄争霸	1		1	20581|20582	58	5	user.xp:200	99	58	10581|10582		258	5	user.xp:200	30	258	dress.154:1	458	5	user.xp:200	5	458	2	658	114	30	60	5	1	0	1	    三国时期赵范曾任当地太守。赵范曾企图游说赵云娶其嫂，但反而招惹赵云大怒。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
59	16	1	318	44	59.南海	2	6	1	9	1	4077.47	499.68	57|250|-30|-130|200	22	0	113	0		1	equip.650601.0:1,material.200002:2	1	20591|20592	59	5	user.xp:200	99	59	10591|10592		259	5	user.xp:200	30	259	dress.155:1	459	5	user.xp:200	5	459	2	659	116	30	60	5	0	0	1	    孙吴黄武五年，交州分为交、广两州，南海郡隶广州，但不久就撤销了广州，永安七年又复置广州。公元279年，发动叛变的郭马杀了南海太守刘略，并驱逐广州刺史徐旗。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
60	16	1	318	45	60.桂林	5	5	0	9	0	3041.89	397.48	57|250|-30|-130|200	22	0	0	0		1	material.200002:2	1	20601|20602	60	5	user.xp:200	99	60	10601|10602		260	5	user.xp:200	30	260	dress.156:1	460	5	user.xp:200	5	460	2	660	118	30	60	5	4	0	1	    三国吴甘露元年十一月 孙皓分零陵郡南部都尉置始安郡，始安属之并为郡治。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
61	16	1	318	46	61.交趾	1	2	0	9	1	2655.72	329.29	57|250|-30|-130|200	21	0	0	9		1	equip.250601.0:1,material.200002:2	1	20611|20612	61	5	user.xp:200	99	61	10611|10612	card.10013:1	261	5	user.xp:200	30	261	dress.161:1	461	5	user.xp:200	5	461	2	661	120	30	60	5	0	0	1	    东汉末年，占族人区连杀死汉朝的日南郡象林县令，从东汉独立，士燮一族为太守，占据了原日南郡的大部份地区，以婆罗门教为国教，建立占婆国，与东汉以顺化为界。210年，孙权派遣步陟，使其并于吴国之下。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
62	17	1	336	63	62.长沙	2	6	1	4	0	3713.46	1076.77	62|200|-1|-70|100	16	0	0	0		1		1	20621|20622	62	5	user.xp:200	99	62	10621|10622		262	5	user.xp:200	30	262	dress.162:1	462	5	user.xp:200	5	462	2	662	124	30	60	5	6	2	1	    三国时期，公元197年，孙坚平定区星的叛乱后，便成为本地的太守，后来改由韩玄担任。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
63	17	1	336	62	63.豫章	4	4	0	4	0	4129.33	1011.79	62|200|-1|-70|100	23	0	40	0		1	equip.350601.0:1,material.200002:2	1	20631|20632	63	5	user.xp:200	99	63	10631|10632		263	5	user.xp:200	30	263	dress.163:1	463	5	user.xp:200	5	463	2	663	128	30	60	5	0	0	1	    魏黄初二年，吴沿置豫章郡，治南昌，辖16县。吴太平二年建临川郡，郡治设在临汝县。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
64	17	58	336	64	64.赤壁	4	3	1	4	1	3855.15	1418.81	62|200|-1|-70|100	16	0	0	0		1		1	20641|20642	64	5	user.xp:200	99	64	10641|10642		264	5	user.xp:200	30	264	dress.164:1	464	5	user.xp:200	5	464	2	664	131	30	70	5	3	0	1	    东汉末年，孙权、刘备联军于建安十三年在长江赤壁一带大破曹操大军。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
65	17	1	336	65	65.华容	5	5	0	4	0	3642.62	1523.09	62|200|-1|-70|100	16	0	0	0		1	equip.550601.0:1,material.200002:2	1	20651|20652	65	5	user.xp:200	99	65	10651|10652		265	5	user.xp:200	30	265	dress.165:1	465	5	user.xp:200	5	465	2	665	135	30	70	5	0	0	1	    赤壁大战后，曹操被周瑜的一把火烧掉了八十七万兵马。之后曹操败走华容道，幸亏守华容的关羽故念旧恩，放了曹操一马。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
66	18	1	360	66	66.陆口	6	5	1	4	0	4328.35	1568.67	67|-200|-100|-70|70	17	0	0	0		1		1	20661|20662	66	5	user.xp:200	99	66	10661|10662		266	5	user.xp:200	30	266	dress.166:1	466	5	user.xp:200	5	466	2	666	139	30	70	5	5	0	1	    陆口位于赤壁陆水湖出长江口。兵家必争之地，当地矿产是分丰富，主要为“黄金”可以说是遍地黄金，	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
67	18	1	360	67	67.柴桑	2	6	1	4	0	4535.63	1365.28	67|-200|-100|-70|70	17	0	0	0		1	equip.150701.0:1,material.200002:2	1	20671|20672	67	5	user.xp:200	99	67	10671|10672		267	5	user.xp:200	30	267	dress.161:1	467	5	user.xp:200	5	467	2	667	143	30	70	5	0	0	1	    东汉末曹操率军自江陵东下，诸葛亮至柴桑与孙权计划抵抗曹军	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
68	18	1	360	69	68.鄱阳	5	5	0	4	0	4563.8	1060.25	63|200|-1|-70|100	17	0	0	0		1		1	20681|20682	68	5	user.xp:200	99	68	10681|10682		268	5	user.xp:200	30	268	dress.162:1	468	5	user.xp:200	5	468	2	668	146	30	70	5	1	0	1	    东汉建安十五孙权分豫章郡置鄱阳郡，治所鄱阳县	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
69	18	1	360	68	69.庐陵	5	5	0	4	1	4390.54	860.06	63|200|-1|-70|100	23	0	0	0		1	equip.450701.0:1,material.200002:2	1	20691|20692	69	5	user.xp:200	99	69	10691|10692		269	5	user.xp:200	30	269	dress.163:1	469	5	user.xp:200	5	469	2	669	150	30	70	5	0	0	1	    吉安自古人杰地灵，素有“江南望郡”、“金庐陵“、“吉州福地”、”文章节义之邦”的美誉。自秦朝建制以来，这里人才辈出，名士荟萃，文化发达，民风淳朴。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
70	19	1	384	70	70.建安	4	4	1	4	0	4866.03	929.01	71|400|-200|-70|100	23	0	0	0		1		1	20701|20702	70	5	user.xp:200	99	70	10701|10702		270	5	user.xp:200	30	270	dress.164:1	470	5	user.xp:200	5	470	2	670	154	30	70	5	4	0	1	    属扬州，三国吴景帝永安三年设立建安郡。265年，吴帝孙皓受了谗言，强迫徐绍的部属移居至此。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
71	19	1	384	71	71.丹阳	5	6	0	4	0	5020.31	1259.05	71|400|-200|-70|100	17	0	0	0		1	equip.650701.0:1,material.200002:2	1	20711|20712	71	5	user.xp:200	99	71	10711|10712		271	5	user.xp:200	30	271	dress.165:1	471	5	user.xp:200	5	471	2	671	158	30	70	5	0	0	1	    建安十三年首次分出新都郡，郡治仍治宛陵，孙权弟孙翊在丹阳做过太守，被边洪刺杀，属下戴员等反叛。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
72	19	1	384	72	72.会稽	6	5	0	4	0	5461.58	1482.41	71|400|-200|-70|100	18	0	0	0		1		1	20721|20722	72	5	user.xp:200	99	72	10721|10722		272	5	user.xp:200	30	272	dress.166:1	472	5	user.xp:200	5	472	2	672	161	30	70	5	6	0	1	    三国时期，王朗曾任会稽太守，后来被孙策镇压。221年，会稽郡属县增至31，又改山阴县为山阴侯国。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
73	20	1	402	73	73.吴郡	5	6	1	4	0	5664	1663.55	73|-230|-50|-70|100	18	0	0	0		1	equip.250701.0:1,material.200002:2	1	20731|20732	73	5	user.xp:200	99	73	10731|10732		273	5	user.xp:200	30	273	dress.171:1	473	5	user.xp:200	5	473	2	673	165	30	70	5	0	0	1	    春秋时吴王，命伍子胥筑阖闾城，以为国都，是为苏州建城之始。秦汉为会稽郡治所，因原为吴地，故名吴县。建安初，孙策平定江东后领有该郡。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
74	20	1	402	75	74.牛渚	5	6	1	4	1	5188.37	1610.95	73|-230|-50|-70|100	17	0	0	0		1		1	20741|20742	74	5	user.xp:200	99	74	10741|10742		274	5	user.xp:200	30	274	dress.172:1	474	5	user.xp:200	5	474	2	674	169	30	70	5	2	0	1	    牛渚，为兵家必争之地。民间传说，古时此洞出金牛。因此，采石矶又叫牛渚矶。这一带概称牛渚。此处向为大江战略要地，南京上游咽喉，是长江三大矶头之一，形势十分险要。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
75	20	1	402	76	75.庐江	6	5	0	4	0	4974.91	1437.55	73|-230|-50|-70|100	17	0	0	0		1		1	20751|20752	75	5	user.xp:200	99	75	10751|10752		275	5	user.xp:200	30	275	dress.173:1	475	5	user.xp:200	5	475	2	675	173	30	70	5	0	0	1	    东汉末年，汉献帝建安四年，庐江郡治迁皖城，改六县为六安县。建安十九年，吴拨皖城，庐江郡一分为二，吴庐江郡仍治舒，魏庐江郡阳泉。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
76	20	1	402	74	76.建业	1	2	0	4	1	5196.39	1775.27	73|-230|-50|-70|100	17	0	0	10		1	equip.350701.0:1,material.200003:2	1	20761|20762	76	5	user.xp:200	99	76	10761|10762	card.10015:1	276	5	user.xp:200	30	276	dress.174:1	476	5	user.xp:200	5	476	2	676	176	30	70	5	0	0	1	    东汉末年，孙权在江东积极扩张势力，于建安十六年移治秣陵。次年，改秣陵为建业，并在金陵邑的基础上修城，“用储军粮、器械”，这就是著名的石头城(又称石首城)。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
77	21	1	426	77	77.五丈原	6	4	1	3	0	1633.63	2497.14	79|-200|-20|-70|100	8	0	0	0		1	equip.550701.0:1,material.200003:2	1	20771|20772	77	5	user.xp:200	99	77	10771|10772		277	5	user.xp:200	30	277	dress.175:1	477	5	user.xp:200	5	477	2	677	180	30	70	5	0	0	1	    蜀汉丞相诸葛亮率军第五次北伐，由汉中出发，取道斜谷，穿越秦岭，进驻五丈原。在此，蜀军与魏军对峙了100余天。最后，诸葛亮病逝于此。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
78	21	64	426	78	78.阳平关	5	4	1	3	0	1589.91	2241.59	79|-200|-20|-70|100	8	0	0	0		1		1	20781|20782	78	5	user.xp:200	99	78	10781|10782		278	5	user.xp:200	30	278	dress.176:1	478	5	user.xp:200	5	478	2	678	186	30	80	5	3	0	1	    阳安关，南倚鸡公山，北濒嘉陵江，地势极为险要。南可入川，北通略阳，西至陇南，东达汉中。为军事重镇。蜀、魏的帝王将相用尽谋略的争夺之战.	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
79	21	1	426	79	79.汉中	2	6	0	3	1	1938.61	2287.19	79|-200|-20|-70|100	8	0	0	0		1	equip.150801.0:1,material.200003:2	1	20791|20792	79	5	user.xp:200	99	79	10791|10792		279	5	user.xp:200	30	279	dress.171:1	479	5	user.xp:200	5	479	2	679	193	30	80	5	0	0	1	    东汉未年张鲁据此地时更名为“汉宁郡”，215年，曹操自张鲁手中取得，恢复原名，219年，又遭刘备夺去。 	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
80	21	1	426	80	80.葭萌关	6	3	1	3	0	1803.82	2077.2	81|250|-30|-120|100	8	0	0	0		1		1	20801|20802	80	5	user.xp:200	99	80	10801|10802		280	5	user.xp:200	30	280	dress.172:1	480	5	user.xp:200	5	480	2	680	199	30	80	5	5	0	1	    刘备抗击张鲁，带领庞统、黄忠、魏延等从荆州入川，驻兵于此，“厚树恩德，广收人心”，成就蜀汉帝业，因有“蜀汉兴，隆中谋，葭萌起”民谣，改名“汉寿”，寓意汉朝统治与天地长存，与日月同寿。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
81	21	1	426	81	81.剑阁	5	3	0	3	0	1577.33	1971.14	81|250|-30|-120|100	14	0	0	0		1	equip.450801.0:1,material.200003:2	1	20811|20812	81	5	user.xp:200	99	81	10811|10812		281	5	user.xp:200	30	281	dress.173:1	481	5	user.xp:200	5	481	2	681	205	30	80	5	0	0	1	    诸葛亮以汉德县有“大剑至小剑隘束之路三十里，连山绝险”，于此“凿石架空为飞梁阁道，以通行旅”。又于大剑山峭壁中断两崖相峙处，倚崖砌石为门，置阁尉，设戍守，成为军事要隘。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
82	22	1	456	82	82.下弁	2	5	0	3	0	1155.08	2110.86	82|250|-1|-120|100	8	0	0	0		1		1	20821|20822	82	5	user.xp:200	99	82	10821|10822		282	5	user.xp:200	30	282	dress.174:1	482	5	user.xp:200	5	482	2	682	211	30	80	5	1	0	1	    汉下辩道，属武都郡。下辨之战再次发生。曹操刘备爆发汉中之战，下辨之战乃是此役的前哨战。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
83	22	1	456	83	83.沓中	9	1	0	3	0	1139.54	1897.16	82|250|-1|-120|100	14	0	0	0		1	equip.650801.0:1,material.200003:2	1	20831|20832	83	5	user.xp:200	99	83	10831|10832		283	5	user.xp:200	30	283	dress.175:1	483	5	user.xp:200	5	483	2	683	218	30	80	5	0	0	1	    沓中，处于岷山、迭山环抱中的小型盆地。姜维曾屯兵此处。赵云次子赵广战死于此地。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
84	22	1	456	84	84.白水关	5	3	1	3	1	942.89	1748.6	82|250|-1|-120|100	13	0	0	0		1		1	20841|20842	84	5	user.xp:200	99	84	10841|10842		284	5	user.xp:200	30	284	dress.176:1	484	5	user.xp:200	5	484	2	684	224	30	80	5	4	0	1	    诸葛亮伐魏，命人于景谷县（在白水关下）南二十五里之大高山作木牛流马以供运输。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
85	23	1	474	85	85.涪城	5	3	0	3	0	1119.78	1573.78	85|250|-1|-120|100	14	0	0	0		1	equip.250801.0:1,material.200003:4	1	20851|20852	85	5	user.xp:200	99	85	10851|10852		285	5	user.xp:200	30	285	dress.181:1	485	5	user.xp:200	5	485	2	685	230	30	80	5	0	0	1	    三国蜀汉年间，刘备以帮助刘璋抗拒中原为名进驻入蜀，刘璋来到此山迎接，当二刘在山上饮酒欢宴时，刘备见山下良田沃野一望无际，一派富庶丰饶景象，不禁叹道：“富哉！今日之乐乎”	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
86	23	1	474	86	86.梓潼	2	6	0	3	0	1569.48	1678.04	85|250|-1|-120|100	14	0	0	0		1		1	20861|20862	86	5	user.xp:200	99	86	10861|10862		286	5	user.xp:200	30	286	dress.182:1	486	5	user.xp:200	5	486	2	686	236	30	80	5	6	0	1	    三国时期，刘备入蜀后升格为郡，任命霍峻为太守驻守此地。蜀汉炎兴元年，曹魏遣大将军钟会、邓艾伐蜀，后主刘禅献城投降。魏灭蜀后，将蜀国划分为梁、益二州，梓潼郡仍置，隶属魏国梁州，仍分领蜀汉时所属七县。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
87	23	1	474	87	87.江油	5	3	1	3	0	1866.29	1713.57	81|250|-30|-120|100	14	0	0	0		1	equip.350801.0:1,material.200003:4	1	20871|20872	87	5	user.xp:200	99	87	10871|10872		287	5	user.xp:200	30	287	dress.183:1	487	5	user.xp:200	5	487	2	687	243	30	80	5	0	0	1	    诸葛亮挥泪斩马谡，其原因就在于马谡犯了兵家大忌，将营寨设在了山顶，最终导致街亭失守。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
88	24	1	492	89	88.永安	3	3	1	3	0	2330.35	1284.85	89|250|-60|-120|100	15	0	0	0		1		1	20881|20882	88	5	user.xp:200	99	88	10881|10882		288	5	user.xp:200	30	288	dress.184:1	488	5	user.xp:200	5	488	2	688	249	30	80	5	2	0	1	    222年，在夷陵之战大败的刘备逃入白帝城，将之改名为永安。223年，刘备亡故于此。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
89	24	1	492	90	89.江州	6	4	0	3	1	1801.42	1185.15	89|250|-60|-120|100	14	0	0	0		1	equip.550801.0:1,material.200003:4	1	20891|20892	89	5	user.xp:200	99	89	10891|10892		289	5	user.xp:200	30	289	dress.185:1	489	5	user.xp:200	5	489	2	689	255	30	80	5	0	0	1	    元康元年因江水之名而置江州。226年,蜀国的中都护-李严镇守于此,利用此处的水运之便,将其建设成一个强大城池。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
90	24	1	492	88	90.雒城	5	3	0	3	0	1617.57	1476.28	85|250|-1|-120|100	14	0	0	0		1		1	20901|20902	90	5	user.xp:200	99	90	10901|10902		290	5	user.xp:200	30	290	dress.186:1	490	5	user.xp:200	5	490	2	690	261	30	90	5	3	0	1	    雒城是成都最后一道屏障，在次爆发过雒城之战。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
