id	姓1	男人名1	女人名1
952	Smith	Eric	Grace
953	Brown	Evan	Hazel
954	Jones	Ford	Hedda
955	Davis	Gale	Helen
956	Moore	Gary	Hilda
957	White	Gene	Honey
958	Lopez	Greg	Hulda
959	Clark	Hale	Irene
960	Lewis	Hugh	Jamie
961	Perez	Hugo	Janet
962	Young	Ivan	Jenny
963	Allen	Ives	Jodie
964	Scott	Jack	Joyce
965	Green	Jeff	Julia
966	Baker	John	Julie
967	Adams	Kent	Karen
968	Evans	Kerr	Kelly
969	Gomez	King	Kitty
970	Kelly	Kirk	Laura
971	James	Kyle	Leila
972	Reyes	Leif	Leona
973	Price	Levi	Linda
974	Myers	Mark	Lydia
975	Ortiz	Matt	Mabel
976	Perry	Mick	Madge
977	Miller	Mike	Mamie
978	Garcia	Milo	Mandy
979	Wilson	Neil	Maria
980	Taylor	Nick	Mavis
981	Thomas	Noah	Megan
982	Martin	Noel	Meroy
983	Harris	Omar	Merry
984	Walker	Otis	Moira
985	Wright	Otto	Molly
986	Nelson	Owen	Myrna
987	Carter	Paul	Nancy
988	Turner	Pete	Nelly
989	Torres	Phil	Norma
990	Parker	Rock	Novia
991	Flores	Rory	Nydia
992	Morris	Ryan	Olive
993	Nguyen	Sean	Paula
994	Murphy	Stan	Pearl
995	Rivera	Toby	Penny
996	Rogers	Todd	Polly
997	Morgan	Tony	Poppy
998	Cooper	Troy	Prima
999	Bailey	Vito	Renee
1000	Howard	Wade	Sally
1001	Watson	Ward	Sandy
1002	Brooks	Webb	Sarah
1003	Hughes	Will	Sibyl
1004	Foster	Yale	Susan
1005	Powell	York	Susie
1006	Butler	Yves	Tammy
1007	Barnes	Zero	Thera
1008	Fisher	Aaron	Tobey
1009	Lee	Abner	Tracy
1010	Cox	Adair	Truda
1011	Hall	Alger	Venus
1012	King	Allen	Verna
1013	Hill	Alvin	Vicky
1014	Cook	Alvis	Viola
1015	Reed	Andre	Wanda
1016	Bell	Augus	Wendy
1017	Ward	Ansel	Winni
1018	Diaz	Aries	Xenia
1019	Wood	Arlen	Yedda
1020	Gray	Arvin	Yetta
1021	Cruz	Avery	Jo
1022	Long	Baird	Amy
1023	Ross	Baron	Ann
1024	Smith	Barry	Eve
1025	Brown	Basil	Fay
1026	Jones	Bevis	Ida
1027	Davis	Blair	Ina
1028	Moore	Blake	Ivy
1029	White	Booth	Joy
1030	Lopez	Boris	Kay
1031	Clark	Bowen	Liz
1032	Lewis	Boyce	Mag
1033	Perez	Brady	May
1034	Young	Brian	Pag
1035	Allen	Brook	Rae
1036	Scott	Bruce	Ula
1037	Green	Bruno	Una
1038	Baker	Burke	Zoe
1039	Adams	Byron	Alma
1040	Evans	Carey	Alva
1041	Gomez	Cecil	Anna
1042	Kelly	Clare	Bess
1043	James	Clark	Cara
1044	Reyes	Cliff	Cora
1045	Price	Clyde	Dale
1046	Myers	Colby	Dana
1047	Ortiz	Colin	Dawn
1048	Perry	Corey	Dora
1049	Miller	Cyril	Eden
1050	Garcia	Darcy	Ella
1051	Wilson	David	Elma
1052	Taylor	Devin	Elsa
1053	Thomas	Dylan	Elva
1054	Martin	Edgar	Emma
1055	Harris	Ellis	Enid
1056	Walker	Elmer	Erin
1057	Wright	Elroy	Gail
1058	Nelson	Elton	Gill
1059	Carter	Elvis	Hedy
1060	Turner	Enoch	Iris
1061	Torres	Felix	Irma
1062	Parker	Fitch	Jane
1063	Flores	Frank	Jean
1064	Morris	Gavin	Jill
1065	Nguyen	Giles	Joan
1066	Murphy	Glenn	Judy
1067	Rivera	Haley	June
1068	Rogers	Hardy	Kama
1069	Morgan	Harry	Lena
1070	Cooper	Henry	Lisa
1071	Bailey	Hiram	Lucy
1072	Howard	Hogan	Lynn
1073	Watson	Howar	Mary
1074	Brooks	Hyman	Maud
1075	Hughes	Isaac	Mona
1076	Foster	Jacob	Myra
1077	Powell	James	Nina
1078	Butler	Jared	Nora
1079	Barnes	Jason	Olga
1080	Fisher	Jerry	Page
1081	Lee	Jesse	Rita
1082	Cox	Jonas	Riva
1083	Hall	Keith	Rose
1084	King	Kevin	Ruby
1085	Hill	Lance	Ruth
1086	Cook	Larry	Sara
1087	Reed	Lewis	Tess
1088	Bell	Louis	Tina
1089	Ward	Magee	Vera
1090	Diaz	Marsh	Vita
1091	Wood	Merle	Zara
1092	Gray	Miles	Zona
1093	Cruz	Moore	Zora
1094	Long	Moses	Alice
1095	Ross	Myron	April
1096	Smith	Nigel	Bella
1097	Brown	Ogden	Belle
1098	Jones	Oscar	Beryl
1099	Davis	Paddy	Betsy
1100	Moore	Payne	Betty
1101	White	Perry	Carol
1102	Lopez	Peter	Cathy
1103	Clark	Primo	Chloe
1104	Lewis	Quinn	Clara
1105	Perez	Ralap	Coral
1106	Young	Regan	Daisy
1107	Allen	Robin	Debby
1108	Scott	Saxon	Delia
1109	Green	Scott	Diana
1110	Baker	Simon	Dinah
1111	Adams	Tyler	Donna
1112	Evans	Upton	Doris
1113	Gomez	Uriah	Edith
1114	Kelly	Verne	Elsie
1115	James	Wayne	Emily
1116	Reyes	Ed	Erica
1117	Price	Asa	Ethel
1118	Myers	Ben	Fanny
1119	Ortiz	Bob	Flora
1120	Perry	Don	Freda
1121	Miller	Eli	Gemma
1122	Garcia	Guy	Grace
1123	Wilson	Ian	Hazel
1124	Taylor	Ira	Hedda
1125	Thomas	Jay	Helen
1126	Martin	Jim	Hilda
1127	Harris	Ken	Honey
1128	Walker	Kim	Hulda
1129	Wright	Len	Irene
1130	Nelson	Leo	Jamie
1131	Carter	Les	Janet
1132	Turner	Lou	Jenny
1133	Torres	Max	Jodie
1134	Parker	Nat	Joyce
1135	Flores	Reg	Julia
1136	Morris	Rex	Julie
1137	Nguyen	Rod	Karen
1138	Murphy	Ron	Kelly
1139	Rivera	Roy	Kitty
1140	Rogers	Sam	Laura
1141	Morgan	Sid	Leila
1142	Cooper	Tab	Leona
1143	Bailey	Ted	Linda
1144	Howard	Tim	Lydia
1145	Watson	Tom	Mabel
1146	Brooks	Vic	Madge
1147	Hughes	Abel	Mamie
1148	Foster	Adam	Mandy
1149	Powell	Alan	Maria
1150	Butler	Amos	Mavis
1151	Barnes	Andy	Megan
1152	Fisher	Arno	Meroy
1153	Lee	Bard	Merry
1154	Cox	Bart	Moira
1155	Hall	Beau	Molly
1156	King	Beck	Myrna
1157	Hill	Berg	Nancy
1158	Cook	Bert	Nelly
1159	Reed	Bill	Norma
1160	Bell	Bing	Novia
1161	Ward	Borg	Nydia
1162	Diaz	Boyd	Olive
1163	Wood	Buck	Paula
1164	Gray	Carl	Pearl
1165	Cruz	Carr	Penny
1166	Long	Cash	Polly
1167	Ross	Chad	Poppy
1168	Smith	Dave	Prima
1169	Brown	Dean	Renee
1170	Jones	Dick	Sally
1171	Davis	Drew	Sandy
1172	Moore	Duke	Sarah
1173	White	Dunn	Sibyl
1174	Lopez	Earl	Susan
1175	Clark	Eric	Susie
1176	Lewis	Evan	Tammy
1177	Perez	Ford	Thera
1178	Young	Gale	Tobey
1179	Allen	Gary	Tracy
1180	Scott	Gene	Truda
1181	Green	Greg	Venus
1182	Baker	Hale	Verna
1183	Adams	Hugh	Vicky
1184	Evans	Hugo	Viola
1185	Gomez	Ivan	Wanda
1186	Kelly	Ives	Wendy
1187	James	Jack	Winni
1188	Reyes	Jeff	Xenia
1189	Price	John	Yedda
1190	Myers	Kent	Yetta
1191	Ortiz	Kerr	Jo
1192	Perry	King	Amy
1193	Miller	Kirk	Ann
1194	Garcia	Kyle	Eve
1195	Wilson	Leif	Fay
1196	Taylor	Levi	Ida
1197	Thomas	Mark	Ina
1198	Martin	Matt	Ivy
1199	Harris	Mick	Joy
1200	Walker	Mike	Kay
1201	Wright	Milo	Liz
1202	Nelson	Neil	Mag
1203	Carter	Nick	May
1204	Turner	Noah	Pag
1205	Torres	Noel	Rae
1206	Parker	Omar	Ula
1207	Flores	Otis	Una
1208	Morris	Otto	Zoe
1209	Nguyen	Owen	Alma
1210	Murphy	Paul	Alva
1211	Rivera	Pete	Anna
1212	Rogers	Phil	Bess
1213	Morgan	Rock	Cara
1214	Cooper	Rory	Cora
1215	Bailey	Ryan	Dale
1216	Howard	Sean	Dana
1217	Watson	Stan	Dawn
1218	Brooks	Toby	Dora
1219	Hughes	Todd	Eden
1220	Foster	Tony	Ella
1221	Powell	Troy	Elma
1222	Butler	Vito	Elsa
1223	Barnes	Wade	Elva
1224	Fisher	Ward	Emma
1225	Lee	Webb	Enid
1226	Cox	Will	Erin
1227	Hall	Yale	Gail
1228	King	York	Gill
1229	Hill	Yves	Hedy
1230	Cook	Zero	Iris
1231	Reed	Aaron	Irma
1232	Bell	Abner	Jane
1233	Ward	Adair	Jean
1234	Diaz	Alger	Jill
1235	Wood	Allen	Joan
1236	Gray	Alvin	Judy
1237	Cruz	Alvis	June
1238	Long	Andre	Kama
1239	Ross	Augus	Lena
1240	Smith	Ansel	Lisa
1241	Brown	Aries	Lucy
1242	Jones	Arlen	Lynn
1243	Davis	Arvin	Mary
1244	Moore	Avery	Maud
1245	White	Baird	Mona
1246	Lopez	Baron	Myra
1247	Clark	Barry	Nina
1248	Lewis	Basil	Nora
1249	Perez	Bevis	Olga
1250	Young	Blair	Page
1251	Allen	Blake	Rita
1252	Scott	Booth	Riva
1253	Green	Boris	Rose
1254	Baker	Bowen	Ruby
1255	Adams	Boyce	Ruth
1256	Evans	Brady	Sara
1257	Gomez	Brian	Tess
1258	Kelly	Brook	Tina
1259	James	Bruce	Vera
1260	Reyes	Bruno	Vita
1261	Price	Burke	Zara
1262	Myers	Byron	Zona
1263	Ortiz	Carey	Zora
1264	Perry	Cecil	Alice
1265	Miller	Clare	April
1266	Garcia	Clark	Bella
1267	Wilson	Cliff	Belle
1268	Taylor	Clyde	Beryl
1269	Thomas	Colby	Betsy
1270	Martin	Colin	Betty
1271	Harris	Corey	Carol
1272	Walker	Cyril	Cathy
1273	Wright	Darcy	Chloe
1274	Nelson	David	Clara
1275	Carter	Devin	Coral
1276	Turner	Dylan	Daisy
1277	Torres	Edgar	Debby
1278	Parker	Ellis	Delia
1279	Flores	Elmer	Diana
1280	Morris	Elroy	Dinah
1281	Nguyen	Elton	Donna
1282	Murphy	Elvis	Doris
1283	Rivera	Enoch	Edith
1284	Rogers	Felix	Elsie
1285	Morgan	Fitch	Emily
1286	Cooper	Frank	Erica
1287	Bailey	Gavin	Ethel
1288	Howard	Giles	Fanny
1289	Watson	Glenn	Flora
1290	Brooks	Haley	Freda
1291	Hughes	Hardy	Gemma
1292	Foster	Harry	Grace
1293	Powell	Henry	Hazel
1294	Butler	Hiram	Hedda
1295	Barnes	Hogan	Helen
1296	Fisher	Howar	Hilda
1297	Lee	Hyman	Honey
1298	Cox	Isaac	Hulda
1299	Hall	Jacob	Irene
1300	King	James	Jamie
1301	Hill	Jared	Janet
1302	Cook	Jason	Jenny
1303	Reed	Jerry	Jodie
1304	Bell	Jesse	Joyce
1305	Ward	Jonas	Julia
1306	Diaz	Keith	Julie
1307	Wood	Kevin	Karen
1308	Gray	Lance	Kelly
1309	Cruz	Larry	Kitty
1310	Long	Lewis	Laura
1311	Ross	Louis	Leila
1312	Smith	Magee	Leona
1313	Brown	Marsh	Linda
1314	Jones	Merle	Lydia
1315	Davis	Miles	Mabel
1316	Moore	Moore	Madge
1317	White	Moses	Mamie
1318	Lopez	Myron	Mandy
1319	Clark	Nigel	Maria
1320	Lewis	Ogden	Mavis
1321	Perez	Oscar	Megan
1322	Young	Paddy	Meroy
1323	Allen	Payne	Merry
1324	Scott	Perry	Moira
1325	Green	Peter	Molly
1326	Baker	Primo	Myrna
1327	Adams	Quinn	Nancy
1328	Evans	Ralap	Nelly
1329	Gomez	Regan	Norma
1330	Kelly	Robin	Novia
1331	James	Saxon	Nydia
1332	Reyes	Scott	Olive
1333	Price	Simon	Paula
1334	Myers	Tyler	Pearl
1335	Ortiz	Upton	Penny
1336	Perry	Uriah	Polly
1337	Miller	Verne	Poppy
1338	Garcia	Wayne	Prima
1339	Wilson	Ed	Renee
1340	Taylor	Asa	Sally
1341	Thomas	Ben	Sandy
1342	Martin	Bob	Sarah
1343	Harris	Don	Sibyl
1344	Walker	Eli	Susan
1345	Wright	Guy	Susie
1346	Nelson	Ian	Tammy
1347	Carter	Ira	Thera
1348	Turner	Jay	Tobey
1349	Torres	Jim	Tracy
1350	Parker	Ken	Truda
1351	Flores	Kim	Venus
1352	Morris	Len	Verna
1353	Nguyen	Leo	Vicky
1354	Murphy	Les	Viola
1355	Rivera	Lou	Wanda
1356	Rogers	Max	Wendy
1357	Morgan	Nat	Winni
1358	Cooper	Reg	Xenia
1359	Bailey	Rex	Yedda
1360	Howard	Rod	Yetta
1361	Watson	Ron	Jo
1362	Brooks	Roy	Amy
1363	Hughes	Sam	Ann
1364	Foster	Sid	Eve
1365	Powell	Tab	Fay
1366	Butler	Ted	Ida
1367	Barnes	Tim	Ina
1368	Fisher	Tom	Ivy
1369	Lee	Vic	Joy
1370	Cox	Abel	Kay
1371	Hall	Adam	Liz
1372	King	Alan	Mag
1373	Hill	Amos	May
1374	Cook	Andy	Pag
1375	Reed	Arno	Rae
1376	Bell	Bard	Ula
1377	Ward	Bart	Una
1378	Diaz	Beau	Zoe
1379	Wood	Beck	Alma
1380	Gray	Berg	Alva
1381	Cruz	Bert	Anna
1382	Long	Bill	Bess
1383	Ross	Bing	Cara
1384	Smith	Borg	Cora
1385	Brown	Boyd	Dale
1386	Jones	Buck	Dana
1387	Davis	Carl	Dawn
1388	Moore	Carr	Dora
1389	White	Cash	Eden
1390	Lopez	Chad	Ella
1391	Clark	Dave	Elma
1392	Lewis	Dean	Elsa
1393	Perez	Dick	Elva
1394	Young	Drew	Emma
1395	Allen	Duke	Enid
1396	Scott	Dunn	Erin
1397	Green	Earl	Gail
1398	Baker	Eric	Gill
1399	Adams	Evan	Hedy
1400	Evans	Ford	Iris
1401	Gomez	Gale	Irma
1402	Kelly	Gary	Jane
1403	James	Gene	Jean
1404	Reyes	Greg	Jill
1405	Price	Hale	Joan
1406	Myers	Hugh	Judy
1407	Ortiz	Hugo	June
1408	Perry	Ivan	Kama
1409	Miller	Ives	Lena
1410	Garcia	Jack	Lisa
1411	Wilson	Jeff	Lucy
1412	Taylor	John	Lynn
1413	Thomas	Kent	Mary
1414	Martin	Kerr	Maud
1415	Harris	King	Mona
1416	Walker	Kirk	Myra
1417	Wright	Kyle	Nina
1418	Nelson	Leif	Nora
1419	Carter	Levi	Olga
1420	Turner	Mark	Page
1421	Torres	Matt	Rita
1422	Parker	Mick	Riva
1423	Flores	Mike	Rose
1424	Morris	Milo	Ruby
1425	Nguyen	Neil	Ruth
1426	Murphy	Nick	Sara
1427	Rivera	Noah	Tess
1428	Rogers	Noel	Tina
1429	Morgan	Omar	Vera
1430	Cooper	Otis	Vita
1431	Bailey	Otto	Zara
1432	Howard	Owen	Zona
1433	Watson	Paul	Zora
1434	Brooks	Pete	Alice
1435	Hughes	Phil	April
1436	Foster	Rock	Bella
1437	Powell	Rory	Belle
1438	Butler	Ryan	Beryl
1439	Barnes	Sean	Betsy
1440	Fisher	Stan	Betty
1441	Lee	Toby	Carol
1442	Cox	Todd	Cathy
1443	Hall	Tony	Chloe
1444	King	Troy	Clara
1445	Hill	Vito	Coral
1446	Cook	Wade	Daisy
1447	Reed	Ward	Debby
1448	Bell	Webb	Delia
1449	Ward	Will	Diana
1450	Diaz	Yale	Dinah
1451	Wood	York	Donna
1452	Gray	Yves	Doris
1453	Cruz	Zero	Edith
1454	Long	Aaron	Elsie
1455	Ross	Abner	Emily
1456	Smith	Adair	Erica
1457	Brown	Alger	Ethel
1458	Jones	Allen	Fanny
1459	Davis	Alvin	Flora
1460	Moore	Alvis	Freda
1461	White	Andre	Gemma
1462	Lopez	Augus	Grace
1463	Clark	Ansel	Hazel
1464	Lewis	Aries	Hedda
1465	Perez	Arlen	Helen
1466	Young	Arvin	Hilda
1467	Allen	Avery	Honey
1468	Scott	Baird	Hulda
1469	Green	Baron	Irene
1470	Baker	Barry	Jamie
1471	Adams	Basil	Janet
1472	Evans	Bevis	Jenny
1473	Gomez	Blair	Jodie
1474	Kelly	Blake	Joyce
1475	James	Booth	Julia
1476	Reyes	Boris	Julie
1477	Price	Bowen	Karen
1478	Myers	Boyce	Kelly
1479	Ortiz	Brady	Kitty
1480	Perry	Brian	Laura
1481	Miller	Brook	Leila
1482	Garcia	Bruce	Leona
1483	Wilson	Bruno	Linda
1484	Taylor	Burke	Lydia
1485	Thomas	Byron	Mabel
1486	Martin	Carey	Madge
1487	Harris	Cecil	Mamie
1488	Walker	Clare	Mandy
1489	Wright	Clark	Maria
1490	Nelson	Cliff	Mavis
1491	Carter	Clyde	Megan
1492	Turner	Colby	Meroy
1493	Torres	Colin	Merry
1494	Parker	Corey	Moira
1495	Flores	Cyril	Molly
1496	Morris	Darcy	Myrna
1497	Nguyen	David	Nancy
1498	Murphy	Devin	Nelly
1499	Rivera	Dylan	Norma
1500	Rogers	Edgar	Novia
1501	Morgan	Ellis	Nydia
1502	Cooper	Elmer	Olive
1503	Bailey	Elroy	Paula
1504	Howard	Elton	Pearl
1505	Watson	Elvis	Penny
1506	Brooks	Enoch	Polly
1507	Hughes	Felix	Poppy
1508	Foster	Fitch	Prima
1509	Powell	Frank	Renee
1510	Butler	Gavin	Sally
1511	Barnes	Giles	Sandy
1512	Fisher	Glenn	Sarah
1513	Lee	Haley	Sibyl
1514	Cox	Hardy	Susan
1515	Hall	Harry	Susie
1516	King	Henry	Tammy
1517	Hill	Hiram	Thera
1518	Cook	Hogan	Tobey
1519	Reed	Howar	Tracy
1520	Bell	Hyman	Truda
1521	Ward	Isaac	Venus
1522	Diaz	Jacob	Verna
1523	Wood	James	Vicky
1524	Gray	Jared	Viola
1525	Cruz	Jason	Wanda
1526	Long	Jerry	Wendy
1527	Ross	Jesse	Winni
1528	Smith	Jonas	Xenia
1529	Brown	Keith	Yedda
1530	Jones	Kevin	Yetta
1531	Davis	Lance	Jo
1532	Moore	Larry	Amy
1533	White	Lewis	Ann
1534	Lopez	Louis	Eve
1535	Clark	Magee	Fay
1536	Lewis	Marsh	Ida
1537	Perez	Merle	Ina
1538	Young	Miles	Ivy
1539	Allen	Moore	Joy
1540	Scott	Moses	Kay
1541	Green	Myron	Liz
1542	Baker	Nigel	Mag
1543	Adams	Ogden	May
1544	Evans	Oscar	Pag
1545	Gomez	Paddy	Rae
1546	Kelly	Payne	Ula
1547	James	Perry	Una
1548	Reyes	Peter	Zoe
1549	Price	Primo	Alma
1550	Myers	Quinn	Alva
1551	Ortiz	Ralap	Anna
1552	Perry	Regan	Bess
1553	Miller	Robin	Cara
1554	Garcia	Saxon	Cora
1555	Wilson	Scott	Dale
1556	Taylor	Simon	Dana
1557	Thomas	Tyler	Dawn
1558	Martin	Upton	Dora
1559	Harris	Uriah	Eden
1560	Walker	Verne	Ella
1561	Wright	Wayne	Elma
1562	Nelson	Ed	Elsa
1563	Carter	Asa	Elva
1564	Turner	Ben	Emma
1565	Torres	Bob	Enid
1566	Parker	Don	Erin
1567	Flores	Eli	Gail
1568	Morris	Guy	Gill
1569	Nguyen	Ian	Hedy
1570	Murphy	Ira	Iris
1571	Rivera	Jay	Irma
1572	Rogers	Jim	Jane
1573	Morgan	Ken	Jean
1574	Cooper	Kim	Jill
1575	Bailey	Len	Joan
1576	Howard	Leo	Judy
1577	Watson	Les	June
1578	Brooks	Lou	Kama
1579	Hughes	Max	Lena
1580	Foster	Nat	Lisa
1581	Powell	Reg	Lucy
1582	Butler	Rex	Lynn
1583	Barnes	Rod	Mary
1584	Fisher	Ron	Maud
1585	Lee	Roy	Mona
1586	Cox	Sam	Myra
1587	Hall	Sid	Nina
1588	King	Tab	Nora
1589	Hill	Ted	Olga
1590	Cook	Tim	Page
1591	Reed	Tom	Rita
1592	Bell	Vic	Riva
1593	Ward	Abel	Rose
1594	Diaz	Adam	Ruby
1595	Wood	Alan	Ruth
1596	Gray	Amos	Sara
1597	Cruz	Andy	Tess
1598	Long	Arno	Tina
1599	Ross	Bard	Vera
1600	Smith	Bart	Vita
1601	Brown	Beau	Zara
1602	Jones	Beck	Zona
1603	Davis	Berg	Zora
1604	Moore	Bert	Alice
1605	White	Bill	April
1606	Lopez	Bing	Bella
1607	Clark	Borg	Belle
1608	Lewis	Boyd	Beryl
1609	Perez	Buck	Betsy
1610	Young	Carl	Betty
1611	Allen	Carr	Carol
1612	Scott	Cash	Cathy
1613	Green	Chad	Chloe
1614	Baker	Dave	Clara
1615	Adams	Dean	Coral
1616	Evans	Dick	Daisy
1617	Gomez	Drew	Debby
1618	Kelly	Duke	Delia
1619	James	Dunn	Diana
1620	Reyes	Earl	Dinah
1621	Price	Eric	Donna
1622	Myers	Evan	Doris
1623	Ortiz	Ford	Edith
1624	Perry	Gale	Elsie
1625	Miller	Gary	Emily
1626	Garcia	Gene	Erica
1627	Wilson	Greg	Ethel
1628	Taylor	Hale	Fanny
1629	Thomas	Hugh	Flora
1630	Martin	Hugo	Freda
1631	Harris	Ivan	Gemma
1632	Walker	Ives	Grace
1633	Wright	Jack	Hazel
1634	Nelson	Jeff	Hedda
1635	Carter	John	Helen
1636	Turner	Kent	Hilda
1637	Torres	Kerr	Honey
1638	Parker	King	Hulda
1639	Flores	Kirk	Irene
1640	Morris	Kyle	Jamie
1641	Nguyen	Leif	Janet
1642	Murphy	Levi	Jenny
1643	Rivera	Mark	Jodie
1644	Rogers	Matt	Joyce
1645	Morgan	Mick	Julia
1646	Cooper	Mike	Julie
1647	Bailey	Milo	Karen
1648	Howard	Neil	Kelly
1649	Watson	Nick	Kitty
1650	Brooks	Noah	Laura
1651	Hughes	Noel	Leila
1652	Foster	Omar	Leona
1653	Powell	Otis	Linda
1654	Butler	Otto	Lydia
1655	Barnes	Owen	Mabel
1656	Fisher	Paul	Madge
1657	Lee	Pete	Mamie
1658	Cox	Phil	Mandy
1659	Hall	Rock	Maria
1660	King	Rory	Mavis
1661	Hill	Ryan	Megan
1662	Cook	Sean	Meroy
1663	Reed	Stan	Merry
1664	Bell	Toby	Moira
1665	Ward	Todd	Molly
1666	Diaz	Tony	Myrna
1667	Wood	Troy	Nancy
1668	Gray	Vito	Nelly
1669	Cruz	Wade	Norma
1670	Long	Ward	Novia
1671	Ross	Webb	Nydia
1672	Smith	Will	Olive
1673	Brown	Yale	Paula
1674	Jones	York	Pearl
1675	Davis	Yves	Penny
1676	Moore	Zero	Polly
1677	White	Aaron	Poppy
1678	Lopez	Abner	Prima
1679	Clark	Adair	Renee
1680	Lewis	Alger	Sally
1681	Perez	Allen	Sandy
1682	Young	Alvin	Sarah
1683	Allen	Alvis	Sibyl
1684	Scott	Andre	Susan
1685	Green	Augus	Susie
1686	Baker	Ansel	Tammy
1687	Adams	Aries	Thera
1688	Evans	Arlen	Tobey
1689	Gomez	Arvin	Tracy
1690	Kelly	Avery	Truda
1691	James	Baird	Venus
1692	Reyes	Baron	Verna
1693	Price	Barry	Vicky
1694	Myers	Basil	Viola
1695	Ortiz	Bevis	Wanda
1696	Perry	Blair	Wendy
1697	Miller	Blake	Winni
1698	Garcia	Booth	Xenia
1699	Wilson	Boris	Yedda
1700	Taylor	Bowen	Yetta
1701	Thomas	Boyce	Jo
1702	Martin	Brady	Amy
1703	Harris	Brian	Ann
1704	Walker	Brook	Eve
1705	Wright	Bruce	Fay
1706	Nelson	Bruno	Ida
1707	Carter	Burke	Ina
1708	Turner	Byron	Ivy
1709	Torres	Carey	Joy
1710	Parker	Cecil	Kay
1711	Flores	Clare	Liz
1712	Morris	Clark	Mag
1713	Nguyen	Cliff	May
1714	Murphy	Clyde	Pag
1715	Rivera	Colby	Rae
1716	Rogers	Colin	Ula
1717	Morgan	Corey	Una
1718	Cooper	Cyril	Zoe
1719	Bailey	Darcy	Alma
1720	Howard	David	Alva
1721	Watson	Devin	Anna
1722	Brooks	Dylan	Bess
1723	Hughes	Edgar	Cara
1724	Foster	Ellis	Cora
1725	Powell	Elmer	Dale
1726	Butler	Elroy	Dana
1727	Barnes	Elton	Dawn
1728	Fisher	Elvis	Dora
1729	Lee	Enoch	Eden
1730	Cox	Felix	Ella
1731	Hall	Fitch	Elma
1732	King	Frank	Elsa
1733	Hill	Gavin	Elva
1734	Cook	Giles	Emma
1735	Reed	Glenn	Enid
1736	Bell	Haley	Erin
1737	Ward	Hardy	Gail
1738	Diaz	Harry	Gill
1739	Wood	Henry	Hedy
1740	Gray	Hiram	Iris
1741	Cruz	Hogan	Irma
1742	Long	Howar	Jane
1743	Ross	Hyman	Jean
1744	Smith	Isaac	Jill
1745	Brown	Jacob	Joan
1746	Jones	James	Judy
1747	Davis	Jared	June
1748	Moore	Jason	Kama
1749	White	Jerry	Lena
1750	Lopez	Jesse	Lisa
1751	Clark	Jonas	Lucy
1752	Lewis	Keith	Lynn
1753	Perez	Kevin	Mary
1754	Young	Lance	Maud
1755	Allen	Larry	Mona
1756	Scott	Lewis	Myra
1757	Green	Louis	Nina
1758	Baker	Magee	Nora
1759	Adams	Marsh	Olga
1760	Evans	Merle	Page
1761	Gomez	Miles	Rita
1762	Kelly	Moore	Riva
1763	James	Moses	Rose
1764	Reyes	Myron	Ruby
1765	Price	Nigel	Ruth
1766	Myers	Ogden	Sara
1767	Ortiz	Oscar	Tess
1768	Perry	Paddy	Tina
1769	Miller	Payne	Vera
1770	Garcia	Perry	Vita
1771	Wilson	Peter	Zara
1772	Taylor	Primo	Zona
1773	Thomas	Quinn	Zora
1774	Martin	Ralap	Alice
1775	Harris	Regan	April
1776	Walker	Robin	Bella
1777	Wright	Saxon	Belle
1778	Nelson	Scott	Beryl
1779	Carter	Simon	Betsy
1780	Turner	Tyler	Betty
1781	Torres	Upton	Carol
1782	Parker	Uriah	Cathy
1783	Flores	Verne	Chloe
1784	Morris	Wayne	Clara
1785	Nguyen	Ed	Coral
1786	Murphy	Asa	Daisy
1787	Rivera	Ben	Debby
1788	Rogers	Bob	Delia
1789	Morgan	Don	Diana
1790	Cooper	Eli	Dinah
1791	Bailey	Guy	Donna
1792	Howard	Ian	Doris
1793	Watson	Ira	Edith
1794	Brooks	Jay	Elsie
1795	Hughes	Jim	Emily
1796	Foster	Ken	Erica
1797	Powell	Kim	Ethel
1798	Butler	Len	Fanny
1799	Barnes	Leo	Flora
1800	Fisher	Les	Freda
1801	Lee	Lou	Gemma
1802	Cox	Max	Grace
1803	Hall	Nat	Hazel
1804	King	Reg	Hedda
1805	Hill	Rex	Helen
1806	Cook	Rod	Hilda
1807	Reed	Ron	Honey
1808	Bell	Roy	Hulda
1809	Ward	Sam	Irene
1810	Diaz	Sid	Jamie
1811	Wood	Tab	Janet
1812	Gray	Ted	Jenny
1813	Cruz	Tim	Jodie
1814	Long	Tom	Joyce
1815	Ross	Vic	Julia
1816	Smith	Abel	Julie
1817	Brown	Adam	Karen
1818	Jones	Alan	Kelly
1819	Davis	Amos	Kitty
1820	Moore	Andy	Laura
1821	White	Arno	Leila
1822	Lopez	Bard	Leona
1823	Clark	Bart	Linda
1824	Lewis	Beau	Lydia
1825	Perez	Beck	Mabel
1826	Young	Berg	Madge
1827	Allen	Bert	Mamie
1828	Scott	Bill	Mandy
1829	Green	Bing	Maria
1830	Baker	Borg	Mavis
1831	Adams	Boyd	Megan
1832	Evans	Buck	Meroy
1833	Gomez	Carl	Merry
1834	Kelly	Carr	Moira
1835	James	Cash	Molly
1836	Reyes	Chad	Myrna
1837	Price	Dave	Nancy
1838	Myers	Dean	Nelly
1839	Ortiz	Dick	Norma
1840	Perry	Drew	Novia
1841	Miller	Duke	Nydia
1842	Garcia	Dunn	Olive
1843	Wilson	Earl	Paula
1844	Taylor	Eric	Pearl
