强化等级	需求君主等级	白装至本级消耗	绿装至本级消耗	蓝装至本级消耗	紫装至本级消耗	橙装至本级消耗	红装至本级消耗	金装至本级消耗
213	107	user.gold:-43200	user.gold:-54000	user.gold:-64800	user.gold:-75600	user.gold:-86400	user.gold:-97200	user.gold:-108000
214	107	user.gold:-43200	user.gold:-54000	user.gold:-64800	user.gold:-75600	user.gold:-86400	user.gold:-97200	user.gold:-108000
215	108	user.gold:-43600	user.gold:-54500	user.gold:-65400	user.gold:-76300	user.gold:-87200	user.gold:-98100	user.gold:-109000
216	108	user.gold:-43600	user.gold:-54500	user.gold:-65400	user.gold:-76300	user.gold:-87200	user.gold:-98100	user.gold:-109000
217	109	user.gold:-43600	user.gold:-54500	user.gold:-65400	user.gold:-76300	user.gold:-87200	user.gold:-98100	user.gold:-109000
218	109	user.gold:-43600	user.gold:-54500	user.gold:-65400	user.gold:-76300	user.gold:-87200	user.gold:-98100	user.gold:-109000
219	110	user.gold:-43600	user.gold:-54500	user.gold:-65400	user.gold:-76300	user.gold:-87200	user.gold:-98100	user.gold:-109000
220	110	user.gold:-43600	user.gold:-54500	user.gold:-65400	user.gold:-76300	user.gold:-87200	user.gold:-98100	user.gold:-109000
221	111	user.gold:-44000	user.gold:-55000	user.gold:-66000	user.gold:-77000	user.gold:-88000	user.gold:-99000	user.gold:-110000
222	111	user.gold:-44000	user.gold:-55000	user.gold:-66000	user.gold:-77000	user.gold:-88000	user.gold:-99000	user.gold:-110000
223	112	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
224	112	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
225	113	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
226	113	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
227	114	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
228	114	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
229	115	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
230	115	user.gold:-44400	user.gold:-55500	user.gold:-66600	user.gold:-77700	user.gold:-88800	user.gold:-99900	user.gold:-111000
231	116	user.gold:-44800	user.gold:-56000	user.gold:-67200	user.gold:-78400	user.gold:-89600	user.gold:-101000	user.gold:-112000
232	116	user.gold:-44800	user.gold:-56000	user.gold:-67200	user.gold:-78400	user.gold:-89600	user.gold:-101000	user.gold:-112000
233	117	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
234	117	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
235	118	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
236	118	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
237	119	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
238	119	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
239	120	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
240	120	user.gold:-45200	user.gold:-56500	user.gold:-67800	user.gold:-79100	user.gold:-90400	user.gold:-102000	user.gold:-113000
241	121	user.gold:-45600	user.gold:-57000	user.gold:-68400	user.gold:-79800	user.gold:-91200	user.gold:-103000	user.gold:-114000
242	121	user.gold:-45600	user.gold:-57000	user.gold:-68400	user.gold:-79800	user.gold:-91200	user.gold:-103000	user.gold:-114000
243	122	user.gold:-45600	user.gold:-57000	user.gold:-68400	user.gold:-79800	user.gold:-91200	user.gold:-103000	user.gold:-114000
244	122	user.gold:-45600	user.gold:-57000	user.gold:-68400	user.gold:-79800	user.gold:-91200	user.gold:-103000	user.gold:-114000
245	123	user.gold:-45600	user.gold:-57000	user.gold:-68400	user.gold:-79800	user.gold:-91200	user.gold:-103000	user.gold:-114000
246	123	user.gold:-45600	user.gold:-57000	user.gold:-68400	user.gold:-79800	user.gold:-91200	user.gold:-103000	user.gold:-114000
247	124	user.gold:-46000	user.gold:-57500	user.gold:-69000	user.gold:-80500	user.gold:-92000	user.gold:-104000	user.gold:-115000
248	124	user.gold:-46000	user.gold:-57500	user.gold:-69000	user.gold:-80500	user.gold:-92000	user.gold:-104000	user.gold:-115000
249	125	user.gold:-46000	user.gold:-57500	user.gold:-69000	user.gold:-80500	user.gold:-92000	user.gold:-104000	user.gold:-115000
250	125	user.gold:-46000	user.gold:-57500	user.gold:-69000	user.gold:-80500	user.gold:-92000	user.gold:-104000	user.gold:-115000
251	126	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
252	126	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
253	127	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
254	127	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
255	128	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
256	128	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
257	129	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
258	129	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
259	130	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
260	130	user.gold:-46400	user.gold:-58000	user.gold:-69600	user.gold:-81200	user.gold:-92800	user.gold:-104000	user.gold:-116000
261	131	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
262	131	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
263	132	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
264	132	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
265	133	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
266	133	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
267	134	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
268	134	user.gold:-46800	user.gold:-58500	user.gold:-70200	user.gold:-81900	user.gold:-93600	user.gold:-105000	user.gold:-117000
269	135	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
270	135	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
271	136	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
272	136	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
273	137	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
274	137	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
275	138	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
276	138	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
277	139	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
278	139	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
279	140	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
280	140	user.gold:-47200	user.gold:-59000	user.gold:-70800	user.gold:-82600	user.gold:-94400	user.gold:-106000	user.gold:-118000
281	141	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
282	141	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
283	142	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
284	142	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
285	143	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
286	143	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
287	144	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
288	144	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
289	145	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
290	145	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
291	146	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
292	146	user.gold:-47600	user.gold:-59500	user.gold:-71400	user.gold:-83300	user.gold:-95200	user.gold:-107000	user.gold:-119000
293	147	user.gold:-48000	user.gold:-60000	user.gold:-72000	user.gold:-84000	user.gold:-96000	user.gold:-108000	user.gold:-120000
294	147	user.gold:-48000	user.gold:-60000	user.gold:-72000	user.gold:-84000	user.gold:-96000	user.gold:-108000	user.gold:-120000
295	148	user.gold:-48000	user.gold:-60000	user.gold:-72000	user.gold:-84000	user.gold:-96000	user.gold:-108000	user.gold:-120000
296	148	user.gold:-48000	user.gold:-60000	user.gold:-72000	user.gold:-84000	user.gold:-96000	user.gold:-108000	user.gold:-120000
297	149	user.gold:-48000	user.gold:-60000	user.gold:-72000	user.gold:-84000	user.gold:-96000	user.gold:-108000	user.gold:-120000
298	149	user.gold:-48000	user.gold:-60000	user.gold:-72000	user.gold:-84000	user.gold:-96000	user.gold:-108000	user.gold:-120000
299	150	user.gold:-50800	user.gold:-63500	user.gold:-76200	user.gold:-88900	user.gold:-102000	user.gold:-114000	user.gold:-127000
300	150	user.gold:-50800	user.gold:-63500	user.gold:-76200	user.gold:-88900	user.gold:-102000	user.gold:-114000	user.gold:-127000
