等级	君主升级经验	君至本级后体力回复量	可觉醒部位数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	出战武将数量	战队雕像赏赐掉落ID	领地金币堆	领地经验药水堆	技能槽位数量	训练馆产出经验	金矿产出	训练经验	君主经验（暂时不用）	拥军时间金币奖励	佣兵雇佣金币奖励	小兵技能升级消耗	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限1	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
98	621000	0	0	user.gold:-157000,user.hero_exp:-398000	user.gold:3391460,user.hero_exp:7219780	10	39600	7	7401	user.gold:2400	user.hero_exp:16300	5	15000	30	518000	924	166	5976	997067	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
99	643000	0	0	user.gold:-162000,user.hero_exp:-413000	user.gold:3548460,user.hero_exp:7617780	10	39800	7	7401	user.gold:2400	user.hero_exp:16500	5	15000	30	552000	931	166	5976	1079484	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
100	658000	0	0	user.gold:-168000,user.hero_exp:-425000	user.gold:3710460,user.hero_exp:8030780	10	41300	7	7401	user.gold:2400	user.hero_exp:16800	5	15000	30	587000	938	166	5976	0	100	100	100	100	100	user.salary:50	560	150	tower	0	120	1
101	675000	0	0	user.gold:-174000,user.hero_exp:-437000	user.gold:3878460,user.hero_exp:8455780	10	54950	7	7401	user.gold:2500	user.hero_exp:17000	5	15000	30	587000	939	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
102	690000	0	0	user.gold:-177000,user.hero_exp:-449000	user.gold:4052460,user.hero_exp:8892780	10	55600	7	7401	user.gold:2500	user.hero_exp:17300	5	15000	30	587000	940	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
103	706000	0	0	user.gold:-181000,user.hero_exp:-459000	user.gold:4229460,user.hero_exp:9341780	10	56200	7	7401	user.gold:2500	user.hero_exp:17500	5	15000	30	587000	941	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
104	723000	0	0	user.gold:-184000,user.hero_exp:-471000	user.gold:4410460,user.hero_exp:9800780	10	56800	7	7401	user.gold:2500	user.hero_exp:17700	5	15000	30	587000	942	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
105	743000	0	0	user.gold:-189000,user.hero_exp:-484000	user.gold:4594460,user.hero_exp:10271780	10	57950	7	7401	user.gold:2600	user.hero_exp:18000	5	15000	30	587000	943	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
106	763000	0	0	user.gold:-193000,user.hero_exp:-498000	user.gold:4783460,user.hero_exp:10755780	10	58550	7	7401	user.gold:2600	user.hero_exp:18200	5	15000	30	587000	944	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
107	781000	0	0	user.gold:-197000,user.hero_exp:-511000	user.gold:4976460,user.hero_exp:11253780	10	60100	7	7401	user.gold:2600	user.hero_exp:18400	5	15000	30	587000	945	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
108	803000	0	0	user.gold:-202000,user.hero_exp:-527000	user.gold:5173460,user.hero_exp:11764780	10	60700	7	7401	user.gold:2600	user.hero_exp:18700	5	15000	30	587000	946	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
109	826000	0	0	user.gold:-207000,user.hero_exp:-543000	user.gold:5375460,user.hero_exp:12291780	10	61250	7	7401	user.gold:2700	user.hero_exp:19000	5	15000	30	587000	947	166	5976	0	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
110	850000	0	0	user.gold:-212000,user.hero_exp:-559000	user.gold:5582460,user.hero_exp:12834780	10	61800	7	7401	user.gold:2700	user.hero_exp:19200	5	15000	30	587000	948	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
111	872000	0	0	user.gold:-218000,user.hero_exp:-574000	user.gold:5794460,user.hero_exp:13393780	10	62350	7	7401	user.gold:2700	user.hero_exp:19400	5	15000	30	587000	949	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
112	898000	0	0	user.gold:-223000,user.hero_exp:-592000	user.gold:6012460,user.hero_exp:13967780	10	62900	7	7401	user.gold:2700	user.hero_exp:19700	5	15000	30	587000	950	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
113	924000	0	0	user.gold:-229000,user.hero_exp:-611000	user.gold:6235460,user.hero_exp:14559780	10	63500	7	7401	user.gold:2800	user.hero_exp:20000	5	15000	30	587000	951	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
114	953000	0	0	user.gold:-236000,user.hero_exp:-630000	user.gold:6464460,user.hero_exp:15170780	10	65600	7	7401	user.gold:2800	user.hero_exp:20300	5	15000	30	587000	952	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
115	980000	0	0	user.gold:-242000,user.hero_exp:-649000	user.gold:6700460,user.hero_exp:15800780	10	66100	7	7401	user.gold:2800	user.hero_exp:20500	5	15000	30	587000	953	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
116	1010000	0	0	user.gold:-248000,user.hero_exp:-670000	user.gold:6942460,user.hero_exp:16449780	10	66650	7	7401	user.gold:2800	user.hero_exp:20700	5	15000	30	587000	954	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
117	1040000	0	0	user.gold:-256000,user.hero_exp:-692000	user.gold:7190460,user.hero_exp:17119780	10	67200	7	7401	user.gold:2900	user.hero_exp:21000	5	15000	30	587000	955	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
118	1070000	0	0	user.gold:-263000,user.hero_exp:-715000	user.gold:7446460,user.hero_exp:17811780	10	67750	7	7401	user.gold:2900	user.hero_exp:21300	5	15000	30	587000	956	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
119	1100000	0	0	user.gold:-270000,user.hero_exp:-736000	user.gold:7709460,user.hero_exp:18526780	10	68250	7	7401	user.gold:2900	user.hero_exp:21500	5	15000	30	587000	957	166	5976	0	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
120	1120000	0	1	user.gold:-274000,user.hero_exp:-746000	user.gold:7979460,user.hero_exp:19262780	10	68900	7	7401	user.gold:2900	user.hero_exp:21600	5	15000	30	587000	958	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
121	1130000	0	1	user.gold:-278000,user.hero_exp:-753000	user.gold:8253460,user.hero_exp:20008780	10	70900	7	7401	user.gold:2900	user.hero_exp:21700	5	15000	30	587000	959	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
122	1140000	0	1	user.gold:-281000,user.hero_exp:-763000	user.gold:8531460,user.hero_exp:20761780	10	72350	7	7401	user.gold:2900	user.hero_exp:21700	5	15000	30	587000	960	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
123	1150000	0	1	user.gold:-288000,user.hero_exp:-775000	user.gold:8812460,user.hero_exp:21524780	10	73100	7	7401	user.gold:3000	user.hero_exp:21800	5	15000	30	587000	961	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
124	1170000	0	1	user.gold:-292000,user.hero_exp:-785000	user.gold:9100460,user.hero_exp:22299780	10	73900	7	7401	user.gold:3000	user.hero_exp:21800	5	15000	30	587000	962	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
125	1180000	0	1	user.gold:-296000,user.hero_exp:-795000	user.gold:9392460,user.hero_exp:23084780	10	74650	7	7401	user.gold:3000	user.hero_exp:21900	5	15000	30	587000	963	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
126	1200000	0	1	user.gold:-300000,user.hero_exp:-806000	user.gold:9688460,user.hero_exp:23879780	10	76300	7	7401	user.gold:3000	user.hero_exp:21900	5	15000	30	587000	964	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
127	1210000	0	1	user.gold:-305000,user.hero_exp:-817000	user.gold:9988460,user.hero_exp:24685780	10	77050	7	7401	user.gold:3000	user.hero_exp:22000	5	15000	30	587000	965	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
128	1230000	0	1	user.gold:-309000,user.hero_exp:-829000	user.gold:10293460,user.hero_exp:25502780	10	77850	7	7401	user.gold:3000	user.hero_exp:22000	5	15000	30	587000	966	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
129	1250000	0	1	user.gold:-314000,user.hero_exp:-841000	user.gold:10602460,user.hero_exp:26331780	10	79300	7	7401	user.gold:3000	user.hero_exp:22100	5	15000	30	587000	967	166	5976	0	100	100	100	100	100	user.salary:50	560	170	0	0	180	1
130	1260000	0	1	user.gold:-319000,user.hero_exp:-855000	user.gold:10916460,user.hero_exp:27172780	10	80050	7	7401	user.gold:3000	user.hero_exp:22100	5	15000	30	587000	968	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
131	1280000	0	1	user.gold:-325000,user.hero_exp:-868000	user.gold:11235460,user.hero_exp:28027780	10	80850	7	7401	user.gold:3000	user.hero_exp:22200	5	15000	30	587000	969	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
132	1300000	0	1	user.gold:-330000,user.hero_exp:-883000	user.gold:11560460,user.hero_exp:28895780	10	82450	7	7401	user.gold:3000	user.hero_exp:22200	5	15000	30	587000	970	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
133	1320000	0	1	user.gold:-336000,user.hero_exp:-898000	user.gold:11890460,user.hero_exp:29778780	10	83200	7	7401	user.gold:3000	user.hero_exp:22300	5	15000	30	587000	971	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
134	1350000	0	1	user.gold:-342000,user.hero_exp:-914000	user.gold:12226460,user.hero_exp:30676780	10	83950	7	7401	user.gold:3000	user.hero_exp:22300	5	15000	30	587000	972	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
135	1370000	0	1	user.gold:-348000,user.hero_exp:-930000	user.gold:12568460,user.hero_exp:31590780	10	85400	7	7401	user.gold:3000	user.hero_exp:22400	5	15000	30	587000	973	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
136	1390000	0	1	user.gold:-355000,user.hero_exp:-947000	user.gold:12916460,user.hero_exp:32520780	10	86150	7	7401	user.gold:3000	user.hero_exp:22500	5	15000	30	587000	974	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
137	1420000	0	1	user.gold:-362000,user.hero_exp:-964000	user.gold:13271460,user.hero_exp:33467780	10	87750	7	7401	user.gold:3100	user.hero_exp:22500	5	15000	30	587000	975	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
138	1440000	0	1	user.gold:-369000,user.hero_exp:-983000	user.gold:13633460,user.hero_exp:34431780	10	88450	7	7401	user.gold:3100	user.hero_exp:22600	5	15000	30	587000	976	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
139	1470000	0	1	user.gold:-376000,user.hero_exp:-1000000	user.gold:14002460,user.hero_exp:35414780	10	89200	7	7401	user.gold:3100	user.hero_exp:22600	5	15000	30	587000	977	166	5976	0	100	100	100	100	100	user.salary:50	560	180	0	0	180	1
140	1480000	0	1	user.gold:-380000,user.hero_exp:-1010000	user.gold:14378460,user.hero_exp:36414780	10	90050	7	7401	user.gold:3100	user.hero_exp:22700	5	15000	30	587000	978	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
141	1490000	0	1	user.gold:-384000,user.hero_exp:-1020000	user.gold:14758460,user.hero_exp:37424780	10	91550	7	7401	user.gold:3100	user.hero_exp:22700	5	15000	30	587000	979	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
142	1510000	0	1	user.gold:-389000,user.hero_exp:-1030000	user.gold:15142460,user.hero_exp:38444780	10	93000	7	7401	user.gold:3100	user.hero_exp:22800	5	15000	30	587000	980	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
143	1520000	0	1	user.gold:-394000,user.hero_exp:-1040000	user.gold:15531460,user.hero_exp:39474780	10	93650	7	7401	user.gold:3100	user.hero_exp:22900	5	15000	30	587000	981	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
144	1540000	0	1	user.gold:-399000,user.hero_exp:-1060000	user.gold:15925460,user.hero_exp:40514780	10	95050	7	7401	user.gold:3100	user.hero_exp:22900	5	15000	30	587000	982	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
145	1560000	0	1	user.gold:-405000,user.hero_exp:-1070000	user.gold:16324460,user.hero_exp:41574780	10	95700	7	7401	user.gold:3100	user.hero_exp:23000	5	15000	30	587000	983	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
146	1580000	0	1	user.gold:-410000,user.hero_exp:-1080000	user.gold:16729460,user.hero_exp:42644780	10	96350	7	7401	user.gold:3100	user.hero_exp:23100	5	15000	30	587000	984	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
147	1590000	0	1	user.gold:-415000,user.hero_exp:-1090000	user.gold:17139460,user.hero_exp:43724780	10	97850	7	7401	user.gold:3100	user.hero_exp:23100	5	15000	30	587000	985	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
148	1610000	0	1	user.gold:-421000,user.hero_exp:-1110000	user.gold:17554460,user.hero_exp:44814780	10	98450	7	7401	user.gold:3100	user.hero_exp:23200	5	15000	30	587000	986	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
149	1630000	0	1	user.gold:-427000,user.hero_exp:-1120000	user.gold:17975460,user.hero_exp:45924780	10	99100	7	7401	user.gold:3200	user.hero_exp:23300	5	15000	30	587000	987	166	5976	0	100	100	100	100	100	user.salary:50	560	190	0	0	180	1
150	1660000	0	1	user.gold:-437000,user.hero_exp:-1160000	user.gold:18402460,user.hero_exp:47044780	10	99700	7	7401	user.gold:3200	user.hero_exp:23300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
151	1680000	0	1	user.gold:-444000,user.hero_exp:-1170000	user.gold:18839460,user.hero_exp:48204780	10	100300	7	7401	user.gold:3200	user.hero_exp:23400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
152	1700000	0	1	user.gold:-451000,user.hero_exp:-1190000	user.gold:19283460,user.hero_exp:49374780	10	100900	7	7401	user.gold:3200	user.hero_exp:23500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
153	1730000	0	1	user.gold:-458000,user.hero_exp:-1210000	user.gold:19734460,user.hero_exp:50564780	10	108900	7	7401	user.gold:3200	user.hero_exp:23500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
154	1750000	0	1	user.gold:-465000,user.hero_exp:-1230000	user.gold:20192460,user.hero_exp:51774780	10	109450	7	7401	user.gold:3200	user.hero_exp:23600	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
155	1780000	0	1	user.gold:-472000,user.hero_exp:-1250000	user.gold:20657460,user.hero_exp:53004780	10	110050	7	7401	user.gold:3200	user.hero_exp:23700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
156	1810000	0	1	user.gold:-480000,user.hero_exp:-1270000	user.gold:21129460,user.hero_exp:54254780	10	110600	7	7401	user.gold:3200	user.hero_exp:23800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
157	1830000	0	1	user.gold:-488000,user.hero_exp:-1290000	user.gold:21609460,user.hero_exp:55524780	10	111150	7	7401	user.gold:3200	user.hero_exp:23800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
158	1860000	0	1	user.gold:-496000,user.hero_exp:-1310000	user.gold:22097460,user.hero_exp:56814780	10	111750	7	7401	user.gold:3200	user.hero_exp:23900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
159	1890000	0	1	user.gold:-505000,user.hero_exp:-1330000	user.gold:22593460,user.hero_exp:58124780	10	112300	7	7401	user.gold:3300	user.hero_exp:24000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
160	1910000	0	2	user.gold:-510000,user.hero_exp:-1350000	user.gold:23098460,user.hero_exp:59454780	10	112950	7	7401	user.gold:3300	user.hero_exp:24100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
161	1920000	0	2	user.gold:-516000,user.hero_exp:-1360000	user.gold:23608460,user.hero_exp:60804780	10	114200	7	7401	user.gold:3300	user.hero_exp:24100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
162	1940000	0	2	user.gold:-521000,user.hero_exp:-1370000	user.gold:24124460,user.hero_exp:62164780	10	115400	7	7401	user.gold:3300	user.hero_exp:24200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
163	1960000	0	2	user.gold:-526000,user.hero_exp:-1390000	user.gold:24645460,user.hero_exp:63534780	10	116650	7	7401	user.gold:3300	user.hero_exp:24300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
164	1980000	0	2	user.gold:-532000,user.hero_exp:-1400000	user.gold:25171460,user.hero_exp:64924780	10	117900	7	7401	user.gold:3300	user.hero_exp:24400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
165	2000000	0	2	user.gold:-538000,user.hero_exp:-1420000	user.gold:25703460,user.hero_exp:66324780	10	119100	7	7401	user.gold:3300	user.hero_exp:24400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
166	2020000	0	2	user.gold:-544000,user.hero_exp:-1430000	user.gold:26241460,user.hero_exp:67744780	10	120350	7	7401	user.gold:3300	user.hero_exp:24500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
167	2040000	0	2	user.gold:-550000,user.hero_exp:-1450000	user.gold:26785460,user.hero_exp:69174780	10	121550	7	7401	user.gold:3300	user.hero_exp:24600	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
168	2070000	0	2	user.gold:-558000,user.hero_exp:-1470000	user.gold:27335460,user.hero_exp:70624780	10	122800	7	7401	user.gold:3400	user.hero_exp:24700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
169	2090000	0	2	user.gold:-566000,user.hero_exp:-1490000	user.gold:27893460,user.hero_exp:72094780	10	124000	7	7401	user.gold:3400	user.hero_exp:24700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
170	2120000	0	2	user.gold:-576000,user.hero_exp:-1510000	user.gold:28459460,user.hero_exp:73584780	10	125250	7	7401	user.gold:3400	user.hero_exp:24900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
171	2140000	0	2	user.gold:-584000,user.hero_exp:-1530000	user.gold:29035460,user.hero_exp:75094780	10	126500	7	7401	user.gold:3400	user.hero_exp:24900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
172	2170000	0	2	user.gold:-593000,user.hero_exp:-1550000	user.gold:29619460,user.hero_exp:76624780	10	127750	7	7401	user.gold:3400	user.hero_exp:25000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
173	2200000	0	2	user.gold:-601000,user.hero_exp:-1570000	user.gold:30212460,user.hero_exp:78174780	10	129000	7	7401	user.gold:3400	user.hero_exp:25100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
174	2230000	0	2	user.gold:-609000,user.hero_exp:-1590000	user.gold:30813460,user.hero_exp:79744780	10	130250	7	7401	user.gold:3400	user.hero_exp:25200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
175	2260000	0	2	user.gold:-618000,user.hero_exp:-1620000	user.gold:31422460,user.hero_exp:81334780	10	131500	7	7401	user.gold:3400	user.hero_exp:25300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
176	2290000	0	2	user.gold:-628000,user.hero_exp:-1640000	user.gold:32040460,user.hero_exp:82954780	10	132800	7	7401	user.gold:3400	user.hero_exp:25400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
177	2320000	0	2	user.gold:-638000,user.hero_exp:-1660000	user.gold:32668460,user.hero_exp:84594780	10	134050	7	7401	user.gold:3500	user.hero_exp:25400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
178	2360000	0	2	user.gold:-648000,user.hero_exp:-1690000	user.gold:33306460,user.hero_exp:86254780	10	135350	7	7401	user.gold:3500	user.hero_exp:25500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
179	2390000	0	2	user.gold:-659000,user.hero_exp:-1720000	user.gold:33954460,user.hero_exp:87944780	10	136600	7	7401	user.gold:3500	user.hero_exp:25600	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	180	1
180	2410000	0	2	user.gold:-665000,user.hero_exp:-1730000	user.gold:34613460,user.hero_exp:89664780	10	138550	7	7401	user.gold:3500	user.hero_exp:25700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
181	2430000	0	2	user.gold:-746000,user.hero_exp:-1750000	user.gold:35278460,user.hero_exp:91394780	10	141050	7	7401	user.gold:3500	user.hero_exp:25800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
182	2450000	0	2	user.gold:-754000,user.hero_exp:-1770000	user.gold:36024460,user.hero_exp:93144780	10	142750	7	7401	user.gold:3500	user.hero_exp:25900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
183	2470000	0	2	user.gold:-761000,user.hero_exp:-1780000	user.gold:36778460,user.hero_exp:94914780	10	144400	7	7401	user.gold:3500	user.hero_exp:26000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
184	2500000	0	2	user.gold:-770000,user.hero_exp:-1800000	user.gold:37539460,user.hero_exp:96694780	10	146100	7	7401	user.gold:3500	user.hero_exp:26100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
185	2520000	0	2	user.gold:-778000,user.hero_exp:-1820000	user.gold:38309460,user.hero_exp:98494780	10	147750	7	7401	user.gold:3500	user.hero_exp:26200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
186	2550000	0	2	user.gold:-787000,user.hero_exp:-1840000	user.gold:39087460,user.hero_exp:100314780	10	149500	7	7401	user.gold:3600	user.hero_exp:26300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
187	2570000	0	2	user.gold:-796000,user.hero_exp:-1860000	user.gold:39874460,user.hero_exp:102154780	10	151150	7	7401	user.gold:3600	user.hero_exp:26400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
188	2600000	0	2	user.gold:-806000,user.hero_exp:-1880000	user.gold:40670460,user.hero_exp:104014780	10	152800	7	7401	user.gold:3600	user.hero_exp:26500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
189	2630000	0	2	user.gold:-815000,user.hero_exp:-1900000	user.gold:41476460,user.hero_exp:105894780	10	155250	7	7401	user.gold:3600	user.hero_exp:26500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
190	2660000	0	2	user.gold:-827000,user.hero_exp:-1930000	user.gold:42291460,user.hero_exp:107794780	10	156850	7	7401	user.gold:3600	user.hero_exp:26700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
191	2690000	0	2	user.gold:-838000,user.hero_exp:-1950000	user.gold:43118460,user.hero_exp:109724780	10	158500	7	7401	user.gold:3600	user.hero_exp:26700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
192	2730000	0	2	user.gold:-849000,user.hero_exp:-1980000	user.gold:43956460,user.hero_exp:111674780	10	160150	7	7401	user.gold:3600	user.hero_exp:26900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
193	2760000	0	2	user.gold:-861000,user.hero_exp:-2000000	user.gold:44805460,user.hero_exp:113654780	10	161750	7	7401	user.gold:3700	user.hero_exp:26900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
194	2790000	0	2	user.gold:-873000,user.hero_exp:-2030000	user.gold:45666460,user.hero_exp:115654780	10	163400	7	7401	user.gold:3700	user.hero_exp:27100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
195	2830000	0	2	user.gold:-885000,user.hero_exp:-2060000	user.gold:46539460,user.hero_exp:117684780	10	164750	7	7401	user.gold:3700	user.hero_exp:27100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
196	2870000	0	2	user.gold:-898000,user.hero_exp:-2090000	user.gold:47424460,user.hero_exp:119744780	10	166150	7	7401	user.gold:3700	user.hero_exp:27300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
197	2900000	0	2	user.gold:-912000,user.hero_exp:-2120000	user.gold:48322460,user.hero_exp:121834780	10	167500	7	7401	user.gold:3700	user.hero_exp:27300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
198	2950000	0	2	user.gold:-931000,user.hero_exp:-2150000	user.gold:49234460,user.hero_exp:123954780	10	168800	7	7401	user.gold:3700	user.hero_exp:27500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
199	2980000	0	2	user.gold:-944000,user.hero_exp:-2180000	user.gold:50165460,user.hero_exp:126104780	10	170100	7	7401	user.gold:3700	user.hero_exp:27600	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	2
200	3010000	0	3	user.gold:-955000,user.hero_exp:-2200000	user.gold:51109460,user.hero_exp:128284780	10	171350	7	7401	user.gold:3800	user.hero_exp:27700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
201	3030000	0	3	user.gold:-965000,user.hero_exp:-2220000	user.gold:52064460,user.hero_exp:130484780	10	172650	7	7401	user.gold:3800	user.hero_exp:27800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
202	3060000	0	3	user.gold:-974000,user.hero_exp:-2240000	user.gold:53029460,user.hero_exp:132704780	10	173950	7	7401	user.gold:3800	user.hero_exp:27900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
