礼包ID(可乱序)	排序	开关状态（1:开启、0:关闭）	显示vip等级	红点显示（0:单次提示，1:循环显示）	所属页签	购买前置礼包	是否有后置礼包	触发前置条件	关闭条件	触发条件	触发条件参数1	触发后生存时间	礼包名称	品质颜色	限购次数	次数显示（0:剩余，1:限购）	图标	奖励1	支付类型(1:充值、2:道具花费)	充值ID	消耗道具	原价
5010	350	0	1	1	4	0	0	gameday.3	gameday.15	weekLoop	1	0	text_av_giftbag_name_1010	orange.png	10	1	giftbag_4011.png	user.vip_xp:1000,user.gold:5000000,user.hero_exp:10000000,material.1:1000	1	16	0	0
5011	351	0	1	1	4	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1010	orange.png	10	1	giftbag_4011.png	user.vip_xp:1000,user.gold:7500000,user.hero_exp:20000000,material.1:2000	1	16	0	0
5020	306	0	1	1	5	0	0	level.100	0	gameDay	1	0	text_av_giftbag_name_1009	orange.png	7	1	giftbag_4011.png	user.vip_xp:1000,user.gold:500000,user.rune_exp:200000,group.20000005.0:1	1	16	0	0
6001	601	0	1	1	6	0	0	gameday.21	0	dayLoop	0	0	text_av_giftbag_name_6001	orange.png	1	0	giftbag_4011.png	user.htoken:2,material.940:20	2	0	user.mixcash:-450	0
6002	602	0	1	1	6	0	0	gameday.21	0	dayLoop	0	0	text_av_giftbag_name_6002	orange.png	1	0	giftbag_4011.png	user.htoken:2,material.950:10	2	0	user.mixcash:-600	0
6003	603	0	1	1	6	0	0	gameday.21	0	dayLoop	0	0	text_av_giftbag_name_6003	orange.png	1	0	giftbag_4011.png	user.gold:1250000,user.hero_exp:2500000,material.1:250	2	0	user.mixcash:-300	0
6101	604	1	1	1	6	0	0	gameday.21	0	weekLoop	1	0	text_av_giftbag_name_6004	red.png	1	0	giftbag_4011.png	user.rotate_hcoin:10,user.rotate_ncoin:10	2	0	user.mixcash:-3500	0
6102	605	1	1	1	6	0	0	gameday.21	0	weekLoop	1	0	text_av_giftbag_name_6005	golden.png	1	0	giftbag_4011.png	material.100:2000,user.sky_book:50000	2	0	user.mixcash:-5000	0
6103	606	1	1	1	6	0	0	gameday.21	0	weekLoop	1	0	text_av_giftbag_name_6006	golden.png	1	0	giftbag_4011.png	material.200:2000,user.sky_book:50000	2	0	user.mixcash:-5000	0
6104	607	1	1	1	6	0	0	gameday.21	0	weekLoop	1	0	text_av_giftbag_name_6007	golden.png	1	0	giftbag_4011.png	material.300:2000,user.sky_book:50000	2	0	user.mixcash:-5000	0
7010	61	1	1	0	4	0	0	0	0	gameDay	1	3	text_av_giftbag_name_7010	orange.png	5	0	giftbag_4011.png	material.101703:1	2	0	user.mixcash:-400	0
7020	62	1	1	0	4	0	0	0	0	gameDay	7	3	text_av_giftbag_name_7020	red.png	1	0	giftbag_4011.png	material.101704:1	2	0	user.mixcash:-1000	0
7030	63	1	1	0	4	0	0	0	0	gameDay	12	3	text_av_giftbag_name_7030	red.png	2	0	giftbag_4011.png	material.101704:1	2	0	user.mixcash:-750	0
7040	64	1	1	0	4	0	0	0	0	gameDay	17	3	text_av_giftbag_name_7040	golden.png	4	0	giftbag_4011.png	material.101704:1	2	0	user.mixcash:-500	0
7050	65	1	1	0	4	0	0	0	0	gameDay	22	3	text_av_giftbag_name_7050	red.png	1	0	giftbag_4011.png	material.101705:1	2	0	user.mixcash:-2500	0
7060	66	1	1	0	4	0	0	0	0	gameDay	27	10	text_av_giftbag_name_7060	orange.png	2	0	giftbag_4011.png	material.101705:1	2	0	user.mixcash:-2000	0
7070	67	1	1	0	4	0	0	0	0	gameDay	42	10	text_av_giftbag_name_7070	orange.png	4	0	giftbag_4011.png	material.101705:1	2	0	user.mixcash:-1500	0
7080	68	1	1	0	4	0	0	0	0	gameDay	57	10	text_av_giftbag_name_7080	orange.png	8	0	giftbag_4011.png	material.101705:1	2	0	user.mixcash:-1250	0
7090	69	1	1	0	4	0	0	0	0	gameDay	57	10	text_av_giftbag_name_7090	golden.png	4	0	giftbag_4011.png	equip.10601.0:1,equip.20601.0:1,equip.30601.0:1,equip.40601.0:1,equip.50601.0:1,equip.60601.0:1	2	0	user.mixcash:-3000	0
8010	41	1	1	0	4	0	0	0	0	gameDay	12	3	text_av_giftbag_name_8010	red.png	2	0	giftbag_4011.png	user.vip_xp:1000,equip.10501.0:1,equip.20501.0:1,equip.30501.0:1,equip.40501.0:1,equip.50501.0:1,equip.60501.0:1	1	16	0	0
8020	42	1	1	0	4	0	0	0	0	gameDay	17	3	text_av_giftbag_name_8020	orange.png	4	0	giftbag_4011.png	user.vip_xp:600,equip.10501.0:1,equip.20501.0:1,equip.30501.0:1,equip.40501.0:1,equip.50501.0:1,equip.60501.0:1	1	15	0	0
9010	43	1	1	0	4	0	0	0	0	gameDay	22	3	text_av_giftbag_name_9010	golden.png	1	0	giftbag_4011.png	user.vip_xp:1000,equip.10601.0:1,equip.20601.0:1	1	16	0	0
9011	44	1	1	0	4	0	0	0	0	gameDay	22	3	text_av_giftbag_name_9011	golden.png	1	0	giftbag_4011.png	user.vip_xp:1000,equip.30601.0:1,equip.40601.0:1	1	16	0	0
9012	45	1	1	0	4	0	0	0	0	gameDay	22	3	text_av_giftbag_name_9012	golden.png	1	0	giftbag_4011.png	user.vip_xp:1000,equip.50601.0:1,equip.60601.0:1	1	16	0	0
9013	46	1	1	0	4	0	0	0	0	gameDay	27	3	text_av_giftbag_name_9013	golden.png	1	0	giftbag_4011.png	user.vip_xp:600,equip.10601.0:1,equip.20601.0:1	1	15	0	0
9014	47	1	1	0	4	0	0	0	0	gameDay	27	3	text_av_giftbag_name_9014	golden.png	1	0	giftbag_4011.png	user.vip_xp:600,equip.30601.0:1,equip.40601.0:1	1	15	0	0
9015	48	1	1	0	4	0	0	0	0	gameDay	27	3	text_av_giftbag_name_9015	golden.png	1	0	giftbag_4011.png	user.vip_xp:600,equip.50601.0:1,equip.60601.0:1	1	15	0	0
9016	49	1	1	0	4	0	0	0	0	gameDay	42	10	text_av_giftbag_name_9016	red.png	2	0	giftbag_4011.png	user.vip_xp:500,equip.10601.0:1,equip.20601.0:1	1	14	0	0
9017	50	1	1	0	4	0	0	0	0	gameDay	42	10	text_av_giftbag_name_9017	red.png	2	0	giftbag_4011.png	user.vip_xp:500,equip.30601.0:1,equip.40601.0:1	1	14	0	0
9018	51	1	1	0	4	0	0	0	0	gameDay	42	10	text_av_giftbag_name_9018	red.png	2	0	giftbag_4011.png	user.vip_xp:500,equip.50601.0:1,equip.60601.0:1	1	14	0	0
10001	311	1	1	0	4	0	0	0	0	gameDay	4	3	text_av_giftbag_name_4102	golden.png	1	0	giftbag_4011.png	user.vip_xp:500,equip.10401.0:3,equip.20401.0:3,equip.30401.0:3,equip.40401.0:3,equip.50401.0:3,equip.60401.0:3	1	14	0	0
