关键字	英文
MINE_ENTRANCE_TITLE_2	Dragonite Mine
MINE_ENTRANCE_INFO_1	Have magical encounters while you explore for Hero Shards
MINE_ENTRANCE_INFO_2	Gather Dragonite to evolve dragons.
REPORT_TAB_TITLE_1	Arena
REPORT_TAB_TITLE_2	Royal Clash
REPORT_TAB_TITLE_3	Battle of Kings
REPORT_TAB_TITLE_4	Village Raid
REPORT_TAB_TITLE_5	Land Raid
STR_NO_REPORT	 No Reports
STR_REPORT_TIP	Tap to playback battle report
STR_EQUIPING	Equipped
STR_USE_NEW_DESC_1	Select amount to use:
STR_USE_NEW_DESC_2	Use amount must be at least 1
STR_SELL_NEW_DESC_1	Select amount to sell:
STR_SELL_NEW_DESC_2	Sell amount must be at least 1
NEED_CASH	Costs %d diamonds
BAG_GET_DESC_1	Congrats on getting %d Ring challenges
STR_MERGE_NEW_DESC_1	Select craft amount:
STR_MERGE_NEW_DESC_2	Craft amount must be at least 1
DRESS_CANNOT_MERGE	That gear cannot be crafted
DRESS_MERGE	Craft Gear
ITEM_CANNOT_MERGE	That item cannot be crafted
DESTINY_MERGE	Craft Item
JADESEAL_DESC_1	Select a reward to claim
JADESEAL_DESC_2	Tap a card to pick a reward!
STR_QIYU	Encounters
STR_ZHOU_CHENG_JIU	Achievement
TRIAL_DESC1	No multiplier bonus
TRIAL_DESC2	Quick Explore
TRIAL_DESC3	Explore
TRIAL_DESC4	Stop Exploring
TRIAL_DESC5	Reward multiplier:
TRIAL_DESC6	Reward points:
TRIAL_DESC7	 +%s
TRIAL_DESC8	x%s
TRIAL_DESC9	Claimed
TRIAL_DESC10	Daily points reward:
TRIAL_DESC11	Claim Now
TRIAL_DESC12	Explore %d more times for a reward
TRIAL_DESC13	Reset coins for a better reward
TRIAL_DESC14	You\'re out of exploration chances
TRIAL_DESC15	Exploring
TRIAL_DESC16	You didn\'t find anything useful.
TRIAL_DESC17	Reward Multiplier
TRIAL_DESC18	Claim Reward
TRIAL_DESC19	Your Encounter time has expired.
TRIAL_DESC20	You don\'t have enough gold
TRIAL_DESC21	Spend %d diamonds to refresh monster star level?
TRIAL_DESC22	Spend %d diamonds to buy this item?
TRIAL_DESC23	Monster Refresh
TRIAL_DESC24	Refresh monster star level?
TRIAL_DESC25	This may result in a lower star level.
TRIAL_DESC26	No Encounters
TRIAL_DESC27	Unlocks at Lv.%d
TRIAL_DESC28	Not open
TRIAL_DESC29	Go and explore!
TRIAL_DESC30	Exploring!
TRIAL_DESC31	You already claimed today\'s chest!
TRIAL_DESC32	Buy materials?
TRIAL_DESC33	Limited purchase %d times
TRIAL_DESC34	Was: 
MODULE_OPEN_NEED	Requires opening %s
LEVEL_OPEN_NEED	Requires Lv.%d
NEED_JOIN_LEGION	Must be in a legion
NEED_JOIN_TEAM	Must be in a team
STR_FOOD	Stamina
STR_CASH	Diamond
STR_GOLD	Gold
STR_BINDCASH	Blue Diamond
STR_GOLDCASH	Golden Diamond
STR_TISHI	Tip
ALTAR_DESC_1	Daily uses remaining:
ALTAR_DESC_2	Sacrifice
ALTAR_DESC_3	On the Magic Circle, light up
ALTAR_DESC_4	6 flames
ALTAR_DESC_5	to get
ALTAR_DESC_6	2x rewards
ALTAR_DESC_7	%d times
ALTAR_DESC_8	Confirm Cancel
ALTAR_DESC_9	Requires:
ALTAR_DESC_10	Acquisition: Rescue the village near [%s.%s]
ALTAR_DESC_11	Perform a sacrifice?
ALTAR_DESC_12	Perform %d sacrifices?
ALTAR_DESC_13	Complete 1 Magic Circle to get %dx rewards.
ALTAR_DESC_14	No sacrifices remained
ALTAR_DESC_15	Increase VIP level to get extra Altar uses?
ALTAR_DESC_16	, recharge diamonds now?
RUNE_POS_1	1st Rune Slot
RUNE_POS_2	2nd Rune Slot
RUNE_POS_3	3rd Rune Slot
RUNE_POS_4	4th Rune Slot
RUNE_EQUIP	Gear
RUNE_CHANGE	Switch
RUNE_DISMOUNT	Remove
RUNE_LEVEL	Rune level: %d
RUNE_HAVE_NULL	No runes available
RUNE_GOT_TITLE	Rune Unlocked
RUNE_GOT_TITLE_STR	Rune Chests grant random unlocked runes.
RUNE_NOT_GOT_TITLE	Locked Runes
RUNE_NOT_GOT_TITLE_STR	Clear floor%d to unlock a new rune
RUNE_UNLOCK_NUM	Unlocks at floor %d
RUNE_LV_UP_MAX	Max Rune level reached, go and level up the hero!
RUNE_LV_UP_STR_1	Not enough materials to level up
NO_RUNE_STR	No runes
RUNE_BASE_ATT_TITLE	Base stats:
RUNE_SP_ATT_TITLE	Special stats:
RUNE_SP_ATT_DES	Special Stats
RUNE_CARD_TIPS	Base stats increase with enhance level.
STR_RUNE_BAG_1	Tap to use the required runes
STR_RUNE_DECOMPOSE_1	No runes to deconstruct
STR_RUNE_DECOMPOSE_2	Deconstruct Runes
STR_RUNE_DECOMPOSE_3	Deconstruct a high quality rune?
STR_RUNE_DECOMPOSE_4	High Quality Rune
STR_RUNE_BASE_ATTR	Base Stats
STR_RUNE_SPECIALL_ATTR	Special Stats
STR_RUNE_ATTR_DESC_PREFIX	[Randomly get %s %s as follows]
LEVEL_LIMIT	(Level cap: %d)
STR_RUNE_NO_PUT	Runes haven\'t been placed
FIGHT_FORCE	Power
FIGHT_FORCE_ALL	Total power
FIGHT_FORCE_UP_1	All Infantry Power Increase
FIGHT_FORCE_UP_2	All ranged power increase
FIGHT_FORCE_UP_3	All Riders Power Increase
FIGHT_FORCE_UP_4	Power increase: %d
LIMIT_TIME_DESC	Expires:
DAY	D
MONTH	M
DAY_DESC_1	D
YEAR	Y
LIMIT_DESC	Timed
STR_EQUIP_TIPS_DESC_1	Enhance Stat Growth
STR_EQUIP_TIPS_DESC_2	Refine Stat Growth
STR_EQUIP_TIPS_DESC_3	Refine Level Cap
STR_EQUIP_TIPS_DESC_4	Enhance
STR_EQUIP_TIPS_DESC_5	Enhance Stats
STR_EQUIP_TIPS_DESC_6	Refine Stats
STR_CAVE_NEW_DESC_1	Tap to open the chest
STR_CAVE_NEW_DESC_2	Current dice count:
STR_CAVE_NEW_DESC_3	Guaranteed to win grand gold prize, chance to win an extra 200 diamonds.
STR_CAVE_NEW_DESC_4	Collect 4 Chest Shards to open the Shard Chest.
STR_CAVE_NEW_DESC_5	Dice count +1
STR_NOTHING_HERE	Nothing here
TIPS_AWARD_BOX	Random Rune Chest
BOX_STR_1	Open for a chance to get Runes or Rune Essence.
BOX_STR_2	Only includes Runes that are already unlocked in the Gallery
RUNE_HANDBOOX_BTN	Rune Gallery
CHART_RECORD	Hero Intro
GUIDE_INFO_1	Please follow the guide, friend.
GUIDE_INFO_2	Congrats, you got your first piece of gear.
GUIDE_INFO_3	Congrats, you got an EXP Potion.
GUIDE_INFO_4	Congrats, you got a Star Mark.
GUIDE_INFO_5	It\'s a magical panel.
GUIDE_INFO_6	Congrats, you got rank 1 Military Weapon.
GUIDE_INFO_7	Congrats, you got your first hero.
GUIDE_INFO_8	Help!
CLICK_SCREEN_CONTINUE	Tap the screen to continue
HONOR_TITLE_1	Power Overlord
HONOR_TITLE_2	Level Overlord
HONOR_TITLE_3	Arena Overlord
HONOR_TITLE_4	Tower Overlord
HONOR_TITLE_5	Royal City Overlord
HONOR_TITLE_6	Legion Overlord
HONOR_TITLE_7	Luck King
SRE_GUIDE_TXT_1	What\'s your name?
SRE_GUIDE_TXT_2	Up to 12 characters
SRE_GUIDE_TXT_3	Please enter your name
SRE_GUIDE_TXT_4	That name is already taken
SRE_GUIDE_TXT_5	Change failed, that\'s the name you\'re already using
SRE_GUIDE_TXT_6	Incorrect name format and contain special character, please enter again
STR_SOLDIER_TYPE	Unit Type
STR_LIMIT_HERO	Timed hero:
STR_KING_LVUP_TITLE	Lord Level Up
STR_KING_LVUP_DESC_1	Lord level:
STR_KING_LVUP_DESC_2	Stamina regen:
STR_KING_LVUP_DESC_3	Level cap:
STR_KING_LVUP_DESC_4	New Feature!
STR_GET_TREASURE	Get Treasure
STR_GOTO_GET	Go Now
STR_GOTO_GET2	Claim
STR_JING_XING_ZHONG	In progress
STR_UNLOCK	Locked
STR_QUALITY_CHAPTER	Rank %s Chapter
STR_GROWPATH_STR_1	Lord has grown to
STR_SUCC_ADVANCE	Advance Successful
LIMIT_BATTLE_SPEEDUP_1	Lv.%d for %dx Speedup
LIMIT_BATTLE_SPEEDUP_2	VIP %d for %dx Speedup
STR_JIUMING	Help
CLICK_ANY_POS_CONTINUE	Tap anywhere to continue
CUSTOM_SWEEP_OPEN_TEXT	Sweep unlocks at Lv.%d
STR_JIXU_MAOXIAN	Continue Adventure
FOOD_RESTORE_DESC_1	Stamina regen time:
FOOD_RESTORE_DESC_2	Next stamina regen:
FOOD_RESTORE_DESC_3	Full stamina regen
FOOD_RESTORE_DESC_4	Full
RED_FOOD_RESTORE_DESC_1	Red stamina regen time:
RED_FOOD_RESTORE_DESC_2	Next red stamina regen:
RED_FOOD_RESTORE_DESC_3	Full red stamina regen
COMMON_STR_LEVELOPEN_2	Lv.%s to unlock
STR_KING_WAY	Road to Monarchy
STR_KING_WAY_DESC_1	Collect
STR_KING_WAY_DESC_2	Increases lord quality
STR_KING_WAY_DESC_3	Collect
STR_KING_WAY_DESC_4	Increases lord tier
STR_KING_WAY_DESC_5	Continue Collecting
STR_KING_WAY_DESC_6	Lord Promotion
TIPS_DESC_1	Currently owned:
TIPS_DESC_2	Regen speed:
TIPS_DESC_3	Time to next regen:
TIPS_DESC_4	Time to full regen:
TIPS_DESC_5	Full
TIPS_DESC_6	Owned:
TIPS_LANDGRABBER_TIPS_1	The ancient village awaits a hero to rescue them. Who knows how many battles have been fought here...
LANDGRABBER_TITLE_NOT_CAPTURED_1	Vacant
LANDGRABBER_TITLE_NOT_CAPTURED_2	No players at this tier
LANDGRABBER_TIP_WAIT_RESCURE	Awaiting Rescue
LANDGRABBER_NOT_RESCURED_1	Rescue to unlock Resource Battle
LANDGRABBER_GOTO_SEARCH_1	Search
LANDGRABBER_GOTO_RESCURE_1	Rescue
LANDGRABBER_GIVEUP_OWNER_1	Withdraw
LANDGRABBER_GOTO_CAPTURE_1	Raid
LANDGRABBER_VILLAGE_LOCATION_1	Rumors place it near %s
LANDGRABBER_ERR_NO_TEAM_1	You need to join a team
LANDGRABBER_ERR_NOT_TEAM_LEADER_1	Only the Team Leader can do that
LANDGRABBER_ERR_IN_PROTECT	You can\'t do this while protected. Try again later.
LANDGRABBER_VILLAGE_LEAVE_SUSS	Withdraw Successful
STR_SPECIAL_REWARD_1	Specialty
STR_LEFT_RES_1	Resources remaining
STR_GET_SPEED	Output
STR_GET_SPEED_1	Output:
STR_OTHER_SERVER_1	Cross-server
STR_LORD_INFO	Lord Info
STR_UNKOWN_1	Unknown
CUSTOMTIP_DESC_1	Collect 5 stars to challenge me!
STR_TODAY_NOLONGER_NOTICE	Won\'t show again today
STR_MIXCASH_COST_DESC_1	(Not enough Blue Diamonds, Golden Diamonds will be used)
STR_YU	and
STR_BUY_THIS_ITEM	Buy this item?
STR_TOTAL_FIGHT_FORCE	Total Power
STR_OPERATE	View
STR_JUEWEI	Nobility
STR_ZHAN_DUI	Team
STR_ZHAN_DUI_XIN_XI	Team Info
STR_LEGION_XIN_XI	Legion Info
STR_LEGION_SCORE_XIN_XI	Legion War Pts
STR_QUIT_GAME_TITLE	Exit Game
STR_RELOAD_NEW_CLIENT	New version available, please download the new client.
NEED_UPDATE_SIZE	Requires downloading %s data, continue?
STR_QUIT_GAME	Do you want to leave the game?
STR_DISSOLVE_TEAM	Disbanded the team
STR_LEAVE_TEAM	Left the team
STR_REFRESH_LATER	Please wait before refreshing again
LEGION_LEVELS_DESC12	Progress:
GOTO_1	Go
STR_GET_1	Claim
LEGION_MEM_NUM	Legion members:
LEGION_RANK	Legion rank:
CORE_MEMBERS	Core Members
MEMBER_LEADER	Legion leader:
TEAM_MEM_NUM	Team members:
TEAM_RANK	Team rank:
TEAM_MEMBER	Team Members
STR_VILLAGE_AWARD	Village Tribute
STR_WIN	Victories
STR_FAIL	Defeats
STR_CAPTURE_LORD	Lord Raid
STR_CAPTAIN	Team leader:
STR_CAPTAIN_1	Team leader
HAVE_NOT_LORD	No lords
STR_LAND_OUTPUT	Possible Land Production
STR_LAND_LORD	Occupier
STR_CAPTURE	Occupy
STR_SURPLUS_TIME	Time Remaining
STR_GOT	Already acquired:
STR_FORMATION_FIGHT_FORCE	Power
STR_OWN_LAND	My Land
STR_CROSS_SERVER_RES_UP	(Cross-server, production increase)
STR_MEMBER_NOT_UNLOCK_VILLAGE	Member has not unlocked village
STR_OWN_LAND_RES_OUTPUT	Total earnings from my land:
STR_LAND_GRAB_COST_TIP	No lands, occupying costs:
STR_GRAB_SUCESS	Occupy Successful
STR_GRAB_FAILURE	Occupy Failed
STR_DEFEND_SUCESS	Defense Successful
STR_DEFEND_FAILURE	Defense Failed
STR_BARREN_LAND	Wilderness
STR_LAND_REWARD_EMPTY_TIP	No production, come back later
STR_SURPLUS_TIME_TODAY	Remaining time today:
STR_GRAB_TIME_ONCE	Single occupation time:
STR_LAND_GRAB_ERR_DEFAULT	Data error, refresh the interface and try again
STR_LAND_GRAB_PERSON_ERR_201	Not lord
STR_LAND_GRAB_PERSON_ERR_202	That land is currently protected and cannot be occupied.
STR_LAND_GRAB_PERSON_ERR_203	Withdraw from the land you currently occupy first.
STR_LAND_GRAB_PERSON_ERR_204	Your daily occupation time has expired, come back again tomorrow.
STR_LAND_GRAB_PERSON_ERR_209	Not enough Occupier Certificates
STR_LAND_GRAB_TEAM_ERR_201	Not lord
STR_LAND_GRAB_TEAM_ERR_202	That village is currently protected, unable to withdraw or occupy.
STR_LAND_GRAB_TEAM_ERR_203	Withdraw from the village your team currently occupy first.
STR_LAND_GRAB_TEAM_ERR_205	Join a team and try again.
STR_LAND_GRAB_TEAM_ERR_206	You already occupy a village.
STR_LAND_GRAB_TEAM_ERR_207	You don\'t have enough resources to occupy a village.
STR_LAND_GRAB_TEAM_ERR_208	Village hasn\'t been rescued
STR_SELECT_SER_DESC	Select server:
STR_START	Start
STR_OVER	Finish
STR_COMMONLY_USED	Commonly Used Account Recommendation
NO_NAME	Unnamed
STR_ALL_SERVER	All Servers
STR_VERSION_CODE	Current version:
STR_LOGIN_TIPS	Test version does not reflect the quality of the final product.
STR_GET_NEW_SKILL	Talent unlocked:
STR_DRAGON_TALENT	Dragon talent:
STR_JOIN_TEAM_TIME	to join a team
STR_TEAM_MAMBER_MAX	Max team members reached
STR_LOW_LEVEL	Your lord level is not high enough to join a team.
STR_ZHANG_YU_DESC_1	Don\'t even think about taking my treasures!
STR_ZHANG_YU_DESC_2	Treasures activate mysterious stat bonuses.
STR_FA_LAO_DESC_1	Save me and I will help you conquer the world.
STR_TEAM_APPLY_NUM_LIMIT	You can only apply to %s teams at once.
STR_CAPTURE_VILLAGE_CONFIRM	Do you want to raid this village lord?
STR_ROB_NOT_ENOUGH	You don\'t have enough Occupier Certificates, go get now?
STR_GOTO_LOOK	Go
STR_CANT_QUIT	The leader cannot leave the team
STR_CITY_CRAFT_DESC_1	Grants 1 challenge chance
STR_TEAM_BONUS	Team Bonus
STR_HERO_FATE_DESC_1	Hero Destiny
STR_HERO_FATE_DESC_2	Activate Destiny to increase hero stats.
STR_HERO_FATE_DESC_3	Get missing Hero Shards in Road to Monarchy.
STR_GLACEMAN_DESC_1	The bound
STR_CAN_WEAR_EQUIP_DESC	You have gear available, do you want to auto equip? 
ROLE_EQUIPREBUILD_TIP501	Not enough enhance materials
ROLE_EQUIPREBUILD_TIP502	Not enough refine materials
ROLE_EQUIPREBUILD_TIP503	Max enhance level reached
ROLE_EQUIPREBUILD_TIP504	Max refine level reached
STR_TO_BATTLE_FINISH	To battle finish
STR_MAX_FLOOR	Congrats hero on completing Courage Tower! The next challenge will be coming soon!
STR_HAS_LEGION	is already in a legion
STR_GUIDE_FREE_DRAGON_USE_DESC_1	Clear stage [%s.%s] for permanent use
DRAGON_BADGE_NAME	Fire Dragon Badge
DRAGON_BADGE_kill_NAME	Dragon Breath
STR_GUIDE_TASK_NODE_LV	Lv.%s unlocks:
STR_GUIDE_TASK_NODE_AWARD	Claim Reward!
STR_GUIDE_TASK_TARGET_NEW	New target:
STR_GUIDE_TASK_FUNC_NEW	New feature:
STR_GUIDE_TASK_NODE_NEED_LV	Lv.%s to claim
STR_GUIDE_TASK_NODE_NEED_CITY	Clear stage [%s.%s]
BATTLE_RESULT_SEAT_1	Attacker
BATTLE_RESULT_SEAT_2	Defender
EXPLORE_BOSS_SHOW_TALK_STR	Tap me!
TERRITORIAL_WAL_REPORT_TITLE_1	Events
TERRITORIAL_WAL_REPORT_TITLE_2	Defense
CITYCRAFT_INFO_1	Tax Income reward:
CITYCRAFT_INFO_2	Challenge successful, you got
CITYCRAFT_INFO_3	Nobility
CITYCRAFT_INFO_4	Nobility Advanced Failed
CITYCRAFT_INFO_5	Defense failed, demoted to
CITYCRAFT_INFO_6	Nobility Retained
CITYCRAFT_INFO_7	Nobility Unchanged
CITYCRAFT_INFO_8	No nobility
FIRST_PAY_INFO_1	Pack
FIRST_PAY_INFO_2	Contains:
FIRST_PAY_INFO_3	1st Top-up Gift
FIRST_PAY_INFO_4	Free:
FIRST_PAY_INFO_5	Value Pack
FIRST_PAY_INFO_6	Value Pack
TREASURE_PLACE_INFO_1	Successful Occupation
TREASURE_PLACE_INFO_2	Successful Defense
TREASURE_PLACE_INFO_3	Challenge Failed
TREASURE_PLACE_INFO_4	Leave Failed
NO_ROLE_CAN_ONLINE_DESC	No heroes, go recruit some in Tavern?
WORLD_ENTER_TEXT	World
PURCHASED	Purchased
SOLDOUT	Sold Out
TEN_THOUSAND	0k
ONE_HUNDRED_MILLION	00M
FWACT_LIMIT	Limited to the first %d people, (%d remaining)
FIRST_WEEK_INFO_1	Expired
FIRST_WEEK_INFO_2	Complete another
FIRST_WEEK_INFO_3	quests to open the next chest
FIRST_WEEK_INFO_4	Still have
FIRST_WEEK_INFO_5	Close
FIRST_WEEK_INFO_6	Finished
FIRST_WEEK_INFO_7	Launch Week Carnival
FIRST_WEEK_INFO_8	View on day %d
FIRST_WEEK_INFO_9	Supreme Gift
FIRST_WEEK_INFO_10	Reach level
WEEK_SIGN_STR_RESIGN	Re-sign In
WEEK_SIGN_CODE201	VIP 1 unlocks Re-sign In
WEEK_SIGN_DAY_1	Day 1
WEEK_SIGN_DAY_2	Day 2
WEEK_SIGN_DAY_3	Day 3
WEEK_SIGN_DAY_4	Day 4
WEEK_SIGN_DAY_5	Day 5
WEEK_SIGN_DAY_6	Day 6
WEEK_SIGN_DAY_7	Day 7
WEEK_SIGN_RESIGN_STR	Re-sign In
WEEK_SIGN_RESIGN_DIALOG	Confirm Re-sign In
AC_LEVEL_RANK_1	1st Place Reward:
AC_LEVEL_RANK_2	My Rank
AC_LEVEL_RANK_3	Level Rankings
AC_FIGHT_RANK_1	Power Rankings
LEGION_SHOP_NPC_STR	Legion Merchant
LEGION_WAR_NPC_STR	Legion War
LEGION_WORLD_WAR_NPC_STR	Battle of Kings
LEGION_BUTTON_STR_WORLD_WAR	Realm Skirmish
WAR_COLLEGE_DESC_1	Welcome to the War Academy, where you can learn advanced battle formations.
WAR_COLLEGE_DESC_2	Infantry are usually used to hold off the enemy and can tie up two enemy melee units at once.
WAR_COLLEGE_DESC_3	Try using infantry to tie up enemy riders and attain victory!
WAR_COLLEGE_DESC_4	Riders can only distract one enemy melee unit at a time. Other melee units will pass them by.
WAR_COLLEGE_DESC_5	Try using riders to tie up enemy riders and protect your ranged units in the back row!
WAR_COLLEGE_DESC_6	Ranged units can only distract one enemy melee unit at a time. Other melee units will pass them by.
WAR_COLLEGE_DESC_7	Try using ranged units tie up enemy infantry so that your riders can charge enemy ranged units in the back row!
WAR_COLLEGE_DESC_8	Watch out for the enemy riders, their power is not to be underestimated!
WAR_COLLEGE_DESC_9	Use your infantry to protect the ranged units!
WAR_COLLEGE_DESC_10	Watch out for the enemy ranged units, they have terrifyingly powerful attacks.
WAR_COLLEGE_DESC_11	Use your riders to circle around the fray and flank them!
WAR_COLLEGE_DESC_12	Watch out for the enemy infantry, they have high defense.
WAR_COLLEGE_DESC_13	Use your ranged units to focus fire on the enemy infantry and take them out!
STR_TIME11	%d days
STR_TIME12	%d days
LEGION_BOSS_INFO_1	Rankings
LEGION_BOSS_INFO_2	Boost
LEGION_BOSS_INFO_3	Challenge
LEGION_BOSS_INFO_4	Hasn\'t started yet today
LEGION_BOSS_INFO_5	Finished for today
LEGION_BOSS_INFO_6	Free
LEGION_BOSS_INFO_7	Kill
LEGION_BOSS_INFO_8	Damage Rankings
LEGION_BOSS_INFO_9	Rank
LEGION_BOSS_INFO_10	Player Name
LEGION_BOSS_INFO_11	Damage
LEGION_BOSS_INFO_12	Opens at:
LEGION_BOSS_INFO_13	Level up requirements:
LEGION_BOSS_INFO_14	Legion Lv.%d
LEGION_BOSS_INFO_15	Successfully kill the boss
LEGION_BOSS_INFO_16	Morale Boost
LEGION_BOSS_INFO_17	Damage dealt to the boss by all legion members increased!
LEGION_BOSS_INFO_18	Remaining boosts:
LEGION_BOSS_INFO_19	No boosts remaining!
LEGION_BOSS_INFO_20	All Legion Boost
LEGION_BOSS_INFO_21	Daily boosts remaining: %d
LEGION_BOSS_INFO_22	Morale Boost
LEGION_BOSS_INFO_23	Unlocks at legion Lv.2
LEGION_BOSS_INFO_24	Rewards
LEGION_BOSS_INFO_25	Legion Participation Reward
LEGION_BOSS_INFO_26	First Kill Reward
LEGION_BOSS_INFO_27	Challenge Reward
LEGION_BOSS_INFO_28	Last Hit Reward
LEGION_BOSS_INFO_29	Legion Rank Reward
LEGION_BOSS_INFO_30	Legion Rank
LEGION_BOSS_INFO_31	Legion is not ranked
LEGION_BOSS_INFO_32	Rewards
LEGION_BOSS_INFO_33	Rank
LEGION_BOSS_INFO_34	Legion
LEGION_BOSS_INFO_35	Difficulty
LEGION_BOSS_INFO_36	Damage
LEGION_BOSS_INFO_37	Boost
LEGION_BOSS_INFO_38	MVP
LEGION_BOSS_INFO_39	Reward
LEGION_BOSS_INFO_40	No challenges remaining
LEGION_BOSS_INFO_41	Spend
LEGION_BOSS_INFO_42	Challenge once
LEGION_BOSS_INFO_43	Boss Challenge
LEGION_BOSS_INFO_44	Be careful, the boss is strong!
LEGION_BOSS_INFO_45	Damage dealt to boss this time:
LEGION_BOSS_INFO_46	Last Hit Reward:
WEEK_SIGN_DESC_STR	Sign In 7 days in a row to claim the Ultimate Reward!
ACTIVITY_TITLE	Special Events
ACTIVITY_LIMIT	Timed Events
LV_GIFT_DESC_STR	Reach the designated level to earn a great reward!
STR_FIGHTING	In battle
STR_TERRITORIAL_WAL_REPORT_DESC_1	You can view all of the important events from your territory here!
STR_WORLD_ENTRANCE_DESC_1	Have any requests?
STR_WORLD_ENTRANCE_DESC_2	I grant rewards to people that come by at set intervals.
STR_WORLD_ENTRANCE_DESC_3	Request Reward
STR_WORLD_ENTRANCE_DESC_4	Gear Enhancement
STR_WORLD_ENTRANCE_DESC_5	Enchant Gear
STR_TERRITORIAL_WAL_DESC_1	Player Info
STR_TERRITORIAL_WAL_DESC_2	All Legions
STR_TERRITORIAL_WAL_DESC_3	Operation
STR_TERRITORIAL_WAL_DESC_4	Number of enemies:
STR_TERRITORIAL_WAL_DESC_5	Rules
STR_TERRITORIAL_WAL_DESC_6	Building Description
STR_TERRITORIAL_WAL_DESC_7	Legion Boss Info
STR_TERRITORIAL_WAL_DESC_8	Refresh time:
STR_TERRITORIAL_WAL_DESC_9	Rank Reward
STR_TERRITORIAL_WAL_DESC_10	Boss damage rank reward:
STR_TERRITORIAL_WAL_DESC_11	Sent out in the mail every day at %s.
STR_TERRITORIAL_WAL_DESC_12	No one has challenged this boss
STR_TERRITORIAL_WAL_DESC_13	Damage Points
STR_TERRITORIAL_WAL_DESC_14	All members of the legion that has the most points earns the Ownership Reward:
STR_TERRITORIAL_WAL_DESC_15	Occupied
STR_TERRITORIAL_WAL_DESC_16	Raided
STR_TERRITORIAL_WAL_DESC_17	Note: All puppets will be lost when the activity resets each week!
STR_TERRITORIAL_WAL_DESC_18	Note: All unopened Mystery Boxes will be lost when the activity resets each week!
STR_TERRITORIAL_WAL_DESC_19	Permanent Free
STR_TERRITORIAL_WAL_DESC_20	Free
STR_TERRITORIAL_WAL_DESC_21	You will
STR_TERRITORIAL_WAL_DESC_22	spend
STR_TERRITORIAL_WAL_DESC_23	to teleport back to
STR_TERRITORIAL_WAL_DESC_24	Enemy interference, unable to teleport.
STR_TERRITORIAL_WAL_DESC_25	This monster is too strong, you need to be Lv.%d to challenge.
STR_TERRITORIAL_WAL_DESC_26	Stone Tablets
STR_TERRITORIAL_WAL_DESC_27	Legend says that once the portal is open it can take you to other legions to raid their treasures!
STR_TERRITORIAL_WAL_DESC_28	No one knows when this portal by the territory entrance was built. It looks calm, but you can feel a chill seeping out of it.
STR_TERRITORIAL_WAL_DESC_29	An enemy legion has invaded the only entrance to our legion\'s territory!
STR_TERRITORIAL_WAL_DESC_30	Searching for enemy legion territories to invade...
STR_TERRITORIAL_WAL_DESC_31	Must be in a legion
STR_TERRITORIAL_WAL_DESC_32	Raid their treasures! Raid their men! Raid the boss!
STR_TERRITORIAL_WAL_DESC_33	Requires %d legion
STR_TERRITORIAL_WAL_DESC_34	Invade
STR_KING_LV_LIMIT	Lord reaches Lv.
WORD_LEVEL	Lv
EQUIP_IMPROVE_STR_1	Get parpared first:
EQUIP_IMPROVE_STR_2	Target Gear
EQUIP_IMPROVE_STR_3	Enhance Drawing
EQUIP_IMPROVE_STR_4	Enhance Material
EQUIP_IMPROVE_STR_5	Enhance Preview
EQUIP_IMPROVE_STR_6	You haven\'t chosen any gear
EQUIP_IMPROVE_STR_7	The gear has already been enhanced to the highest level
EQUIP_IMPROVE_STR_8	Enhance
EQUIP_IMPROVE_STR_9	Enhancement Completed
EQUIP_IMPROVE_STR_10	Diagram
EQUIP_IMPROVE_STR_11	Material
EQUIP_IMPROVE_STR_12	Success is hard-fought and well-valued.
EQUIP_IMPROVE_CODE_401	The gear can\'t be enhanced
EQUIP_IMPROVE_CODE_402	Not enough enhance materials
LIMINT_NUM_INFO	Single use cap:
REMAIN_GET_MONEY_TIMES	Chances:
CONGRATULATE_GET_ALL_MONEY	Congrats on getting all the treasures from the Fortune.
CONGRATULATE_GET_ALL_MONEY2	Reach VIP %d to get %d Fortune uses.
CONGRATULATE_GET_ALL_MONEY3	Consistent Earnings
CONGRATULATE_GET_ALL_MONEY4	Increase VIP level for more Fortune uses!
CONGRATULATE_GET_ALL_MONEY5	Minimum yield:
CONGRATULATE_GET_ALL_MONEY6	Unlimited diamond rewards!
CURR_ACTIVITY_ALEADY_OVER	The event has finished.
RANKING_NO_INLIST	No Rank
NO_RANK_INFO	No ranked players
NO_LEGION_INFO	No ranked legions
NO_TEAM_INFO	No ranked teams
NO_FREE_LEGION_MEMBER	No idle legion members
E_STR_PVP_WAR_DESC1	%d Zone
E_STR_PVP_WAR_DESC2	Battle of Kings data error
E_STR_PVP_WAR_DESC3	Rank
E_STR_PVP_WAR_DESC4	After rank
E_STR_PVP_WAR_DESC5	Promotion Contests start every %s at %s
E_STR_PVP_WAR_DESC6	Unfortunately you will not continue past the %d-%d round. Try again next time.
E_STR_PVP_WAR_DESC7	You\'re competing in the match, you can do it!
E_STR_PVP_WAR_DESC8	Unfortunately you did not make it into the finals. Try again next time.
E_STR_PVP_WAR_DESC9	The battle has not yet begun
E_STR_PVP_WAR_DESC10	Congrats on winning the championship and becoming the 3 Kingdoms War God!
E_STR_PVP_WAR_DESC11	Battle records cannot be viewed during the finals.
E_STR_PVP_WAR_DESC12	The max amount of players from this server are already competing.
