等级	技能战力系数	攻击	护甲	技防	生命	无视护甲%	无视技防%	暴击伤害%	暴击减伤%	移动速度	攻击速度	伤害加成%	伤害减免%	技能暴击率%	负面抗性%	治疗加成%	掉落道具加成	掉落金币加成	初始怒气	怒气回复%	命中几率%	闪避几率%	暴击几率%	抗暴几率%	移动速度%	攻击速度%	PvP伤害加成%	PvP伤害减免%	技能伤害加成%	技能伤害减免%
164	7395	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
165	7512	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
166	7626	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
167	7743	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
168	7863	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
169	7980	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
170	8103	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
171	8223	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
172	8346	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
173	8469	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
174	8595	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
175	8718	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
176	8847	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
177	8973	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
178	9102	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
179	9234	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
180	9408	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
181	9624	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
182	9786	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
183	9945	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
184	10110	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
185	10272	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
186	10440	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
187	10605	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
188	10770	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
189	10992	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
190	11157	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
191	11325	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
192	11493	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
193	11661	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
194	11829	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
195	11982	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
196	12138	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
197	12291	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
198	12438	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
199	12588	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
200	12741	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
201	12891	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
202	13044	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
203	13194	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
204	13347	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
205	13500	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
206	13653	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
207	13809	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
208	13962	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
209	14118	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
210	14283	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
211	14460	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
212	14628	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
213	14796	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
214	14967	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
215	15135	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
216	15417	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
217	15588	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
218	15759	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
219	15930	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
220	16104	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
221	16299	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
222	16494	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
223	16689	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
224	16944	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
225	17151	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
226	17361	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
227	17574	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
228	17784	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
229	17997	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
230	18207	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
231	18963	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
232	19173	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
233	19386	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
234	19599	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
235	19812	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
236	20028	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
237	20256	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
238	20472	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
239	20688	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
240	20880	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
241	21159	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
242	21357	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
243	21552	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
244	21747	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
245	21942	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
246	22140	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
247	22335	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
248	22533	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
249	22734	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
250	22932	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
251	23133	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
252	23334	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
253	23592	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
254	23793	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
255	23997	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
256	24198	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
257	24402	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
258	24606	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
259	24810	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
260	25014	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
261	25239	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
262	25446	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
263	25653	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
264	25905	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
265	26172	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
266	26439	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
267	26709	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
268	26976	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
269	27246	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
270	27516	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
271	27789	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
272	28059	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
273	28332	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
274	28608	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
275	28881	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
276	29157	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
277	29433	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
278	29709	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
279	30042	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
280	30321	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
281	30627	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
282	30933	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
283	31239	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
284	31545	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
285	31854	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
286	32163	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
287	32475	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
288	33015	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
289	33351	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
290	33690	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
291	34062	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
292	34404	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
293	34746	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
294	35739	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
295	36084	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
296	36429	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
297	36777	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
298	37125	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
299	37473	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
300	37824	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
301	38259	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
302	38667	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
303	39021	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
304	39375	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
305	39735	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
306	40098	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
307	40458	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
308	40824	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
309	41187	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
310	41553	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
311	41919	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
312	42300	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
313	42702	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
314	43104	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
315	43506	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
316	43911	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
317	44316	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
318	44724	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
319	45132	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
320	45540	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
321	45966	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
322	46392	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
323	46818	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
324	47301	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
325	47733	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
326	48162	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
327	48594	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
328	49086	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
329	49521	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
330	49959	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
331	50397	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
