索引ID	掉落	基础掉率（亿分比）	掉落开启限制	掉落开启参数	掉落关闭限制	掉落关闭参数
533	material.1:1	67064222	custom	4|83	custom	4|84
534	material.1:1	67168000	custom	4|84	custom	4|85
535	material.1:1	67272222	custom	4|85	custom	4|86
536	material.1:1	67376889	custom	4|86	custom	4|87
537	material.1:1	67482000	custom	4|87	custom	4|88
538	material.1:1	67587556	custom	4|88	custom	4|89
539	material.1:1	67693556	custom	4|89	custom	4|90
540	material.1:1	67800000	custom	4|90	custom	4|91
541	material.1:1	67906889	custom	4|91	custom	4|92
542	material.1:1	68014222	custom	4|92	custom	4|93
543	material.1:1	68122000	custom	4|93	custom	4|94
544	material.1:1	68230222	custom	4|94	custom	4|95
545	material.1:1	68338889	custom	4|95	custom	4|96
546	material.1:1	68448000	custom	4|96	custom	4|97
547	material.1:1	68557556	custom	4|97	custom	4|98
548	material.1:1	68667556	custom	4|98	custom	4|99
549	material.1:1	68778000	custom	4|99	custom	4|100
550	material.1:1	68888889	custom	4|100	custom	4|101
551	material.1:1	69000222	custom	4|101	custom	4|102
552	material.1:1	69112000	custom	4|102	custom	4|103
553	material.1:1	69224222	custom	4|103	custom	4|104
554	material.1:1	69336889	custom	4|104	custom	4|105
555	material.1:1	69450000	custom	4|105	custom	4|106
556	material.1:1	69563556	custom	4|106	custom	4|107
557	material.1:1	69677556	custom	4|107	custom	4|108
558	material.1:1	69792000	custom	4|108	custom	4|109
559	material.1:1	69906889	custom	4|109	custom	4|110
560	material.1:1	70022222	custom	4|110	custom	4|111
561	material.1:1	70138000	custom	4|111	custom	4|112
562	material.1:1	70254222	custom	4|112	custom	4|113
563	material.1:1	70370889	custom	4|113	custom	4|114
564	material.1:1	70488000	custom	4|114	custom	4|115
565	material.1:1	70605556	custom	4|115	custom	4|116
566	material.1:1	70723556	custom	4|116	custom	4|117
567	material.1:1	70842000	custom	4|117	custom	4|118
568	material.1:1	70960889	custom	4|118	custom	4|119
569	material.1:1	71080222	custom	4|119	custom	4|120
570	material.1:1	71200000	custom	4|120	custom	4|121
571	material.1:1	71320222	custom	4|121	custom	4|122
572	material.1:1	71440889	custom	4|122	custom	4|123
573	material.1:1	71562000	custom	4|123	custom	4|124
574	material.1:1	71683556	custom	4|124	custom	4|125
575	material.1:1	71805556	custom	4|125	custom	4|126
576	material.1:1	71928000	custom	4|126	custom	4|127
577	material.1:1	72050889	custom	4|127	custom	4|128
578	material.1:1	72174222	custom	4|128	custom	4|129
579	material.1:1	72298000	custom	4|129	custom	4|130
580	material.1:1	72422222	custom	4|130	custom	4|131
581	material.1:1	72546889	custom	4|131	custom	4|132
582	material.1:1	72672000	custom	4|132	custom	4|133
583	material.1:1	72797556	custom	4|133	custom	4|134
584	material.1:1	72923556	custom	4|134	custom	4|135
585	material.1:1	73050000	custom	4|135	custom	4|136
586	material.1:1	73176889	custom	4|136	custom	4|137
587	material.1:1	73304222	custom	4|137	custom	4|138
588	material.1:1	73432000	custom	4|138	custom	4|139
589	material.1:1	73560222	custom	4|139	custom	4|140
590	material.1:1	73688889	custom	4|140	custom	4|141
591	material.1:1	73818000	custom	4|141	custom	4|142
592	material.1:1	73947556	custom	4|142	custom	4|143
593	material.1:1	74077556	custom	4|143	custom	4|144
594	material.1:1	74208000	custom	4|144	custom	4|145
595	material.1:1	74338889	custom	4|145	custom	4|146
596	material.1:1	74470222	custom	4|146	custom	4|147
597	material.1:1	74602000	custom	4|147	custom	4|148
598	material.1:1	74734222	custom	4|148	custom	4|149
599	material.1:1	74866889	custom	4|149	custom	4|150
600	material.1:1	75000000	custom	4|150	custom	4|151
601	material.1:1	75133556	custom	5|1	custom	5|2
602	material.1:1	75267556	custom	5|2	custom	5|3
603	material.1:1	75402000	custom	5|3	custom	5|4
604	material.1:1	75536889	custom	5|4	custom	5|5
605	material.1:1	75672222	custom	5|5	custom	5|6
606	material.1:1	75808000	custom	5|6	custom	5|7
607	material.1:1	75944222	custom	5|7	custom	5|8
608	material.1:1	76080889	custom	5|8	custom	5|9
609	material.1:1	76218000	custom	5|9	custom	5|10
610	material.1:1	76355556	custom	5|10	custom	5|11
611	material.1:1	76493556	custom	5|11	custom	5|12
612	material.1:1	76632000	custom	5|12	custom	5|13
613	material.1:1	76770889	custom	5|13	custom	5|14
614	material.1:1	76910222	custom	5|14	custom	5|15
615	material.1:1	77050000	custom	5|15	custom	5|16
616	material.1:1	77190222	custom	5|16	custom	5|17
617	material.1:1	77330889	custom	5|17	custom	5|18
618	material.1:1	77472000	custom	5|18	custom	5|19
619	material.1:1	77613556	custom	5|19	custom	5|20
620	material.1:1	77755556	custom	5|20	custom	5|21
621	material.1:1	77898000	custom	5|21	custom	5|22
622	material.1:1	78040889	custom	5|22	custom	5|23
623	material.1:1	78184222	custom	5|23	custom	5|24
624	material.1:1	78328000	custom	5|24	custom	5|25
625	material.1:1	78472222	custom	5|25	custom	5|26
626	material.1:1	78616889	custom	5|26	custom	5|27
627	material.1:1	78762000	custom	5|27	custom	5|28
628	material.1:1	78907556	custom	5|28	custom	5|29
629	material.1:1	79053556	custom	5|29	custom	5|30
630	material.1:1	79200000	custom	5|30	custom	5|31
631	material.1:1	79346889	custom	5|31	custom	5|32
632	material.1:1	79494222	custom	5|32	custom	5|33
633	material.1:1	79642000	custom	5|33	custom	5|34
634	material.1:1	79790222	custom	5|34	custom	5|35
635	material.1:1	79938889	custom	5|35	custom	5|36
636	material.1:1	80088000	custom	5|36	custom	5|37
637	material.1:1	80237556	custom	5|37	custom	5|38
638	material.1:1	80387556	custom	5|38	custom	5|39
639	material.1:1	80538000	custom	5|39	custom	5|40
640	material.1:1	80688889	custom	5|40	custom	5|41
641	material.1:1	80840222	custom	5|41	custom	5|42
642	material.1:1	80992000	custom	5|42	custom	5|43
643	material.1:1	81144222	custom	5|43	custom	5|44
644	material.1:1	81296889	custom	5|44	custom	5|45
645	material.1:1	81450000	custom	5|45	custom	5|46
646	material.1:1	81603556	custom	5|46	custom	5|47
647	material.1:1	81757556	custom	5|47	custom	5|48
648	material.1:1	81912000	custom	5|48	custom	5|49
649	material.1:1	82066889	custom	5|49	custom	5|50
650	material.1:1	82222222	custom	5|50	custom	5|51
651	material.1:1	82378000	custom	5|51	custom	5|52
652	material.1:1	82534222	custom	5|52	custom	5|53
653	material.1:1	82690889	custom	5|53	custom	5|54
654	material.1:1	82848000	custom	5|54	custom	5|55
655	material.1:1	83005556	custom	5|55	custom	5|56
656	material.1:1	83163556	custom	5|56	custom	5|57
657	material.1:1	83322000	custom	5|57	custom	5|58
658	material.1:1	83480889	custom	5|58	custom	5|59
659	material.1:1	83640222	custom	5|59	custom	5|60
660	material.1:1	83800000	custom	5|60	custom	5|61
661	material.1:1	83960222	custom	5|61	custom	5|62
662	material.1:1	84120889	custom	5|62	custom	5|63
663	material.1:1	84282000	custom	5|63	custom	5|64
664	material.1:1	84443556	custom	5|64	custom	5|65
665	material.1:1	84605556	custom	5|65	custom	5|66
666	material.1:1	84768000	custom	5|66	custom	5|67
667	material.1:1	84930889	custom	5|67	custom	5|68
668	material.1:1	85094222	custom	5|68	custom	5|69
669	material.1:1	85258000	custom	5|69	custom	5|70
670	material.1:1	85422222	custom	5|70	custom	5|71
671	material.1:1	85586889	custom	5|71	custom	5|72
672	material.1:1	85752000	custom	5|72	custom	5|73
673	material.1:1	85917556	custom	5|73	custom	5|74
674	material.1:1	86083556	custom	5|74	custom	5|75
675	material.1:1	86250000	custom	5|75	custom	5|76
676	material.1:1	86416889	custom	5|76	custom	5|77
677	material.1:1	86584222	custom	5|77	custom	5|78
678	material.1:1	86752000	custom	5|78	custom	5|79
679	material.1:1	86920222	custom	5|79	custom	5|80
680	material.1:1	87088889	custom	5|80	custom	5|81
681	material.1:1	87258000	custom	5|81	custom	5|82
682	material.1:1	87427556	custom	5|82	custom	5|83
683	material.1:1	87597556	custom	5|83	custom	5|84
684	material.1:1	87768000	custom	5|84	custom	5|85
685	material.1:1	87938889	custom	5|85	custom	5|86
686	material.1:1	88110222	custom	5|86	custom	5|87
687	material.1:1	88282000	custom	5|87	custom	5|88
688	material.1:1	88454222	custom	5|88	custom	5|89
689	material.1:1	88626889	custom	5|89	custom	5|90
690	material.1:1	88800000	custom	5|90	custom	5|91
691	material.1:1	88973556	custom	5|91	custom	5|92
692	material.1:1	89147556	custom	5|92	custom	5|93
693	material.1:1	89322000	custom	5|93	custom	5|94
694	material.1:1	89496889	custom	5|94	custom	5|95
695	material.1:1	89672222	custom	5|95	custom	5|96
696	material.1:1	89848000	custom	5|96	custom	5|97
697	material.1:1	90024222	custom	5|97	custom	5|98
698	material.1:1	90200889	custom	5|98	custom	5|99
699	material.1:1	90378000	custom	5|99	custom	5|100
700	material.1:1	90555556	custom	5|100	custom	5|101
701	material.1:1	90733556	custom	5|101	custom	5|102
702	material.1:1	90912000	custom	5|102	custom	5|103
703	material.1:1	91090889	custom	5|103	custom	5|104
704	material.1:1	91270222	custom	5|104	custom	5|105
705	material.1:1	91450000	custom	5|105	custom	5|106
706	material.1:1	91630222	custom	5|106	custom	5|107
707	material.1:1	91810889	custom	5|107	custom	5|108
708	material.1:1	91992000	custom	5|108	custom	5|109
709	material.1:1	92173556	custom	5|109	custom	5|110
710	material.1:1	92355556	custom	5|110	custom	5|111
711	material.1:1	92538000	custom	5|111	custom	5|112
712	material.1:1	92720889	custom	5|112	custom	5|113
713	material.1:1	92904222	custom	5|113	custom	5|114
714	material.1:1	93088000	custom	5|114	custom	5|115
715	material.1:1	93272222	custom	5|115	custom	5|116
716	material.1:1	93456889	custom	5|116	custom	5|117
717	material.1:1	93642000	custom	5|117	custom	5|118
718	material.1:1	93827556	custom	5|118	custom	5|119
719	material.1:1	94013556	custom	5|119	custom	5|120
720	material.1:1	94200000	custom	5|120	custom	5|121
721	material.1:1	94386889	custom	5|121	custom	5|122
722	material.1:1	94574222	custom	5|122	custom	5|123
723	material.1:1	94762000	custom	5|123	custom	5|124
724	material.1:1	94950222	custom	5|124	custom	5|125
725	material.1:1	95138889	custom	5|125	custom	5|126
726	material.1:1	95328000	custom	5|126	custom	5|127
727	material.1:1	95517556	custom	5|127	custom	5|128
728	material.1:1	95707556	custom	5|128	custom	5|129
729	material.1:1	95898000	custom	5|129	custom	5|130
730	material.1:1	96088889	custom	5|130	custom	5|131
731	material.1:1	96280222	custom	5|131	custom	5|132
732	material.1:1	96472000	custom	5|132	custom	5|133
733	material.1:1	96664222	custom	5|133	custom	5|134
734	material.1:1	96856889	custom	5|134	custom	5|135
735	material.1:1	97050000	custom	5|135	custom	5|136
736	material.1:1	97243556	custom	5|136	custom	5|137
737	material.1:1	97437556	custom	5|137	custom	5|138
738	material.1:1	97632000	custom	5|138	custom	5|139
739	material.1:1	97826889	custom	5|139	custom	5|140
740	material.1:1	98022222	custom	5|140	custom	5|141
741	material.1:1	98218000	custom	5|141	custom	5|142
742	material.1:1	98414222	custom	5|142	custom	5|143
743	material.1:1	98610889	custom	5|143	custom	5|144
744	material.1:1	98808000	custom	5|144	custom	5|145
745	material.1:1	99005556	custom	5|145	custom	5|146
746	material.1:1	99203556	custom	5|146	custom	5|147
747	material.1:1	99402000	custom	5|147	custom	5|148
748	material.1:1	99600889	custom	5|148	custom	5|149
749	material.1:1	99800222	custom	5|149	custom	5|150
750	material.1:1	100000000	custom	5|150	gameday	9999
751	material.930:1	7000000	custom	1|1	gameday	9999
752	equip.10101.0:1	700000	custom	1|3	custom	1|30
753	equip.20101.0:1	700000	custom	1|6	custom	1|40
754	equip.30101.0:1	700000	custom	1|9	custom	1|50
755	equip.40101.0:1	700000	custom	1|12	custom	1|60
756	equip.50101.0:1	700000	custom	1|15	custom	1|70
757	equip.60101.0:1	700000	custom	1|18	custom	1|80
758	material.940:1	2500000	custom	1|24	gameday	9999
759	equip.10201.0:1	350000	custom	1|30	custom	1|100
760	equip.20201.0:1	350000	custom	1|40	custom	1|110
761	equip.30201.0:1	350000	custom	1|50	custom	1|120
762	equip.40201.0:1	350000	custom	1|60	custom	1|130
763	equip.50201.0:1	350000	custom	1|70	custom	1|140
764	equip.60201.0:1	350000	custom	1|80	custom	1|150
765	material.950:1	400000	custom	1|90	gameday	9999
766	equip.10301.0:1	350000	custom	1|100	custom	2|25
767	equip.20301.0:1	350000	custom	1|110	custom	2|50
768	equip.30301.0:1	350000	custom	1|120	custom	2|75
769	equip.40301.0:1	350000	custom	1|130	custom	2|100
770	equip.50301.0:1	350000	custom	1|140	custom	2|125
771	equip.60301.0:1	350000	custom	1|150	custom	2|150
772	equip.10401.0:1	200000	custom	2|25	custom	3|25
773	equip.20401.0:1	200000	custom	2|50	custom	3|50
774	equip.30401.0:1	200000	custom	2|75	custom	3|75
775	equip.40401.0:1	200000	custom	2|100	custom	3|100
776	equip.50401.0:1	200000	custom	2|125	custom	3|125
777	equip.60401.0:1	200000	custom	2|150	custom	3|150
778	equip.10501.0:1	120000	custom	3|25	custom	4|25
779	equip.20501.0:1	120000	custom	3|50	custom	4|50
780	equip.30501.0:1	120000	custom	3|75	custom	4|75
781	equip.40501.0:1	120000	custom	3|100	custom	4|100
782	equip.50501.0:1	120000	custom	3|125	custom	4|125
783	equip.60501.0:1	120000	custom	3|150	custom	4|150
784	equip.10601.0:1	60000	custom	4|25	gameday	9999
785	equip.20601.0:1	60000	custom	4|50	gameday	9999
786	equip.30601.0:1	60000	custom	4|75	gameday	9999
787	equip.40601.0:1	60000	custom	4|100	gameday	9999
788	equip.50601.0:1	60000	custom	4|125	gameday	9999
789	equip.60601.0:1	60000	custom	4|150	gameday	9999
790	equip.10701.0:1	10000	custom	5|25	gameday	9999
791	equip.20701.0:1	10000	custom	5|50	gameday	9999
792	equip.30701.0:1	10000	custom	5|75	gameday	9999
793	equip.40701.0:1	10000	custom	5|100	gameday	9999
794	equip.50701.0:1	10000	custom	5|125	gameday	9999
795	equip.60701.0:1	10000	custom	5|150	gameday	9999
