技能Id	技能名称	技能说明	注释	技能类型	触发释放条件	目标选择时间类型	范围选择类型	直接选择目标类型	范围选择中心点类型	范围选择目标类型	目标偏移	是否显示范围	范围选择目标最大个数	扇形角度	圆形和扇形范围半径	矩形范围X1	矩形范围X2	矩形范围Y1	矩形范围Y2	施法动作	子弹Id	子弹延迟发射（ms）	子弹数量	子弹间隔时间毫秒	子弹发射类型	技能冒字	全屏头像	技能释放音效	技能受击音效	技能特效Id	技能特效Id2	受击特效	受击特效挂载点位置	受击特效渲染层级	特效循环次数	效果产生次数	效果产生延迟时间	效果产生间隔	效果类型(0没有效果，1普通效果，2真实伤害)	屏幕震动时间毫秒(只支持近战或者bulletType为2的技能)	震动强度横向	震动强度纵向	效果类型（1伤害，2加血）	是否显示数字	伤害类型（按武将类型，0物理，1魔法）	是否无视闪避	无视护甲万分比	无视技防万分比	附加暴击率万分比	附加吸血万分比	附加吸血固定值	抽怒万分比	消怒万分比	额外伤害类型	额外伤害值	伤害系数	召唤物ID	召唤物数量	召唤物死亡类型	存在时间（毫秒）	攻击次数	被攻击次数	召唤位置(1攻击者，2受攻击者，3技能的目标点)	召唤物出生相对位置1前方2后方	产生的buff	BUFF生效几率（万分比）	BUFF持续时间（毫秒）	施放者BUFF	释放者BUFF生效几率（万分比）	释放者BUFF持续时间（毫秒）	驱散效果(1驱散负面，2驱散正面，3驱散所有)	特殊处理	特殊脚本	脚本参数	技能喊话图片	技能icon	技能描述	技能参数	对比描述
50071207	text_skill_5007_name_2	神圣审判7级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	18883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071208	text_skill_5007_name_2	神圣审判8级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	19452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071209	text_skill_5007_name_2	神圣审判9级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	20021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071210	text_skill_5007_name_2	神圣审判10级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	20590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071211	text_skill_5007_name_2	神圣审判11级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	21159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071212	text_skill_5007_name_2	神圣审判12级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	21728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071213	text_skill_5007_name_2	神圣审判13级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	22297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071214	text_skill_5007_name_2	神圣审判14级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	22866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50071215	text_skill_5007_name_2	神圣审判15级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	0	0	0	0	0	0	0	23435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072101	text_skill_5007_name_1	圣光十字1级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	6683	0	0	0	0	0	0	0	0	50072101	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072102	text_skill_5007_name_1	圣光十字2级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	7171	0	0	0	0	0	0	0	0	50072102	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072103	text_skill_5007_name_1	圣光十字3级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	7659	0	0	0	0	0	0	0	0	50072103	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072104	text_skill_5007_name_1	圣光十字4级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	8147	0	0	0	0	0	0	0	0	50072104	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072105	text_skill_5007_name_1	圣光十字5级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	8635	0	0	0	0	0	0	0	0	50072105	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072106	text_skill_5007_name_1	圣光十字6级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	9123	0	0	0	0	0	0	0	0	50072106	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072107	text_skill_5007_name_1	圣光十字7级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	9611	0	0	0	0	0	0	0	0	50072107	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072108	text_skill_5007_name_1	圣光十字8级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	10099	0	0	0	0	0	0	0	0	50072108	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072109	text_skill_5007_name_1	圣光十字9级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	10587	0	0	0	0	0	0	0	0	50072109	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072110	text_skill_5007_name_1	圣光十字10级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	11075	0	0	0	0	0	0	0	0	50072110	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072111	text_skill_5007_name_1	圣光十字11级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	11563	0	0	0	0	0	0	0	0	50072111	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072112	text_skill_5007_name_1	圣光十字12级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	12051	0	0	0	0	0	0	0	0	50072112	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072113	text_skill_5007_name_1	圣光十字13级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	12539	0	0	0	0	0	0	0	0	50072113	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072114	text_skill_5007_name_1	圣光十字14级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	13027	0	0	0	0	0	0	0	0	50072114	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072115	text_skill_5007_name_1	圣光十字15级	圣光骑士	1	0	0	2	0	1	3	0	0	999	0	0	0	0	0	0	skill1	50070100	0	1	0	2	0	0	0	0	0	0	hit_shengguangqishi01	2	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	13515	0	0	0	0	0	0	0	0	50072115	10000	4000	0	0	0	0	0	0	0	0	skill_shengguangqishi_01.png	text_skill_5007_desc_1_0|text_skill_5007_desc_1_1|text_skill_5007_desc_1_2|text_skill_5007_desc_1_3	s.coefficient.1./.100.%|b.attributePercent.1./.-100.%|s.buffTime.1./.1000.s	0
50072201	text_skill_5007_name_2	神圣审判1级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	15469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072202	text_skill_5007_name_2	神圣审判2级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	16038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072203	text_skill_5007_name_2	神圣审判3级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	16607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072204	text_skill_5007_name_2	神圣审判4级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	17176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072205	text_skill_5007_name_2	神圣审判5级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	17745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072206	text_skill_5007_name_2	神圣审判6级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	18314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072207	text_skill_5007_name_2	神圣审判7级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	18883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072208	text_skill_5007_name_2	神圣审判8级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	19452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072209	text_skill_5007_name_2	神圣审判9级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	20021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072210	text_skill_5007_name_2	神圣审判10级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	20590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072211	text_skill_5007_name_2	神圣审判11级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	21159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072212	text_skill_5007_name_2	神圣审判12级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	21728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072213	text_skill_5007_name_2	神圣审判13级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	22297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072214	text_skill_5007_name_2	神圣审判14级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	22866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50072215	text_skill_5007_name_2	神圣审判15级	圣光骑士	1	0	2	2	0	1	3	0	0	999	0	0	-120	120	-55	95	skill2	0	0	0	0	2	0	0	0	0	50070201	0	0	0	0	0	3	250	83	1	0	0	0	1	1	1	0	0	2155	2000	0	0	0	0	0	0	23435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	skill_shengguangqishi_02.png	text_skill_5007_desc_2_0|text_skill_5007_desc_2_1	s.coefficient.1./.100.%	0
50080001	0	普攻1级	光明圣女	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	50080000	0	1	0	1	0	0	0	0	0	0	hit_guangmingshengnv00	2	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
50080101	text_skill_5008_name_1	孤注一掷1级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080101	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
50080102	text_skill_5008_name_1	孤注一掷2级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080102	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
50080103	text_skill_5008_name_1	孤注一掷3级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080103	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
50080104	text_skill_5008_name_1	孤注一掷4级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080104	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
50080105	text_skill_5008_name_1	孤注一掷5级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080105	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
50080106	text_skill_5008_name_1	孤注一掷6级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080106	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
50080107	text_skill_5008_name_1	孤注一掷7级	光明圣女	1	0	2	1	101	0	0	0	0	0	0	0	0	0	0	0	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	-1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50080107	10000	8000	0	0	0	0	0	skill_guangmingshengnv_01.png	text_skill_5008_desc_1_0|text_skill_5008_desc_1_1|text_skill_5008_desc_1_2|text_skill_5008_desc_1_3	ob.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s|s.burnMpPercent.1./.-100.%	0
