次数	五星英雄碎片购买	极品1级龙晶购买消耗	竞技场门票购买消耗	困难重置消耗元宝	精英重置消耗元宝	普通重置消耗元宝	秘境怪人刷新消耗元宝	秘境硬币重置消耗元宝	探索任务次数购买消耗	探索挂机加速消耗元宝	千重楼重置消耗	皇城争霸挑战次数购买	龙晶矿洞矿锄购买	军团BOSS挑战消耗	军团领地行动力购买消耗	军团BOSS挑战消耗1	英雄背包购买	护送战斗点	护送任务购买	巅峰竞技场补足次数消耗	军团战探索次数购买消耗
63	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
64	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
65	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
66	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
67	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
68	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
69	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
70	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
71	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
72	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
73	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
74	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
75	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
76	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
77	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
78	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
79	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
80	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
81	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
82	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
83	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
84	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
85	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
86	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
87	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
88	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
89	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
90	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
91	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
92	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
93	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
94	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
95	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
96	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
97	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
98	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
99	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
100	user.mixcash:-60	user.mixcash:-120	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-500	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-250	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50	user.mixcash:-150
