编号	名称	类别	资源类别	品质	颜色方案	星级	兵种角标	特效方案	背包类型	背包页签	排序	使用方式	使用类型	子类型	展示类型	使用效果	功能	合成、使用等级限制	合成生成道具	合成数量	使用、合成消耗	使用消耗1	是否可出售	出售价格	图标	描述	前往查看	是否显示加号	获取途径	商店快速购买索引
100501	text_materialsNameId_100501	material	material	4	4	0	0	0	item	box	3350	1	box	0	0	drop.100501:1		1	0	0	0	0	0	0	danbao.png	text_materialsDescId_100501	0	0	0	0
100502	text_materialsNameId_100502	material	material	5	5	0	0	0	item	box	3350	1	box	0	0	drop.100502:1		1	0	0	0	0	0	0	danbao2.png	text_materialsDescId_100502	0	0	0	0
100503	text_materialsNameId_100503	material	material	6	6	0	0	0	item	box	3350	1	box	0	0	drop.100503:1		1	0	0	0	0	0	0	danbao3.png	text_materialsDescId_100503	0	0	0	0
100504	text_materialsNameId_100504	material	material	6	6	0	0	0	item	box	3350	1	box	0	0	drop.100504:1		1	0	0	0	0	0	0	danbao4.png	text_materialsDescId_100504	0	0	0	0
100505	text_materialsNameId_100505	material	material	6	6	0	0	0	item	box	3350	1	box	0	0	drop.100505:1		1	0	0	0	0	0	0	danbao5.png	text_materialsDescId_100505	0	0	0	0
100601	text_materialsNameId_100601	material	material	4	4	0	0	0	item	box	3360	1	box	0	0	drop.100601:1		42	0	0	0	0	0	0	rune_box_1.png	text_materialsDescId_100601	0	0	0	0
100602	text_materialsNameId_100602	material	material	5	5	0	0	15	item	box	3360	1	box	0	0	drop.100602:1		42	0	0	0	0	0	0	rune_box_2.png	text_materialsDescId_100602	0	0	0	0
101101	text_materialsNameId_101101	material	material	2	2	0	0	0	0	0	0	1	specialBox	0	0	drop.101101:1		1	0	0	material.101151:-1	0	0	0	specialbox1.png	text_materialsDescId_101101	0	0	0	0
101102	text_materialsNameId_101102	material	material	3	3	0	0	0	0	0	0	1	specialBox	0	0	drop.101102:1		1	0	0	material.101152:-1	0	0	0	specialbox2.png	text_materialsDescId_101102	0	0	0	0
101103	text_materialsNameId_101103	material	material	4	4	0	0	0	0	0	0	1	specialBox	0	0	drop.101103:1		1	0	0	material.101153:-1	0	0	0	specialbox3.png	text_materialsDescId_101103	0	0	0	0
101104	text_materialsNameId_101104	material	material	5	5	0	0	0	0	0	0	1	specialBox	0	0	drop.101104:1		1	0	0	material.101154:-1	0	0	0	specialbox4.png	text_materialsDescId_101104	0	0	0	0
101105	text_materialsNameId_101105	material	material	6	6	0	0	0	0	0	0	1	specialBox	0	0	drop.101105:1		1	0	0	material.101155:-1	0	0	0	specialbox5.png	text_materialsDescId_101105	0	0	0	0
101106	text_materialsNameId_101106	material	material	7	7	0	0	0	0	0	0	1	specialBox	0	0	drop.101106:1		1	0	0	material.101156:-1	0	0	0	specialbox6.png	text_materialsDescId_101106	0	0	0	0
101151	text_materialsNameId_101151	material	material	2	2	0	0	0	0	0	0	1	specialKey	0	0	0		1	0	0	0	0	0	0	specialkey1.png	text_materialsDescId_101151	0	0	0	0
101152	text_materialsNameId_101152	material	material	3	3	0	0	0	0	0	0	1	specialKey	0	0	0		1	0	0	0	0	0	0	specialkey2.png	text_materialsDescId_101152	0	0	0	0
101153	text_materialsNameId_101153	material	material	4	4	0	0	0	0	0	0	1	specialKey	0	0	0		1	0	0	0	0	0	0	specialkey3.png	text_materialsDescId_101153	0	0	0	0
101154	text_materialsNameId_101154	material	material	5	5	0	0	0	0	0	0	1	specialKey	0	0	0		1	0	0	0	0	0	0	specialkey4.png	text_materialsDescId_101154	0	0	0	0
101155	text_materialsNameId_101155	material	material	6	6	0	0	0	0	0	0	1	specialKey	0	0	0		1	0	0	0	0	0	0	specialkey5.png	text_materialsDescId_101155	0	0	0	0
101156	text_materialsNameId_101156	material	material	7	7	0	0	0	0	0	0	1	specialKey	0	0	0		1	0	0	0	0	0	0	specialkey6.png	text_materialsDescId_101156	0	0	0	0
101201	text_materialsNameId_101201	material	material	5	5	0	0	0	item	box	3600	1	box	0	0	drop.101201:1		1	0	0	0	0	0	0	fengjiangbx.png	text_materialsDescId_101201	0	0	0	0
101301	text_materialsNameId_101301	material	material	5	5	0	0	0	item	box	3600	1	box	0	0	drop.101301:1		1	0	0	0	0	0	0	box14.png	text_materialsDescId_101301	0	0	0	0
101302	text_materialsNameId_101302	material	material	5	5	0	0	0	item	box	3600	1	box	0	0	drop.101302:1		1	0	0	0	0	0	0	box15.png	text_materialsDescId_101302	0	0	0	0
101303	text_materialsNameId_101303	material	material	5	5	0	0	0	item	box	3600	1	box	0	0	drop.101303:1		1	0	0	0	0	0	0	box16.png	text_materialsDescId_101303	0	0	0	0
101401	text_materialsNameId_101401	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101401:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101401	0	0	0	0
101402	text_materialsNameId_101402	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101402:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101402	0	0	0	0
101403	text_materialsNameId_101403	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101403:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101403	0	0	0	0
101404	text_materialsNameId_101404	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101404:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101404	0	0	0	0
101405	text_materialsNameId_101405	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101405:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101405	0	0	0	0
101406	text_materialsNameId_101406	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101406:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101406	0	0	0	0
101407	text_materialsNameId_101407	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101407:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101407	0	0	0	0
101408	text_materialsNameId_101408	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101408:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101408	0	0	0	0
101409	text_materialsNameId_101409	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101409:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101409	0	0	0	0
101410	text_materialsNameId_101410	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101410:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101410	0	0	0	0
101411	text_materialsNameId_101411	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101411:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101411	0	0	0	0
101412	text_materialsNameId_101412	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101412:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101412	0	0	0	0
101413	text_materialsNameId_101413	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101413:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101413	0	0	0	0
101414	text_materialsNameId_101414	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101414:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101414	0	0	0	0
101415	text_materialsNameId_101415	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101415:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101415	0	0	0	0
101416	text_materialsNameId_101416	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101416:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101416	0	0	0	0
101417	text_materialsNameId_101417	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101417:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101417	0	0	0	0
101418	text_materialsNameId_101418	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101418:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101418	0	0	0	0
101419	text_materialsNameId_101419	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101419:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101419	0	0	0	0
101420	text_materialsNameId_101420	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101420:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101420	0	0	0	0
101421	text_materialsNameId_101421	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101421:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101421	0	0	0	0
101422	text_materialsNameId_101422	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101422:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101422	0	0	0	0
101423	text_materialsNameId_101423	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101423:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101423	0	0	0	0
101424	text_materialsNameId_101424	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101424:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101424	0	0	0	0
101425	text_materialsNameId_101425	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101425:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101425	0	0	0	0
101426	text_materialsNameId_101426	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101426:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101426	0	0	0	0
101427	text_materialsNameId_101427	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101427:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101427	0	0	0	0
101428	text_materialsNameId_101428	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101428:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101428	0	0	0	0
101429	text_materialsNameId_101429	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101429:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101429	0	0	0	0
101430	text_materialsNameId_101430	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101430:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101430	0	0	0	0
101431	text_materialsNameId_101431	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101431:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101431	0	0	0	0
101432	text_materialsNameId_101432	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101432:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101432	0	0	0	0
101433	text_materialsNameId_101433	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101433:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101433	0	0	0	0
101434	text_materialsNameId_101434	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101434:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101434	0	0	0	0
101435	text_materialsNameId_101435	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101435:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101435	0	0	0	0
101436	text_materialsNameId_101436	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101436:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101436	0	0	0	0
101437	text_materialsNameId_101437	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101437:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101437	0	0	0	0
101438	text_materialsNameId_101438	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101438:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101438	0	0	0	0
101439	text_materialsNameId_101439	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101439:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101439	0	0	0	0
101440	text_materialsNameId_101440	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101440:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101440	0	0	0	0
101441	text_materialsNameId_101441	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101441:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101441	0	0	0	0
101442	text_materialsNameId_101442	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101442:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101442	0	0	0	0
101443	text_materialsNameId_101443	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101443:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101443	0	0	0	0
101444	text_materialsNameId_101444	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101444:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101444	0	0	0	0
101445	text_materialsNameId_101445	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101445:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101445	0	0	0	0
101446	text_materialsNameId_101446	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101446:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101446	0	0	0	0
101447	text_materialsNameId_101447	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101447:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101447	0	0	0	0
101448	text_materialsNameId_101448	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101448:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101448	0	0	0	0
101449	text_materialsNameId_101449	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101449:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101449	0	0	0	0
101450	text_materialsNameId_101450	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101450:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101450	0	0	0	0
101451	text_materialsNameId_101451	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101451:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101451	0	0	0	0
101452	text_materialsNameId_101452	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101452:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101452	0	0	0	0
101453	text_materialsNameId_101453	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101453:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101453	0	0	0	0
101454	text_materialsNameId_101454	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101454:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101454	0	0	0	0
101455	text_materialsNameId_101455	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101455:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101455	0	0	0	0
101456	text_materialsNameId_101456	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101456:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101456	0	0	0	0
101457	text_materialsNameId_101457	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101457:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101457	0	0	0	0
101458	text_materialsNameId_101458	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101458:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101458	0	0	0	0
101459	text_materialsNameId_101459	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101459:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101459	0	0	0	0
101460	text_materialsNameId_101460	material	material	4	4	0	0	0	item	box	3500	1	box	0	0	drop.101460:1		1	0	0	0	0	0	0	specialbox7.png	text_materialsDescId_101460	0	0	0	0
101501	text_materialsNameId_101501	material	material	7	7	0	0	17	item	box	3501	1	box	0	0	drop.101501:1		1	0	0	0	0	0	0	box13.png	text_materialsDescId_101501	0	0	0	0
101502	text_materialsNameId_101502	material	material	6	6	0	0	0	item	box	3501	1	box	0	0	drop.101502:1		1	0	0	0	0	0	0	box12.png	text_materialsDescId_101502	0	0	0	0
101503	text_materialsNameId_101503	material	material	5	5	0	0	0	item	box	3501	1	box	0	0	drop.101503:1		1	0	0	0	0	0	0	box11.png	text_materialsDescId_101503	0	0	0	0
101504	text_materialsNameId_101504	material	material	4	4	0	0	0	item	box	3501	1	box	0	0	drop.101504:1		1	0	0	0	0	0	0	box10.png	text_materialsDescId_101504	0	0	0	0
101505	text_materialsNameId_101505	material	material	3	3	0	0	0	item	box	3501	1	box	0	0	drop.101505:1		1	0	0	0	0	0	0	box9.png	text_materialsDescId_101505	0	0	0	0
101506	text_materialsNameId_101506	material	material	2	2	0	0	0	item	box	3501	1	box	0	0	drop.101506:1		1	0	0	0	0	0	0	box14.png	text_materialsDescId_101506	0	0	0	0
101601	text_materialsNameId_101601	material	material	4	4	0	0	14	item	box	3502	1	box	0	0	drop.101601:1		1	0	0	0	0	0	0	gift_box_1.png	text_materialsDescId_101601	0	0	0	0
101602	text_materialsNameId_101602	material	material	5	5	0	0	15	item	box	3502	1	box	0	0	drop.101602:1		1	0	0	0	0	0	0	gift_box_3.png	text_materialsDescId_101602	0	0	0	0
101603	text_materialsNameId_101603	material	material	6	6	0	0	16	item	box	3502	1	box	0	0	drop.101603:1		1	0	0	0	0	0	0	gift_box_8.png	text_materialsDescId_101603	0	0	0	0
101701	text_materialsNameId_101701	material	material	2	2	0	0	12	item	box	3503	1	box	0	0	drop.101701:1		1	0	0	0	0	0	0	equip_box_2.png	text_materialsDescId_101701	0	0	0	0
101702	text_materialsNameId_101702	material	material	3	3	0	0	13	item	box	3503	1	box	0	0	drop.101702:1		1	0	0	0	0	0	0	equip_box_3.png	text_materialsDescId_101702	0	0	0	0
101703	text_materialsNameId_101703	material	material	4	4	0	0	14	item	box	3503	1	box	0	0	drop.101703:1		1	0	0	0	0	0	0	equip_box_4.png	text_materialsDescId_101703	0	0	0	0
101704	text_materialsNameId_101704	material	material	5	5	0	0	15	item	box	3503	1	box	0	0	drop.101704:1		1	0	0	0	0	0	0	equip_box_5.png	text_materialsDescId_101704	0	0	0	0
101705	text_materialsNameId_101705	material	material	6	6	0	0	16	item	box	3503	1	box	0	0	drop.101705:1		1	0	0	0	0	0	0	equip_box_6.png	text_materialsDescId_101705	0	0	0	0
101706	text_materialsNameId_101706	material	material	7	7	0	0	17	item	box	3503	1	box	0	0	drop.101706:1		1	0	0	0	0	0	0	equip_box_7.png	text_materialsDescId_101706	0	0	0	0
101707	text_materialsNameId_101707	material	material	8	8	0	0	18	item	box	3503	1	box	0	0	drop.101707:1		1	0	0	0	0	0	0	equip_box_8.png	text_materialsDescId_101707	0	0	0	0
109901	text_materialsNameId_109901	material	material	5	5	0	0	15	item	box	3600	1	herobox	0	1	1		1	0	0	0	0	0	0	first.png	text_materialsDescId_109901	0	0	0	0
109904	text_materialsNameId_109904	material	material	4	4	0	0	0	item	box	3600	1	herobox	0	1	109904		1	0	0	0	0	0	0	box8.png	text_materialsDescId_109904	0	0	0	0
109911	text_materialsNameId_109911	material	material	5	5	4	0	15	item	box	3600	1	herobox	0	1	109911		1	0	0	0	0	0	0	box7.png	text_materialsDescId_109911	0	0	0	0
109921	text_materialsNameId_109921	material	material	6	6	0	0	16	item	box	3700	1	herobox	0	1	109921		1	0	0	0	0	0	0	red_box1.png	text_materialsDescId_109921	0	0	0	0
109922	text_materialsNameId_109922	material	material	6	6	0	0	16	item	box	3700	1	herobox	0	1	109922		1	0	0	0	0	0	0	redfragment_box1.png	text_materialsDescId_109922	0	0	0	0
109931	text_materialsNameId_109931	material	material	6	6	0	0	16	item	box	3700	1	herobox	0	1	109931		1	0	0	0	0	0	0	red_box2.png	text_materialsDescId_109931	0	0	0	0
109932	text_materialsNameId_109932	material	material	6	6	0	0	16	item	box	3700	1	herobox	0	1	109932		1	0	0	0	0	0	0	redfragment_box4.png	text_materialsDescId_109932	0	0	0	0
110002	text_materialsNameId_110002	material	material	5	5	0	0	0	item	box	3800	1	box	0	0	drop.110002:1		1	0	0	0	0	0	0	friendgift.png	text_materialsDescId_110002	0	0	0	0
200001	text_materialsNameId_200001	material	material	6	6	0	0	16	item	fragment	5000	2	0	0	0	0		1	user.godsoul:1	1000	0	0	0	0	godsoul.png	text_materialsDescId_200001	0	0	0	0
200002	text_materialsNameId_200002	material	material	5	5	0	0	15	item	fragment	5000	2	0	0	0	0		1	material.42:1	10000	0	0	0	0	awakegod_chip.png	text_materialsDescId_200002	0	0	801	0
200101	text_materialsNameId_200101	material	material	2	2	0	0	0	item	fragment	5100	2	0	0	0	0		1	dragon.101:1	40	0	0	0	0	dragon_fragment_1.png	text_materialsDescId_200101	0	0	701	0
200201	text_materialsNameId_200201	material	material	1	1	0	0	11	item	fragment	5200	2	0	0	0	0		1	group.2001.1:1	1	0	0	0	0	equip_fragment_1.png	text_materialsDescId_200201	0	0	0	0
200202	text_materialsNameId_200202	material	material	2	2	0	0	12	item	fragment	5200	2	0	0	0	0		1	group.2002.1:1	1	0	0	0	0	equip_fragment_2.png	text_materialsDescId_200202	0	0	0	0
200203	text_materialsNameId_200203	material	material	3	3	0	0	13	item	fragment	5200	2	0	0	0	0		1	group.2003.1:1	100	0	0	0	0	equip_fragment_3.png	text_materialsDescId_200203	0	0	0	0
200204	text_materialsNameId_200204	material	material	4	4	0	0	14	item	fragment	5200	2	0	0	0	0		1	group.2004.1:1	100	0	0	0	0	equip_fragment_4.png	text_materialsDescId_200204	0	0	0	0
200205	text_materialsNameId_200205	material	material	5	5	0	0	15	item	fragment	5200	2	0	0	0	0		1	group.2005.1:1	100	0	0	0	0	equip_fragment_5.png	text_materialsDescId_200205	0	0	0	0
200206	text_materialsNameId_200206	material	material	6	6	0	0	16	item	fragment	5200	2	0	0	0	0		1	group.2006.1:1	100	0	0	0	0	equip_fragment_6.png	text_materialsDescId_200206	0	0	0	0
200207	text_materialsNameId_200207	material	material	7	7	0	0	17	item	fragment	5200	2	0	0	0	0		1	group.2007.1:1	100	0	0	0	0	equip_fragment_7.png	text_materialsDescId_200207	0	0	0	0
200301	text_materialsNameId_200301	material	material	1	2	0	0	0	item	fragment	5300	2	0	0	0	0		1	material.101151:1	5	0	0	0	0	specialkey1.png	text_materialsDescId_200301	0	0	0	0
200302	text_materialsNameId_200302	material	material	1	3	0	0	0	item	fragment	5300	2	0	0	0	0		1	material.101152:1	10	0	0	0	0	specialkey2.png	text_materialsDescId_200302	0	0	0	0
200303	text_materialsNameId_200303	material	material	1	4	0	0	0	item	fragment	5300	2	0	0	0	0		1	material.101153:1	15	0	0	0	0	specialkey3.png	text_materialsDescId_200303	0	0	0	0
200304	text_materialsNameId_200304	material	material	1	5	0	0	0	item	fragment	5300	2	0	0	0	0		1	material.101154:1	20	0	0	0	0	specialkey4.png	text_materialsDescId_200304	0	0	0	0
200305	text_materialsNameId_200305	material	material	1	6	0	0	0	item	fragment	5300	2	0	0	0	0		1	material.101155:1	25	0	0	0	0	specialkey5.png	text_materialsDescId_200305	0	0	0	0
200306	text_materialsNameId_200306	material	material	1	7	0	0	0	item	fragment	5300	2	0	0	0	0		1	material.101156:1	30	0	0	0	0	specialkey6.png	text_materialsDescId_200306	0	0	0	0
300001	text_materialsNameId_300001	material	material	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	bomb.png	text_materialsDescId_300001	0	0	10101	0
300002	text_materialsNameId_300002	material	material	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	tnt.png	text_materialsDescId_300002	0	0	10101	0
300004	text_materialsNameId_300004	material	material	0	0	0	0	0	item	normal	6000	0	0	0	0	0		1	0	0	0	0	0	0	laba.png	text_materialsDescId_300004	0	0	10101	0
300005	text_materialsNameId_300005	material	material	7	7	0	0	17	item	normal	2	0	0	0	0	0		1	0	0	0	0	0	0	apple.png	text_materialsDescId_300005	activity:limit_exchange	0	30001|30002	0
300006	text_materialsNameId_300006	material	material	7	7	0	0	17	item	normal	2	0	0	0	0	0		1	0	0	0	0	0	0	dragonbead.png	text_materialsDescId_300006	dragonBead	0	0	0
300007	text_materialsNameId_300007	material	material	7	7	0	0	17	item	normal	2	1	box	0	0	drop.300007:1		1	0	0	0	0	0	0	box3.png	text_materialsDescId_300007	0	0	0	0
300008	text_materialsNameId_300008	material	material	7	7	0	0	17	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	pointer.png	text_materialsDescId_300008	0	0	0	0
300101	text_materialsNameId_300101	material	material	5	5	0	0	0	0	0	0	1	box	0	0	drop.0:1		1	0	0	0	0	0	0	gao.png	text_materialsDescId_300101	0	0	0	0
300102	text_materialsNameId_300102	material	material	5	5	0	0	0	0	0	0	1	box	0	0	drop.0:1		1	0	0	0	0	0	0	gao.png	text_materialsDescId_300102	0	0	0	0
300103	text_materialsNameId_300103	material	material	6	6	0	0	0	0	0	2	1	box	0	0	drop.300103:1		1	0	0	0	0	0	0	box17.png	text_materialsDescId_300103	0	0	0	0
300104	text_materialsNameId_300104	material	material	5	5	0	0	0	0	0	0	1	box	0	0	drop.300104:1		1	0	0	0	0	0	0	baozang2.png	text_materialsDescId_300104	0	0	0	0
300105	text_materialsNameId_300105	material	material	5	5	0	0	0	0	0	0	1	box	0	0	drop.300105:1		1	0	0	0	0	0	0	baozang2.png	text_materialsDescId_300105	0	0	0	0
300106	text_materialsNameId_300106	material	material	5	5	0	0	0	0	0	0	1	box	0	0	drop.300106:1		1	0	0	0	0	0	0	baozang2.png	text_materialsDescId_300106	0	0	0	0
300201	text_materialsNameId_300201	material	material	3	3	0	0	0	0	0	2	1	box	0	0	drop.300201:1		1	0	0	0	0	0	0	box1.png	text_materialsDescId_300201	0	0	0	0
300202	text_materialsNameId_300202	material	material	4	4	0	0	0	0	0	2	1	box	0	0	drop.300202:1		1	0	0	0	0	0	0	box2.png	text_materialsDescId_300202	0	0	0	0
300203	text_materialsNameId_300203	material	material	5	5	0	0	0	0	0	2	1	box	0	0	drop.300203:1		1	0	0	0	0	0	0	box3.png	text_materialsDescId_300203	0	0	0	0
300204	text_materialsNameId_300204	material	material	6	6	0	0	0	0	0	2	1	box	0	0	drop.300204:1		1	0	0	0	0	0	0	box17.png	text_materialsDescId_300204	0	0	0	0
300401	text_materialsNameId_300401	material	material	5	5	0	0	15	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	pond1.png	text_materialsDescId_300401	0	0	0	0
300402	text_materialsNameId_300402	material	material	6	6	0	0	16	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	pond2.png	text_materialsDescId_300402	0	0	0	0
300403	text_materialsNameId_300403	material	material	7	7	0	0	17	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	pond3.png	text_materialsDescId_300403	0	0	0	0
310001	text_materialsNameId_310001	material	material	5	5	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	puppet.png	text_materialsDescId_310001	0	0	0	0
310002	text_materialsNameId_310002	material	material	4	4	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	mixia_low.png	text_materialsDescId_310002	0	0	0	0
310003	text_materialsNameId_310003	material	material	5	5	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	mixia_high.png	text_materialsDescId_310003	0	0	0	0
310004	text_materialsNameId_310004	material	material	5	5	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	longjinyinji.png	text_materialsDescId_310004	0	0	0	0
310005	text_materialsNameId_310005	material	material	7	7	0	0	17	item	normal	3	0	0	0	0	0		1	0	0	0	0	0	0	customkey.png	text_materialsDescId_310005	0	0	0	0
