模板ID	模型ID	英雄名称	职业类型(1-物理，2-法系)	阵营(1-魏，2-蜀，3-吴，4-群雄，5-主角)	定位(1-物攻，2-法攻，3-防御，4-辅助)	基础品质	基础星级	兵种类型(1-步兵，2-弓兵，3-骑兵)	射程类型(1-近战，2-远程)	体型大小	攻击发起距离	基础移动速度	基础攻击速度	基础怒气恢复速度	突破类型	天赋组ID	技能组ID	技能效果名称1	技能效果描述1	技能效果名称2	技能效果描述2
10031	5031	text_heroNameId_5031	1	4	1	7	6	3	1	45	40	129	1633	200	6	5031	503102	text_skill_5031_effectName1	text_skill_5031_effectDesc1	text_skill_5031_effectName2	text_skill_5031_effectDesc2
10032	5032	text_heroNameId_5032	2	4	2	7	6	2	2	45	300	72	1583	200	6	5032	503202	text_skill_5032_effectName1	text_skill_5032_effectDesc1	text_skill_5032_effectName2	text_skill_5032_effectDesc2
9000	9000	大章鱼	1	0	1	5	6	1	2	4	500	72	1000	300	3	0	999	0	0	0	0
9001	10005	主角	1	5	1	2	6	3	1	45	40	129	1100	200	13	0	1000000	0	0	0	0
9002	10004	主角	1	5	1	2	6	3	1	45	40	129	1100	200	13	0	1000000	0	0	0	0
9011	1001	绿衣剑士	1	0	1	4	1	1	1	45	40	72	1450	200	0	0	51	0	0	0	0
9012	2001	野猪骑士	1	0	1	4	2	3	1	45	40	129	1333	200	0	0	52	0	0	0	0
9013	1002	萝莉射手	1	0	1	4	1	2	2	45	300	72	1500	200	0	0	53	0	0	0	0
200001	200001	text_dragonName_10	2	4	1	6	6	2	2	100	400	72	1300	400	10	0	888	0	0	0	0
200002	200001	text_dragonName_10	2	4	1	6	6	2	2	100	400	72	1300	400	10	0	777	0	0	0	0
1000010	10000	text_heroNameId_10000	1	5	1	4	1	3	1	45	40	129	1100	200	101	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
1000020	10000	text_heroNameId_10000	1	5	1	4	2	3	1	45	40	129	1100	200	102	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
1000030	10000	text_heroNameId_10000	1	5	1	4	3	3	1	45	40	129	1100	200	103	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
1000040	10000	text_heroNameId_10000	1	5	1	5	4	3	1	45	40	129	1100	200	104	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
1000050	10000	text_heroNameId_10000	1	5	1	6	5	3	1	45	40	129	1100	200	105	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
1000060	10000	text_heroNameId_10000	1	5	1	6	6	3	1	45	40	129	1100	200	106	1000000	1000001	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
1000100	10000	text_heroNameId_10000	1	5	1	7	6	3	1	45	40	129	1100	200	106	1000000	1000002	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000010	10000	text_heroNameId_10000	1	99	1	4	1	3	1	45	40	129	1100	200	101	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000020	10000	text_heroNameId_10000	1	99	1	4	2	3	1	45	40	129	1100	200	102	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000030	10000	text_heroNameId_10000	1	99	1	4	3	3	1	45	40	129	1100	200	103	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000040	10000	text_heroNameId_10000	1	99	1	5	4	3	1	45	40	129	1100	200	104	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000050	10000	text_heroNameId_10000	1	99	1	6	5	3	1	45	40	129	1100	200	105	1000000	1000000	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000060	10000	text_heroNameId_10000	1	99	1	6	6	3	1	45	40	129	1100	200	106	1000000	1000001	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
2000100	10000	text_heroNameId_10000	1	99	1	7	6	3	1	45	40	129	1100	200	106	1000000	1000002	text_skill_1000000_effectName1	text_skill_1000000_effectDesc1	text_skill_1000000_effectName2	text_skill_1000000_effectDesc2
