索引ID	注释1	描述	类型(1普通buff, 2光环buff)	buff模式(0:无类型，1:灼烧)	光环类型(1:不断的发送buff，并且出了范围就移除,2:只发送一次，除非发送的buff消失,出了范围不移除)	正负面(1负面2正面)	不可被驱散	是否受到负面抗性影响	效果类型(0没有效果，1普通伤害，2无视防御伤害，3召唤)	发送buffID	buff生效几率（万分比）	buff持续时间（毫秒）	范围选择目标类型(1英雄2士兵3所有单位)	范围	光环检测间隔时间(毫秒)	伤害类型（按武将类型，0物理，1魔法）	额外伤害类型	额外伤害值	伤害系数	发送第一次效果延迟时间(毫秒)	发送效果间隔时间(毫秒)	属性修改	属性值修改	属性百分比修改（万分比）	克制增幅0	克制增幅1	克制增幅2	克制增幅3	攻击吸血万分比	攻击吸血固定值	免疫负面物理效果	免疫负面魔法效果	免疫负面魔法次数	限制移动	限制普通攻击	限制释放技能	不受控制	反弹物理伤害万分比	改变技能组	变身资源名	变身资源类型	变身后缩放百分比	buff特效资源	buff特效类型(1只显示一次, 2循环特效)	buff特效挂载点(1上2中3下)	buff特效渲染层级(1上2下)	buff位置偏移	buff位置偏移1	buff特效资源1	buff特效类型(1只显示一次, 2循环特效)1	buff特效挂载点(1上2中3下)1	buff特效渲染层级(1上2下)1	buff位置偏移2	buff位置偏移3	特殊shader	隐藏飘字
50022111	自然魔法11级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1227	0	500	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022112	自然魔法12级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1279	0	500	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022113	自然魔法13级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1331	0	500	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022114	自然魔法14级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1383	0	500	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022115	自然魔法15级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1435	0	500	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022201	如沐春风1级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1061	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022202	如沐春风2级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1100	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022203	如沐春风3级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1139	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022204	如沐春风4级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1178	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022205	如沐春风5级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1217	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022206	如沐春风6级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1256	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022207	如沐春风7级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1295	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022208	如沐春风8级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1334	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022209	如沐春风9级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1373	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022210	如沐春风10级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1412	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022211	如沐春风11级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1451	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022212	如沐春风12级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1490	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022213	如沐春风13级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1529	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022214	如沐春风14级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1568	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50022215	如沐春风15级	持续回血	1	1	0	2	1	0	1	0	0	0	0	0	0	1	200	40	1607	0	1000	2|3	0|0	-533|-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_jiaxue	2	2	1	0	0	0	0	0	0	0	0	0	1
50050101	嗜血1级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	2475|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050102	嗜血2级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	2655|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050103	嗜血3级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	2835|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050104	嗜血4级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	3015|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050105	嗜血5级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	3195|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050106	嗜血6级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	3375|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050107	嗜血7级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	3555|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050108	嗜血8级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	3735|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050109	嗜血9级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	3915|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050110	嗜血10级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	4095|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050111	嗜血11级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	4275|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050112	嗜血12级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	4455|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050113	嗜血13级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	4635|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050114	嗜血14级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	4815|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50050115	嗜血15级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	4995|-2500|-2500	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500503	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051101	嗜血1级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	2475|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051102	嗜血2级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	2655|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051103	嗜血3级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	2835|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051104	嗜血4级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3015|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051105	嗜血5级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3195|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051106	嗜血6级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3375|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051107	嗜血7级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3555|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051108	嗜血8级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3735|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051109	嗜血9级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3915|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051110	嗜血10级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4095|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051111	嗜血11级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4275|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051112	嗜血12级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4455|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051113	嗜血13级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4635|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051114	嗜血14级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4815|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50051115	嗜血15级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4995|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500504	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052101	嗜血1级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3713|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052102	嗜血2级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	3983|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052103	嗜血3级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4253|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052104	嗜血4级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4523|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052105	嗜血5级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	4793|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052106	嗜血6级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	5063|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052107	嗜血7级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	5333|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052108	嗜血8级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	5603|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052109	嗜血9级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	5873|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052110	嗜血10级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	6143|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052111	嗜血11级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	6413|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052112	嗜血12级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	6683|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052113	嗜血13级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	6953|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052114	嗜血14级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	7223|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50052115	嗜血15级	嗜血	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3|12	0|0|0|743	7493|-2500|-2500|0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	500505	0	0	0	buff_kuangbao	2	1	1	0	0	0	0	0	0	0	0	0	1
50070101	减攻击力1级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-1671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070102	减攻击力2级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-1793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070103	减攻击力3级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070104	减攻击力4级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070105	减攻击力5级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070106	减攻击力6级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070107	减攻击力7级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070108	减攻击力8级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070109	减攻击力9级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070110	减攻击力10级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070111	减攻击力11级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-2891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070112	减攻击力12级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-3013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070113	减攻击力13级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070114	减攻击力14级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-3257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50070115	减攻击力15级	减攻击力	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-3379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	0	0	0	0	0	0	0	1
50071101	减攻击力1级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-1671|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071102	减攻击力2级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-1793|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071103	减攻击力3级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-1915|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071104	减攻击力4级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-2037|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071105	减攻击力5级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-2159|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071106	减攻击力6级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-2281|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071107	减攻击力7级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-2403|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071108	减攻击力8级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-2525|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
50071109	减攻击力9级	减攻击力和防御	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1|2|3	0|0|0	-2647|-835|-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debuff_jiangong	2	1	1	0	0	debuff_jianfang	2	1	1	0	0	0	1
