召唤物ID	名称	模型ID	技能组Id	体型大小	基础攻击速度(毫秒)	基础移动速度(大于0则直接用该值做最终值)	射程类型	攻击距离(大于0则直接用该值做最终值)	生命上限继承百分比最小值	攻击继承百分比	物理护甲继承百分比	魔法抗性继承百分比	出生buff	层级类型(1下，2上, 3同级)	出现特效	特效层级类型(1下，2上)	出现特效缩放	出现特效坐标X	出现特效坐标Y	是否可移动	强制寻找最近的单位	目标最高优先级类型	可否选中	随召唤者一起死
61022108	text_summonName_61020101	17002	61022108	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022109	text_summonName_61020101	17002	61022109	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022110	text_summonName_61020101	17002	61022110	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022111	text_summonName_61020101	17002	61022111	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022112	text_summonName_61020101	17002	61022112	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022113	text_summonName_61020101	17002	61022113	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022114	text_summonName_61020101	17002	61022114	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61022115	text_summonName_61020101	17002	61022115	50	750	72	2	400	100	100	100	100	0	3	skill_guguaiwushi01	2	70	0	0	1	1	1	0	1
61020201	text_summonName_61020201	17003	61020201	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020202	text_summonName_61020201	17003	61020202	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020203	text_summonName_61020201	17003	61020203	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020204	text_summonName_61020201	17003	61020204	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020205	text_summonName_61020201	17003	61020205	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020206	text_summonName_61020201	17003	61020206	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020207	text_summonName_61020201	17003	61020207	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020208	text_summonName_61020201	17003	61020208	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020209	text_summonName_61020201	17003	61020209	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020210	text_summonName_61020201	17003	61020210	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020211	text_summonName_61020201	17003	61020211	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020212	text_summonName_61020201	17003	61020212	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020213	text_summonName_61020201	17003	61020213	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020214	text_summonName_61020201	17003	61020214	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61020215	text_summonName_61020201	17003	61020215	70	883	72	1	40	100	100	100	100	0	3	0	0	0	0	0	1	1	1	1	0
61021201	text_summonName_61020201	17003	61021201	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021202	text_summonName_61020201	17003	61021202	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021203	text_summonName_61020201	17003	61021203	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021204	text_summonName_61020201	17003	61021204	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021205	text_summonName_61020201	17003	61021205	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021206	text_summonName_61020201	17003	61021206	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021207	text_summonName_61020201	17003	61021207	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021208	text_summonName_61020201	17003	61021208	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021209	text_summonName_61020201	17003	61021209	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021210	text_summonName_61020201	17003	61021210	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021211	text_summonName_61020201	17003	61021211	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021212	text_summonName_61020201	17003	61021212	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021213	text_summonName_61020201	17003	61021213	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021214	text_summonName_61020201	17003	61021214	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61021215	text_summonName_61020201	17003	61021215	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022201	text_summonName_61020201	17003	61022201	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022202	text_summonName_61020201	17003	61022202	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022203	text_summonName_61020201	17003	61022203	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022204	text_summonName_61020201	17003	61022204	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022205	text_summonName_61020201	17003	61022205	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022206	text_summonName_61020201	17003	61022206	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022207	text_summonName_61020201	17003	61022207	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022208	text_summonName_61020201	17003	61022208	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022209	text_summonName_61020201	17003	61022209	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022210	text_summonName_61020201	17003	61022210	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022211	text_summonName_61020201	17003	61022211	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022212	text_summonName_61020201	17003	61022212	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022213	text_summonName_61020201	17003	61022213	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022214	text_summonName_61020201	17003	61022214	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
61022215	text_summonName_61020201	17003	61022215	70	883	72	1	40	100	100	100	100	61020201	3	0	0	0	0	0	1	1	1	1	0
