等级	主角ID	最低英雄基础星级	最高英雄基础星级	英雄数	突破等级	军队等级	技能等级	基础怒气	命中率	闪避率	暴击率	抗暴率	伤害加成	伤害减免	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	无视护甲	无视技防	治疗加成	怒气回复加成	负面抗性
122	20006	6	6	7	7	4	1	635.41311271	1268.0021671	1268.0021671	1268.0021671	1268.0021671	1268.0021671	1268.0021671	776.61602664	0	423.6087418	988.42039754	353.00728484	353.00728484	353.00728484	353.00728484	353.00728484
123	20006	6	6	7	7	4	1	644.89676969	1286.9273315	1286.9273315	1286.9273315	1286.9273315	1286.9273315	1286.9273315	788.20716296	0	429.9311798	1003.1727529	358.27598316	358.27598316	358.27598316	358.27598316	358.27598316
124	20006	6	6	7	7	4	1	654.44281936	1305.977004	1305.977004	1305.977004	1305.977004	1305.977004	1305.977004	799.87455699	0	436.2952129	1018.0221634	363.57934409	363.57934409	363.57934409	363.57934409	363.57934409
125	20006	6	6	7	7	4	1	664.05115991	1325.1509813	1325.1509813	1325.1509813	1325.1509813	1325.1509813	1325.1509813	811.61808434	0	442.70077327	1032.968471	368.91731106	368.91731106	368.91731106	368.91731106	368.91731106
126	20006	6	6	7	7	4	1	673.72169056	1344.4490625	1344.4490625	1344.4490625	1344.4490625	1344.4490625	1344.4490625	823.4376218	0	449.14779371	1048.0115187	374.28982809	374.28982809	374.28982809	374.28982809	374.28982809
127	20006	6	6	7	7	4	1	683.45431149	1363.8710483	1363.8710483	1363.8710483	1363.8710483	1363.8710483	1363.8710483	835.33304737	0	455.63620766	1063.1511512	379.69683971	379.69683971	379.69683971	379.69683971	379.69683971
128	20006	6	6	7	7	4	1	693.24892381	1383.4167413	1383.4167413	1383.4167413	1383.4167413	1383.4167413	1383.4167413	847.30424021	0	462.1659492	1078.3872148	385.138291	385.138291	385.138291	385.138291	385.138291
129	20006	6	6	7	7	4	1	703.10542959	1403.0859462	1403.0859462	1403.0859462	1403.0859462	1403.0859462	1403.0859462	859.35108061	0	468.73695306	1093.7195571	390.61412755	390.61412755	390.61412755	390.61412755	390.61412755
130	20006	6	6	7	7	4	1	713.02373183	1422.8784693	1422.8784693	1422.8784693	1422.8784693	1422.8784693	1422.8784693	871.47345001	0	475.34915455	1109.1480273	396.12429546	396.12429546	396.12429546	396.12429546	396.12429546
131	20006	6	6	7	7	4	1	723.00373441	1442.7941189	1442.7941189	1442.7941189	1442.7941189	1442.7941189	1442.7941189	883.67123094	0	482.0024896	1124.6724757	401.66874134	401.66874134	401.66874134	401.66874134	401.66874134
132	20006	6	6	7	7	4	1	733.04534211	1462.8327049	1462.8327049	1462.8327049	1462.8327049	1462.8327049	1462.8327049	895.94430702	0	488.69689474	1140.2927544	407.24741228	407.24741228	407.24741228	407.24741228	407.24741228
133	20006	6	6	7	7	4	1	743.1484606	1482.9940391	1482.9940391	1482.9940391	1482.9940391	1482.9940391	1482.9940391	908.29256295	0	495.43230706	1156.0087165	412.86025589	412.86025589	412.86025589	412.86025589	412.86025589
134	20006	6	6	7	7	4	1	753.31299638	1503.277935	1503.277935	1503.277935	1503.277935	1503.277935	1503.277935	920.71588446	0	502.20866425	1171.8202166	418.50722021	418.50722021	418.50722021	418.50722021	418.50722021
135	20006	6	6	7	7	4	1	763.53885683	1523.6842076	1523.6842076	1523.6842076	1523.6842076	1523.6842076	1523.6842076	933.21415834	0	509.02590455	1187.7271106	424.18825379	424.18825379	424.18825379	424.18825379	424.18825379
136	20006	6	6	7	7	4	1	773.82595013	1544.2126738	1544.2126738	1544.2126738	1544.2126738	1544.2126738	1544.2126738	945.78727238	0	515.88396675	1203.7292558	429.90330563	429.90330563	429.90330563	429.90330563	429.90330563
137	20006	6	6	7	7	4	1	784.1741853	1564.863152	1564.863152	1564.863152	1564.863152	1564.863152	1564.863152	958.43511537	0	522.7827902	1219.8265105	435.65232517	435.65232517	435.65232517	435.65232517	435.65232517
138	20006	6	6	7	7	4	1	794.58347217	1585.6354622	1585.6354622	1585.6354622	1585.6354622	1585.6354622	1585.6354622	971.15757709	0	529.72231478	1236.0187345	441.43526231	441.43526231	441.43526231	441.43526231	441.43526231
139	20006	6	6	7	7	4	1	805.05372133	1606.5294261	1606.5294261	1606.5294261	1606.5294261	1606.5294261	1606.5294261	983.95454829	0	536.70248089	1252.3057887	447.25206741	447.25206741	447.25206741	447.25206741	447.25206741
140	20006	6	6	7	8	5	1	815.58484418	1627.5448668	1627.5448668	1627.5448668	1627.5448668	1627.5448668	1627.5448668	996.82592067	0	543.72322946	1268.6875354	453.10269121	453.10269121	453.10269121	453.10269121	453.10269121
141	20006	6	6	7	8	5	1	826.17675289	1648.6816091	1648.6816091	1648.6816091	1648.6816091	1648.6816091	1648.6816091	1009.7715869	0	550.78450193	1285.1638378	458.98708494	458.98708494	458.98708494	458.98708494	458.98708494
142	20006	6	6	7	8	5	1	836.82936035	1669.9394791	1669.9394791	1669.9394791	1669.9394791	1669.9394791	1669.9394791	1022.7914404	0	557.88624024	1301.7345606	464.9052002	464.9052002	464.9052002	464.9052002	464.9052002
143	20006	6	6	7	8	5	1	847.54258024	1691.3183046	1691.3183046	1691.3183046	1691.3183046	1691.3183046	1691.3183046	1035.8853758	0	565.02838683	1318.3995693	470.85698902	470.85698902	470.85698902	470.85698902	470.85698902
144	20006	6	6	7	8	5	1	858.31632693	1712.8179146	1712.8179146	1712.8179146	1712.8179146	1712.8179146	1712.8179146	1049.0532885	0	572.21088462	1335.1587308	476.84240385	476.84240385	476.84240385	476.84240385	476.84240385
145	20006	6	6	7	8	5	1	869.15051554	1734.4381399	1734.4381399	1734.4381399	1734.4381399	1734.4381399	1734.4381399	1062.2950745	0	579.43367702	1352.0119131	482.86139752	482.86139752	482.86139752	482.86139752	482.86139752
146	20006	6	6	7	8	5	1	880.04506187	1756.1788124	1756.1788124	1756.1788124	1756.1788124	1756.1788124	1756.1788124	1075.6106312	0	586.69670792	1368.9589851	488.91392326	488.91392326	488.91392326	488.91392326	488.91392326
147	20006	6	6	7	8	5	1	890.99988246	1778.0397654	1778.0397654	1778.0397654	1778.0397654	1778.0397654	1778.0397654	1088.9998563	0	593.99992164	1385.9998172	494.9999347	494.9999347	494.9999347	494.9999347	494.9999347
148	20006	6	6	7	8	5	1	902.0148945	1800.0208339	1800.0208339	1800.0208339	1800.0208339	1800.0208339	1800.0208339	1102.4626488	0	601.343263	1403.1342803	501.11938584	501.11938584	501.11938584	501.11938584	501.11938584
149	20006	6	6	7	8	5	1	913.09001588	1822.1218539	1822.1218539	1822.1218539	1822.1218539	1822.1218539	1822.1218539	1115.9989083	0	608.72667726	1420.3622469	507.27223105	507.27223105	507.27223105	507.27223105	507.27223105
150	20006	6	6	7	8	5	1	924.22516515	1844.3426629	1844.3426629	1844.3426629	1844.3426629	1844.3426629	1844.3426629	1129.6085352	0	616.1501101	1437.6835902	513.45842508	513.45842508	513.45842508	513.45842508	513.45842508
151	20006	6	6	7	8	5	1	935.42026151	1866.6830996	1866.6830996	1866.6830996	1866.6830996	1866.6830996	1866.6830996	1143.2914307	0	623.61350767	1455.0981846	519.67792306	519.67792306	519.67792306	519.67792306	519.67792306
152	20006	6	6	7	8	5	1	946.67522482	1889.1430042	1889.1430042	1889.1430042	1889.1430042	1889.1430042	1889.1430042	1157.047497	0	631.11681654	1472.6059053	525.93068045	525.93068045	525.93068045	525.93068045	525.93068045
153	20006	6	6	7	8	5	1	957.98997557	1911.7222179	1911.7222179	1911.7222179	1911.7222179	1911.7222179	1911.7222179	1170.8766368	0	638.65998371	1490.2066287	532.2166531	532.2166531	532.2166531	532.2166531	532.2166531
154	20006	6	6	7	8	5	1	969.36443489	1934.4205834	1934.4205834	1934.4205834	1934.4205834	1934.4205834	1934.4205834	1184.7787538	0	646.2429566	1507.9002321	538.53579716	538.53579716	538.53579716	538.53579716	538.53579716
155	20006	6	6	7	8	5	1	980.79852453	1957.2379445	1957.2379445	1957.2379445	1957.2379445	1957.2379445	1957.2379445	1198.7537522	0	653.86568302	1525.6865937	544.88806918	544.88806918	544.88806918	544.88806918	544.88806918
156	20006	6	6	7	8	5	1	992.29216683	1980.1741462	1980.1741462	1980.1741462	1980.1741462	1980.1741462	1980.1741462	1212.8015372	0	661.52811122	1543.5655928	551.27342602	551.27342602	551.27342602	551.27342602	551.27342602
157	20006	6	6	7	8	5	1	1003.8452848	2003.2290349	2003.2290349	2003.2290349	2003.2290349	2003.2290349	2003.2290349	1226.9220147	0	669.23018984	1561.5371096	557.69182486	557.69182486	557.69182486	557.69182486	557.69182486
158	20006	6	6	7	8	5	1	1015.4578019	2026.4024579	2026.4024579	2026.4024579	2026.4024579	2026.4024579	2026.4024579	1241.1150912	0	676.97186791	1579.6010251	564.14322326	564.14322326	564.14322326	564.14322326	564.14322326
159	20006	6	6	7	8	5	1	1027.1296423	2049.6942639	2049.6942639	2049.6942639	2049.6942639	2049.6942639	2049.6942639	1255.3806739	0	684.75309486	1597.7572213	570.62757905	570.62757905	570.62757905	570.62757905	570.62757905
160	20006	6	6	7	9	5	1	1038.8607307	2073.1043027	2073.1043027	2073.1043027	2073.1043027	2073.1043027	2073.1043027	1269.7186709	0	692.57382049	1616.0055811	577.14485041	577.14485041	577.14485041	577.14485041	577.14485041
161	20006	6	6	7	9	5	1	1050.6509925	2096.632425	2096.632425	2096.632425	2096.632425	2096.632425	2096.632425	1284.1289908	0	700.43399501	1634.3459883	583.69499584	583.69499584	583.69499584	583.69499584	583.69499584
162	20006	6	6	7	9	5	1	1062.5003534	2120.2784831	2120.2784831	2120.2784831	2120.2784831	2120.2784831	2120.2784831	1298.6115431	0	708.33356896	1652.7783276	590.27797414	590.27797414	590.27797414	590.27797414	590.27797414
163	20006	6	6	7	9	5	1	1074.4087399	2144.0423299	2144.0423299	2144.0423299	2144.0423299	2144.0423299	2144.0423299	1313.1662377	0	716.2724933	1671.3024844	596.89374441	596.89374441	596.89374441	596.89374441	596.89374441
164	20006	6	6	7	9	5	1	1086.376079	2167.9238198	2167.9238198	2167.9238198	2167.9238198	2167.9238198	2167.9238198	1327.7929854	0	724.25071931	1689.918345	603.54226609	603.54226609	603.54226609	603.54226609	603.54226609
165	20006	6	6	7	9	5	1	1098.402298	2191.922808	2191.922808	2191.922808	2191.922808	2191.922808	2191.922808	1342.4916975	0	732.26819865	1708.6257969	610.22349888	610.22349888	610.22349888	610.22349888	610.22349888
166	20006	6	6	7	9	5	1	1110.487325	2216.0391508	2216.0391508	2216.0391508	2216.0391508	2216.0391508	2216.0391508	1357.2622861	0	740.32488334	1727.4247278	616.93740278	616.93740278	616.93740278	616.93740278	616.93740278
167	20006	6	6	7	9	5	1	1122.6310886	2240.2727057	2240.2727057	2240.2727057	2240.2727057	2240.2727057	2240.2727057	1372.1046639	0	748.42072574	1746.3150267	623.68393812	623.68393812	623.68393812	623.68393812	623.68393812
168	20006	6	6	7	9	5	1	1134.8335178	2264.6233311	2264.6233311	2264.6233311	2264.6233311	2264.6233311	2264.6233311	1387.018744	0	756.55567855	1765.2965833	630.46306546	630.46306546	630.46306546	630.46306546	630.46306546
169	20006	6	6	7	9	5	1	1147.0945422	2289.0908865	2289.0908865	2289.0908865	2289.0908865	2289.0908865	2289.0908865	1402.0044405	0	764.72969483	1784.3692879	637.27474569	637.27474569	637.27474569	637.27474569	637.27474569
170	20006	6	6	7	9	5	1	1159.4140919	2313.6752324	2313.6752324	2313.6752324	2313.6752324	2313.6752324	2313.6752324	1417.0616679	0	772.94272796	1803.5330319	644.11893997	644.11893997	644.11893997	644.11893997	644.11893997
171	20006	6	6	7	9	5	1	1171.7920975	2338.3762301	2338.3762301	2338.3762301	2338.3762301	2338.3762301	2338.3762301	1432.1903414	0	781.19473165	1822.7877072	650.99560971	650.99560971	650.99560971	650.99560971	650.99560971
172	20006	6	6	7	9	5	1	1184.2284899	2363.1937421	2363.1937421	2363.1937421	2363.1937421	2363.1937421	2363.1937421	1447.3903766	0	789.48565995	1842.1332066	657.90471663	657.90471663	657.90471663	657.90471663	657.90471663
173	20006	6	6	7	9	5	1	1196.7232008	2388.1276319	2388.1276319	2388.1276319	2388.1276319	2388.1276319	2388.1276319	1462.6616899	0	797.81546723	1861.5694235	664.84622269	664.84622269	664.84622269	664.84622269	664.84622269
174	20006	6	6	7	9	5	1	1209.2761623	2413.1777638	2413.1777638	2413.1777638	2413.1777638	2413.1777638	2413.1777638	1478.0041983	0	806.18410817	1881.0962524	671.82009014	671.82009014	671.82009014	671.82009014	671.82009014
175	20006	6	6	7	9	5	1	1221.8873067	2438.3440031	2438.3440031	2438.3440031	2438.3440031	2438.3440031	2438.3440031	1493.4178192	0	814.59153777	1900.7135881	678.82628147	678.82628147	678.82628147	678.82628147	678.82628147
176	20006	6	6	7	9	5	1	1234.556567	2463.626216	2463.626216	2463.626216	2463.626216	2463.626216	2463.626216	1508.9024708	0	823.03771135	1920.4213265	685.86475946	685.86475946	685.86475946	685.86475946	685.86475946
177	20006	6	6	7	9	5	1	1247.2838768	2489.0242697	2489.0242697	2489.0242697	2489.0242697	2489.0242697	2489.0242697	1524.4580716	0	831.52258452	1940.2193639	692.9354871	692.9354871	692.9354871	692.9354871	692.9354871
178	20006	6	6	7	9	5	1	1260.0691698	2514.5380322	2514.5380322	2514.5380322	2514.5380322	2514.5380322	2514.5380322	1540.0845409	0	840.04611321	1960.1075975	700.03842767	700.03842767	700.03842767	700.03842767	700.03842767
179	20006	6	6	7	9	5	1	1272.9123804	2540.1673725	2540.1673725	2540.1673725	2540.1673725	2540.1673725	2540.1673725	1555.7817983	0	848.60825363	1980.0859251	707.17354469	707.17354469	707.17354469	707.17354469	707.17354469
180	20006	6	6	7	10	6	1	1285.8134435	2565.9121605	2565.9121605	2565.9121605	2565.9121605	2565.9121605	2565.9121605	1571.5497642	0	857.20896232	2000.1542454	714.34080193	714.34080193	714.34080193	714.34080193	714.34080193
181	20006	6	6	7	10	6	1	1298.7722941	2591.7722669	2591.7722669	2591.7722669	2591.7722669	2591.7722669	2591.7722669	1587.3883595	0	865.84819607	2020.3124575	721.54016339	721.54016339	721.54016339	721.54016339	721.54016339
182	20006	6	6	7	10	6	1	1311.788868	2617.7475632	2617.7475632	2617.7475632	2617.7475632	2617.7475632	2617.7475632	1603.2975053	0	874.52591199	2040.5604613	728.77159332	728.77159332	728.77159332	728.77159332	728.77159332
183	20006	6	6	7	10	6	1	1324.8631012	2643.8379219	2643.8379219	2643.8379219	2643.8379219	2643.8379219	2643.8379219	1619.2771237	0	883.24206745	2060.8981574	736.03505621	736.03505621	736.03505621	736.03505621	736.03505621
184	20006	6	6	7	10	6	1	1337.9949302	2670.0432163	2670.0432163	2670.0432163	2670.0432163	2670.0432163	2670.0432163	1635.3271369	0	891.99662013	2081.325447	743.33051678	743.33051678	743.33051678	743.33051678	743.33051678
185	20006	6	6	7	10	6	1	1351.184292	2696.3633204	2696.3633204	2696.3633204	2696.3633204	2696.3633204	2696.3633204	1651.447468	0	900.78952797	2101.8422319	750.65793998	750.65793998	750.65793998	750.65793998	750.65793998
186	20006	6	6	7	10	6	1	1364.4311238	2722.7981092	2722.7981092	2722.7981092	2722.7981092	2722.7981092	2722.7981092	1667.6380402	0	909.62074919	2122.4484148	758.01729099	758.01729099	758.01729099	758.01729099	758.01729099
187	20006	6	6	7	10	6	1	1377.7353634	2749.3474585	2749.3474585	2749.3474585	2749.3474585	2749.3474585	2749.3474585	1683.8987775	0	918.49024228	2143.1438986	765.40853523	765.40853523	765.40853523	765.40853523	765.40853523
188	20006	6	6	7	10	6	1	1391.096949	2776.0112448	2776.0112448	2776.0112448	2776.0112448	2776.0112448	2776.0112448	1700.2296043	0	927.39796598	2163.9285873	772.83163832	772.83163832	772.83163832	772.83163832	772.83163832
189	20006	6	6	7	10	6	1	1404.515819	2802.7893455	2802.7893455	2802.7893455	2802.7893455	2802.7893455	2802.7893455	1716.6304455	0	936.34387934	2184.8023851	780.28656612	780.28656612	780.28656612	780.28656612	780.28656612
190	20006	6	6	7	10	6	1	1417.9919125	2829.6816386	2829.6816386	2829.6816386	2829.6816386	2829.6816386	2829.6816386	1733.1012263	0	945.32794164	2205.7651971	787.7732847	787.7732847	787.7732847	787.7732847	787.7732847
191	20006	6	6	7	10	6	1	1431.5251686	2856.6880031	2856.6880031	2856.6880031	2856.6880031	2856.6880031	2856.6880031	1749.6418727	0	954.35011241	2226.816929	795.29176034	795.29176034	795.29176034	795.29176034	795.29176034
192	20006	6	6	7	10	6	1	1445.1155272	2883.8083187	2883.8083187	2883.8083187	2883.8083187	2883.8083187	2883.8083187	1766.252311	0	963.41035146	2247.9574867	802.84195955	802.84195955	802.84195955	802.84195955	802.84195955
193	20006	6	6	7	10	6	1	1458.7629283	2911.0424657	2911.0424657	2911.0424657	2911.0424657	2911.0424657	2911.0424657	1782.9324679	0	972.50861885	2269.1867773	810.42384904	810.42384904	810.42384904	810.42384904	810.42384904
194	20006	6	6	7	10	6	1	1472.4673123	2938.3903255	2938.3903255	2938.3903255	2938.3903255	2938.3903255	2938.3903255	1799.6822706	0	981.64487487	2290.504708	818.03739573	818.03739573	818.03739573	818.03739573	818.03739573
195	20006	6	6	7	10	6	1	1486.2286201	2965.8517797	2965.8517797	2965.8517797	2965.8517797	2965.8517797	2965.8517797	1816.5016468	0	990.81908009	2311.9111869	825.68256674	825.68256674	825.68256674	825.68256674	825.68256674
196	20006	6	6	7	10	6	1	1500.0467929	2993.4267112	2993.4267112	2993.4267112	2993.4267112	2993.4267112	2993.4267112	1833.3905247	0	1000.0311953	2333.4061223	833.35932941	833.35932941	833.35932941	833.35932941	833.35932941
197	20006	6	6	7	10	6	1	1513.9217723	3021.1150033	3021.1150033	3021.1150033	3021.1150033	3021.1150033	3021.1150033	1850.3488328	0	1009.2811815	2354.9894235	841.06765126	841.06765126	841.06765126	841.06765126	841.06765126
198	20006	6	6	7	10	6	1	1527.8535001	3048.9165401	3048.9165401	3048.9165401	3048.9165401	3048.9165401	3048.9165401	1867.3765001	0	1018.569	2376.6610001	848.80750004	848.80750004	848.80750004	848.80750004	848.80750004
199	20006	6	6	7	10	6	1	1541.8419186	3076.8312064	3076.8312064	3076.8312064	3076.8312064	3076.8312064	3076.8312064	1884.473456	0	1027.8946124	2398.4207622	856.57884365	856.57884365	856.57884365	856.57884365	856.57884365
200	20006	6	6	7	10	6	2	1555.8869704	3104.8588876	3104.8588876	3104.8588876	3104.8588876	3104.8588876	3104.8588876	1901.6396305	0	1037.2579803	2420.2686207	864.38165024	864.38165024	864.38165024	864.38165024	864.38165024
201	20006	6	6	7	10	6	2	1569.9885986	3132.9994701	3132.9994701	3132.9994701	3132.9994701	3132.9994701	3132.9994701	1918.8749538	0	1046.6590657	2442.2044867	872.2158881	872.2158881	872.2158881	872.2158881	872.2158881
202	20006	6	6	7	10	6	2	1584.1467464	3161.2528405	3161.2528405	3161.2528405	3161.2528405	3161.2528405	3161.2528405	1936.1793567	0	1056.0978309	2464.2282721	880.08152575	880.08152575	880.08152575	880.08152575	880.08152575
203	20006	6	6	7	10	6	2	1598.3613574	3189.6188865	3189.6188865	3189.6188865	3189.6188865	3189.6188865	3189.6188865	1953.5527702	0	1065.5742383	2486.3398893	887.97853189	887.97853189	887.97853189	887.97853189	887.97853189
204	20006	6	6	7	10	6	2	1612.6323757	3218.0974964	3218.0974964	3218.0974964	3218.0974964	3218.0974964	3218.0974964	1970.9951258	0	1075.0882505	2508.5392511	895.90687539	895.90687539	895.90687539	895.90687539	895.90687539
205	20006	6	6	7	10	6	2	1626.9597456	3246.6885589	3246.6885589	3246.6885589	3246.6885589	3246.6885589	3246.6885589	1988.5063557	0	1084.6398304	2530.8262709	903.86652531	903.86652531	903.86652531	903.86652531	903.86652531
206	20006	6	6	7	10	6	2	1641.3434116	3275.3919637	3275.3919637	3275.3919637	3275.3919637	3275.3919637	3275.3919637	2006.086392	0	1094.2289411	2553.2008625	911.85745091	911.85745091	911.85745091	911.85745091	911.85745091
207	20006	6	6	7	10	6	2	1655.7833189	3304.2076008	3304.2076008	3304.2076008	3304.2076008	3304.2076008	3304.2076008	2023.7351675	0	1103.8555459	2575.6629405	919.8796216	919.8796216	919.8796216	919.8796216	919.8796216
208	20006	6	6	7	10	6	2	1670.2794126	3333.1353612	3333.1353612	3333.1353612	3333.1353612	3333.1353612	3333.1353612	2041.4526154	0	1113.5196084	2598.2124196	927.93300701	927.93300701	927.93300701	927.93300701	927.93300701
209	20006	6	6	7	10	6	2	1684.8316384	3362.1751362	3362.1751362	3362.1751362	3362.1751362	3362.1751362	3362.1751362	2059.2386692	0	1123.2210923	2620.8492153	936.0175769	936.0175769	936.0175769	936.0175769	936.0175769
210	20006	6	6	7	10	6	2	1699.4399422	3391.326818	3391.326818	3391.326818	3391.326818	3391.326818	3391.326818	2077.0932627	0	1132.9599615	2643.5732435	944.13330124	944.13330124	944.13330124	944.13330124	944.13330124
211	20006	6	6	7	10	6	2	1714.1042703	3420.5902993	3420.5902993	3420.5902993	3420.5902993	3420.5902993	3420.5902993	2095.0163303	0	1142.7361802	2666.3844204	952.28015015	952.28015015	952.28015015	952.28015015	952.28015015
212	20006	6	6	7	10	6	2	1728.8245691	3449.9654734	3449.9654734	3449.9654734	3449.9654734	3449.9654734	3449.9654734	2113.0078067	0	1152.5497127	2689.282663	960.45809394	960.45809394	960.45809394	960.45809394	960.45809394
213	20006	6	6	7	10	6	2	1743.6007855	3479.4522342	3479.4522342	3479.4522342	3479.4522342	3479.4522342	3479.4522342	2131.0676268	0	1162.4005237	2712.2678886	968.66710308	968.66710308	968.66710308	968.66710308	968.66710308
214	20006	6	6	7	10	6	2	1758.4328667	3509.0504763	3509.0504763	3509.0504763	3509.0504763	3509.0504763	3509.0504763	2149.195726	0	1172.2885778	2735.3400149	976.90714819	976.90714819	976.90714819	976.90714819	976.90714819
215	20006	6	6	7	10	6	2	1773.3207602	3538.7600948	3538.7600948	3538.7600948	3538.7600948	3538.7600948	3538.7600948	2167.3920402	0	1182.2138401	2758.4989603	985.1782001	985.1782001	985.1782001	985.1782001	985.1782001
216	20006	6	6	7	10	6	2	1788.2644136	3568.5809853	3568.5809853	3568.5809853	3568.5809853	3568.5809853	3568.5809853	2185.6565055	0	1192.1762757	2781.7446433	993.48022976	993.48022976	993.48022976	993.48022976	993.48022976
217	20006	6	6	7	10	6	2	1803.2637749	3598.5130442	3598.5130442	3598.5130442	3598.5130442	3598.5130442	3598.5130442	2203.9890583	0	1202.17585	2805.0769833	1001.8132083	1001.8132083	1001.8132083	1001.8132083	1001.8132083
218	20006	6	6	7	10	6	2	1818.3187926	3628.5561684	3628.5561684	3628.5561684	3628.5561684	3628.5561684	3628.5561684	2222.3896354	0	1212.2125284	2828.4958997	1010.177107	1010.177107	1010.177107	1010.177107	1010.177107
219	20006	6	6	7	10	6	2	1833.4294153	3658.7102553	3658.7102553	3658.7102553	3658.7102553	3658.7102553	3658.7102553	2240.8581742	0	1222.2862768	2852.0013126	1018.5718974	1018.5718974	1018.5718974	1018.5718974	1018.5718974
220	20006	6	6	7	10	6	3	1848.5955917	3688.975203	3688.975203	3688.975203	3688.975203	3688.975203	3688.975203	2259.3946121	0	1232.3970611	2875.5931426	1026.9975509	1026.9975509	1026.9975509	1026.9975509	1026.9975509
221	20006	6	6	7	10	6	3	1863.8172711	3719.3509099	3719.3509099	3719.3509099	3719.3509099	3719.3509099	3719.3509099	2277.9988869	0	1242.5448474	2899.2713106	1035.4540395	1035.4540395	1035.4540395	1035.4540395	1035.4540395
222	20006	6	6	7	10	6	3	1879.094403	3749.8372752	3749.8372752	3749.8372752	3749.8372752	3749.8372752	3749.8372752	2296.6709369	0	1252.729602	2923.0357379	1043.941335	1043.941335	1043.941335	1043.941335	1043.941335
223	20006	6	6	7	10	6	3	1894.426937	3780.4341987	3780.4341987	3780.4341987	3780.4341987	3780.4341987	3780.4341987	2315.4107007	0	1262.9512913	2946.8863464	1052.4594094	1052.4594094	1052.4594094	1052.4594094	1052.4594094
224	20006	6	6	7	10	6	3	1909.8148231	3811.1415804	3811.1415804	3811.1415804	3811.1415804	3811.1415804	3811.1415804	2334.2181172	0	1273.2098821	2970.8230582	1061.0082351	1061.0082351	1061.0082351	1061.0082351	1061.0082351
225	20006	6	6	7	10	6	3	1925.2580118	3841.9593212	3841.9593212	3841.9593212	3841.9593212	3841.9593212	3841.9593212	2353.0931255	0	1283.5053412	2994.8457961	1069.5877843	1069.5877843	1069.5877843	1069.5877843	1069.5877843
226	20006	6	6	7	10	6	3	1940.7564533	3872.8873224	3872.8873224	3872.8873224	3872.8873224	3872.8873224	3872.8873224	2372.0356652	0	1293.8376355	3018.9544829	1078.1980296	1078.1980296	1078.1980296	1078.1980296	1078.1980296
227	20006	6	6	7	10	6	3	1956.3100986	3903.9254857	3903.9254857	3903.9254857	3903.9254857	3903.9254857	3903.9254857	2391.0456761	0	1304.2067324	3043.1490423	1086.8389437	1086.8389437	1086.8389437	1086.8389437	1086.8389437
228	20006	6	6	7	10	6	3	1971.9188988	3935.0737136	3935.0737136	3935.0737136	3935.0737136	3935.0737136	3935.0737136	2410.1230985	0	1314.6125992	3067.4293981	1095.5104993	1095.5104993	1095.5104993	1095.5104993	1095.5104993
229	20006	6	6	7	10	6	3	1987.5828051	3966.3319088	3966.3319088	3966.3319088	3966.3319088	3966.3319088	3966.3319088	2429.2678729	0	1325.0552034	3091.7954746	1104.2126695	1104.2126695	1104.2126695	1104.2126695	1104.2126695
230	20006	6	6	7	10	6	3	2003.3017691	3997.6999748	3997.6999748	3997.6999748	3997.6999748	3997.6999748	3997.6999748	2448.47994	0	1335.5345127	3116.2471964	1112.9454273	1112.9454273	1112.9454273	1112.9454273	1112.9454273
231	20006	6	6	7	10	6	3	2019.0757426	4029.1778153	4029.1778153	4029.1778153	4029.1778153	4029.1778153	4029.1778153	2467.759241	0	1346.0504951	3140.7844886	1121.7087459	1121.7087459	1121.7087459	1121.7087459	1121.7087459
232	20006	6	6	7	10	6	3	2034.9046778	4060.7653349	4060.7653349	4060.7653349	4060.7653349	4060.7653349	4060.7653349	2487.1057173	0	1356.6031186	3165.4072766	1130.5025988	1130.5025988	1130.5025988	1130.5025988	1130.5025988
233	20006	6	6	7	10	6	3	2050.788527	4092.4624383	4092.4624383	4092.4624383	4092.4624383	4092.4624383	4092.4624383	2506.5193107	0	1367.1923513	3190.1154864	1139.3269594	1139.3269594	1139.3269594	1139.3269594	1139.3269594
234	20006	6	6	7	10	6	3	2066.7272427	4124.2690309	4124.2690309	4124.2690309	4124.2690309	4124.2690309	4124.2690309	2525.9999632	0	1377.8181618	3214.9090441	1148.1818015	1148.1818015	1148.1818015	1148.1818015	1148.1818015
235	20006	6	6	7	10	6	3	2082.7207777	4156.1850186	4156.1850186	4156.1850186	4156.1850186	4156.1850186	4156.1850186	2545.5476172	0	1388.4805185	3239.7878764	1157.0670987	1157.0670987	1157.0670987	1157.0670987	1157.0670987
236	20006	6	6	7	10	6	3	2098.7690852	4188.2103077	4188.2103077	4188.2103077	4188.2103077	4188.2103077	4188.2103077	2565.1622152	0	1399.1793901	3264.7519103	1165.9828251	1165.9828251	1165.9828251	1165.9828251	1165.9828251
237	20006	6	6	7	10	6	3	2114.8721184	4220.3448051	4220.3448051	4220.3448051	4220.3448051	4220.3448051	4220.3448051	2584.8437002	0	1409.9147456	3289.801073	1174.9289547	1174.9289547	1174.9289547	1174.9289547	1174.9289547
238	20006	6	6	7	10	6	3	2131.0298309	4252.588418	4252.588418	4252.588418	4252.588418	4252.588418	4252.588418	2604.5920155	0	1420.6865539	3314.9352924	1183.9054616	1183.9054616	1183.9054616	1183.9054616	1183.9054616
