索引ID	位置	对应地图格子ID
1639	4|53	0
1640	3|53	0
1641	5|49	0
1642	5|50	0
1643	5|51	0
1644	5|52	0
1645	5|53	0
1646	3|54	0
1647	6|49	0
1648	6|50	0
1649	6|51	0
1650	6|52	0
1651	7|48	0
1652	7|49	0
1653	7|50	0
1654	7|51	0
1655	7|52	0
1656	6|53	0
1657	-11|51	0
1658	-12|53	0
1659	-10|49	0
1660	-10|51	0
1661	27|43	0
1662	29|44	0
1663	28|44	0
1664	28|43	0
1665	27|44	0
1666	27|45	0
1667	28|45	0
1668	29|43	0
1669	29|45	0
1670	29|46	0
1671	28|46	0
1672	27|46	0
1673	30|46	0
1674	30|45	0
1675	30|44	0
1676	30|43	0
1677	30|42	0
1678	30|41	0
1679	30|40	0
1680	30|37	0
1681	30|39	0
1682	30|38	0
1683	30|36	0
1684	30|35	0
1685	30|34	0
1686	30|33	0
1687	29|35	0
1688	29|36	0
1689	29|37	0
1690	29|38	0
1691	29|39	0
1692	29|40	0
1693	29|41	0
1694	29|42	0
1695	28|40	0
1696	28|41	0
1697	28|42	0
1698	30|32	0
1699	31|28	0
1700	31|29	0
1701	31|30	0
1702	31|31	0
1703	31|32	0
1704	31|33	0
1705	31|34	0
1706	31|35	0
1707	31|36	0
1708	31|37	0
1709	31|38	0
1710	31|39	0
1711	31|40	0
1712	31|41	0
1713	31|42	0
1714	31|43	0
1715	26|44	0
1716	25|44	0
1717	24|44	0
1718	23|44	0
1719	22|45	0
1720	19|45	0
1721	20|45	0
1722	21|45	0
1723	23|45	0
1724	24|45	0
1725	25|45	0
1726	26|45	0
1727	26|46	0
1728	25|46	0
1729	24|46	0
1730	23|46	0
1731	22|46	0
1732	21|46	0
1733	20|46	0
1734	18|46	0
1735	17|46	0
1736	19|46	0
1737	16|46	0
1738	15|46	0
1739	26|47	0
1740	24|47	0
1741	23|47	0
1742	20|47	0
1743	16|47	0
1744	14|47	0
1745	13|47	0
1746	15|47	0
1747	17|47	0
1748	18|47	0
1749	19|47	0
1750	21|47	0
1751	22|47	0
1752	25|47	0
1753	23|48	0
1754	21|48	0
1755	20|48	0
1756	22|48	0
1757	24|48	0
1758	19|48	0
1759	11|47	0
1760	12|47	0
1761	8|48	0
1762	9|48	0
1763	11|48	0
1764	12|48	0
1765	13|48	0
1766	14|48	0
1767	16|48	0
1768	18|48	0
1769	15|48	0
1770	17|48	0
1771	10|48	0
1772	8|49	0
1773	9|49	0
1774	10|49	0
1775	11|49	0
1776	12|49	0
1777	13|49	0
1778	14|49	0
1779	15|49	0
1780	16|49	0
1781	17|49	0
1782	18|49	0
1783	19|49	0
1784	20|49	0
1785	8|50	0
1786	9|50	0
1787	10|50	0
1788	11|50	0
1789	12|50	0
1790	13|50	0
1791	14|50	0
1792	15|50	0
1793	16|50	0
1794	8|51	0
1795	9|51	0
1796	10|51	0
1797	11|51	0
1798	12|51	0
1799	13|51	0
1800	8|52	0
1801	9|52	0
1802	10|52	0
1803	-11|50	0
1804	-5|33	0
1805	-7|36	0
1806	-8|37	0
1807	-6|34	0
1808	-7|35	0
1809	-6|35	0
1810	-5|34	0
1811	-6|36	0
1812	-7|37	0
1813	-8|38	0
1814	-7|38	0
1815	-6|37	0
1816	-6|38	0
1817	-8|40	0
1818	-7|39	0
1819	-7|40	0
1820	-8|41	0
1821	-9|42	0
1822	-7|41	0
1823	-9|43	0
1824	-8|42	0
1825	-9|41	0
1826	-8|39	0
1827	-7|42	0
1828	-8|43	0
1829	-9|44	0
1830	-10|45	0
1831	-10|46	0
1832	-9|45	0
1833	-8|44	0
1834	-8|45	0
1835	-9|46	0
1836	-10|47	0
1837	-10|48	0
1838	-9|47	0
1839	-4|23	0
1840	-3|23	0
1841	-2|23	0
1842	-4|24	0
1843	-3|24	0
1844	-3|25	0
1845	-4|25	0
1846	-5|26	0
1847	-5|25	0
1848	-4|26	0
1849	-3|26	0
1850	-5|27	0
1851	-4|27	0
1852	-3|27	0
1853	-3|28	0
1854	-5|28	0
1855	-5|29	0
1856	-4|29	0
1857	-4|28	0
1858	-4|30	0
1859	-5|30	0
1860	-6|30	0
1861	-6|29	0
1862	-6|31	0
1863	-5|31	0
1864	-6|32	0
1865	-7|33	0
1866	-6|33	0
1867	-5|32	0
1868	-7|34	0
1869	2|2	0
1870	2|1	0
1871	1|2	0
1872	3|1	0
1873	4|1	0
1874	5|1	0
1875	5|0	0
1876	6|0	0
1877	8|-1	0
1878	9|-1	0
1879	10|-1	0
1880	11|-1	0
1881	15|-3	0
1882	12|-2	0
1883	13|-2	0
1884	14|-2	0
1885	7|0	0
1886	3|2	0
1887	4|2	0
1888	5|2	0
1889	7|1	0
1890	6|1	0
1891	8|0	0
1892	9|0	0
1893	10|0	0
1894	11|0	0
1895	12|-1	0
1896	13|-1	0
1897	14|-1	0
1898	15|-2	0
1899	16|-2	0
1900	17|-2	0
1901	15|-1	0
1902	2|3	0
1903	3|3	0
1904	4|3	0
1905	5|3	0
1906	6|2	0
1907	9|1	0
1908	7|2	0
1909	8|1	0
1910	8|2	0
1911	9|2	0
1912	10|1	0
1913	11|1	0
1914	12|0	0
1915	13|0	0
1916	12|1	0
1917	14|0	0
1918	15|0	0
1919	16|-1	0
1920	17|-1	0
1921	4|4	0
1922	3|4	0
1923	2|4	0
1924	1|5	0
1925	2|5	0
1926	3|5	0
1927	2|6	0
1928	3|6	0
1929	2|7	0
1930	3|7	0
1931	1|6	0
1932	1|7	0
1933	1|8	0
1934	3|8	0
1935	2|8	0
1936	1|9	0
1937	2|9	0
1938	2|10	0
1939	2|11	0
1940	1|11	0
1941	0|12	0
1942	-1|13	0
1943	-1|12	0
1944	0|10	0
1945	1|12	0
1946	0|13	0
1947	2|12	0
1948	1|13	0
1949	-1|14	0
1950	-1|15	0
1951	0|14	0
1952	1|14	0
1953	0|15	0
1954	1|15	0
1955	-4|22	0
1956	1|4	0
1957	0|7	0
1958	0|6	0
1959	0|8	0
1960	0|5	0
1961	1|3	0
1962	0|9	0
1963	-1|10	0
1964	-1|11	0
1965	-1|9	0
1966	-2|14	0
1967	-2|15	0
1968	-2|16	0
1969	-2|13	0
1970	-2|17	0
1971	-1|16	0
1972	-1|17	0
1973	0|16	0
1974	1|16	0
1975	0|17	0
1976	-3|18	0
1977	-3|17	0
1978	-3|19	0
1979	-2|18	0
1980	0|18	0
1981	-1|18	0
1982	-2|19	0
1983	-1|19	0
1984	0|19	0
1985	-1|20	0
1986	-2|20	0
1987	-3|20	0
1988	-4|21	0
1989	-3|21	0
1990	-3|22	0
1991	-2|21	0
1992	-1|21	0
1993	-2|22	0
1994	18|-4	0
1995	19|-4	0
1996	22|-5	0
1997	23|-5	0
1998	25|-6	0
1999	26|-6	0
2000	32|-8	0
2001	35|-9	0
2002	34|-8	0
2003	36|-9	0
2004	37|-9	0
2005	38|-9	0
2006	39|-10	0
2007	40|-10	0
2008	41|-10	0
2009	42|-11	0
2010	43|-11	0
2011	44|-11	0
2012	44|-10	0
2013	43|-10	0
2014	42|-10	0
2015	41|-9	0
2016	40|-9	0
2017	38|-8	0
2018	39|-9	0
2019	44|-9	0
2020	42|-9	0
2021	41|-8	0
2022	43|-9	0
2023	42|-8	0
2024	42|-7	0
2025	43|-8	0
2026	42|-6	0
2027	43|-7	0
2028	38|-7	0
2029	40|-8	0
2030	39|-8	0
2031	39|-7	0
2032	40|-7	0
2033	41|-7	0
2034	36|-8	0
2035	36|-7	0
2036	37|-8	0
2037	37|-7	0
2038	35|-8	0
2039	34|-7	0
2040	35|-7	0
2041	34|-6	0
2042	33|-7	0
2043	32|-7	0
2044	31|-6	0
2045	32|-6	0
2046	33|-6	0
2047	29|-6	0
2048	30|-6	0
2049	29|-5	0
2050	30|-5	0
2051	28|-5	0
2052	27|-5	0
2053	26|-5	0
2054	25|-5	0
2055	18|-2	0
2056	18|-3	0
2057	19|-3	0
2058	20|-3	0
2059	19|-2	0
2060	20|-2	0
2061	21|-3	0
2062	22|-4	0
2063	23|-4	0
2064	22|-3	0
2065	21|-2	0
2066	23|-3	0
2067	24|-4	0
2068	24|-3	0
2069	26|-4	0
2070	25|-4	0
2071	27|-4	0
2072	25|-3	0
2073	40|-6	0
2074	41|-6	0
2075	43|-6	0
2076	40|-5	0
2077	41|-5	0
2078	42|-5	0
2079	43|-5	0
2080	40|-4	0
2081	42|-4	0
2082	41|-4	0
2083	40|-3	0
2084	41|-3	0
2085	42|-3	0
2086	40|-2	0
2087	41|-2	0
2088	42|-2	0
2089	39|-1	0
2090	40|-1	0
2091	41|-1	0
2092	42|-1	0
2093	39|0	0
2094	40|0	0
2095	41|0	0
2096	38|1	0
2097	39|1	0
2098	40|1	0
2099	41|1	0
2100	38|2	0
2101	39|2	0
2102	40|2	0
2103	41|2	0
2104	38|3	0
2105	39|3	0
2106	40|3	0
2107	41|3	0
2108	37|4	806
2109	38|4	0
2110	39|4	0
2111	40|4	0
2112	37|5	0
2113	38|5	0
2114	39|5	0
2115	40|5	0
2116	37|6	0
2117	38|6	0
2118	39|6	0
2119	40|6	0
2120	40|7	0
2121	39|7	0
2122	37|7	0
2123	36|8	0
2124	38|7	0
2125	37|8	0
2126	38|8	0
2127	39|8	0
2128	36|9	0
2129	38|9	0
2130	37|9	0
2131	39|9	0
2132	39|10	0
2133	38|10	0
2134	37|10	0
2135	36|10	0
2136	36|11	0
2137	37|11	0
2138	38|11	0
2139	39|11	0
2140	35|12	0
2141	36|12	0
2142	37|12	0
2143	38|12	0
2144	38|13	0
2145	37|13	0
2146	35|13	0
2147	36|13	0
2148	35|14	0
2149	37|14	0
2150	36|14	0
2151	38|14	0
2152	35|15	0
2153	36|15	0
2154	37|15	0
2155	38|15	0
2156	34|16	0
2157	35|16	0
2158	36|16	0
2159	37|16	0
2160	34|17	0
2161	35|17	0
2162	36|17	0
2163	37|17	0
2164	34|18	0
2165	35|18	0
2166	36|18	0
2167	37|18	0
2168	34|19	0
2169	35|19	0
2170	36|19	0
2171	37|19	0
2172	33|20	0
2173	34|20	0
2174	35|20	0
2175	36|20	0
2176	33|21	0
2177	34|21	0
2178	35|21	0
2179	34|22	0
2180	33|22	0
2181	32|24	0
2182	33|23	0
2183	34|23	0
2184	35|22	0
2185	36|21	0
2186	36|22	0
2187	35|23	0
2188	34|24	0
2189	33|25	0
2190	32|26	0
2191	32|25	0
2192	33|24	0
2193	32|27	0
2194	33|26	0
2195	34|25	0
2196	35|24	0
2197	36|23	0
2198	35|25	0
2199	33|27	0
2200	32|28	0
2201	34|26	0
2202	35|26	0
2203	34|27	0
2204	33|28	0
2205	32|29	0
2206	32|30	0
2207	34|28	0
2208	33|29	0
2209	35|27	0
2210	34|29	0
2211	33|30	0
2212	34|30	0
2213	33|31	0
2214	32|31	0
2215	32|32	0
2216	32|33	0
2217	33|32	0
2218	34|31	0
2219	32|34	0
2220	32|35	0
2221	32|36	0
2222	33|34	0
2223	33|35	0
2224	33|33	0
2225	32|37	0
2226	32|38	0
2227	32|39	0
2228	-10|50	0
2229	-11|53	0
2230	-11|49	0
2231	-11|52	0
2232	-8|53	0
2233	-8|46	0
2234	-7|45	0
2235	-7|44	0
2236	-3|52	0
2237	-9|48	0
2238	-1|50	0
2239	-1|51	0
2240	-2|51	0
2241	-3|51	0
2242	-2|50	0
2243	2|45	0
2244	5|42	0
2245	16|-3	0
2246	17|-3	0
2247	20|-4	0
2248	21|-4	0
2249	24|-5	0
2250	27|-6	0
2251	28|-6	0
2252	29|-7	0
2253	30|-7	0
2254	31|-7	0
2255	33|-8	0
2256	-6|44	0
2257	-5|44	2
2258	-5|43	1
2259	-6|43	0
2260	-6|45	0
2261	-5|45	3
2262	-5|46	0
2263	-6|46	0
2264	-7|47	0
2265	-7|46	0
2266	-5|42	0
2267	-4|43	4
2268	-4|42	0
2269	-4|44	5
2270	-4|45	6
2271	-4|46	0
2272	-5|47	0
2273	-6|47	0
2274	-7|48	0
2275	-6|48	0
2276	-5|48	0
2277	-7|49	0
2278	-6|49	0
2279	-5|49	0
2280	-4|47	0
2281	-4|48	0
2282	-4|49	0
2283	-3|42	0
2284	-3|43	0
2285	-3|44	13
2286	-3|45	14
2287	-3|46	0
2288	-3|48	0
2289	-3|47	0
2290	-3|49	0
2291	-2|42	0
2292	-1|41	0
2293	-1|42	0
2294	-2|43	0
2295	-1|43	38
2296	-1|44	39
2297	-2|44	25
2298	-2|45	26
2299	-2|46	27
2300	-1|45	40
2301	-1|46	41
2302	-2|47	0
2303	-1|47	0
2304	-2|48	0
2305	-1|48	0
2306	-2|49	0
2307	-1|49	0
2308	0|48	0
2309	0|47	0
2310	0|46	0
2311	0|45	55
2312	0|44	54
2313	0|43	53
2314	0|42	52
2315	0|41	51
2316	1|40	67
2317	1|41	68
2318	1|42	69
2319	1|43	70
2320	1|44	71
2321	1|45	0
2322	1|46	0
2323	2|44	87
2324	2|43	86
2325	2|42	85
2326	2|41	84
2327	2|40	83
2328	3|41	109
2329	3|42	0
2330	3|43	110
2331	3|44	111
2332	4|42	0
2333	4|43	137
2334	-7|50	0
2335	-6|50	0
2336	-5|50	0
2337	-4|50	0
2338	-3|50	0
2339	-6|51	0
2340	-5|51	0
2341	-4|51	0
2342	-4|52	0
2343	-6|53	0
2344	-7|53	0
2345	-7|52	0
2346	-6|52	0
2347	-5|52	0
2348	-5|53	0
2349	-8|47	0
2350	-8|48	0
2351	-8|49	0
2352	-8|50	0
2353	-8|51	0
2354	-8|52	0
2355	-7|51	0
2356	-9|49	0
2357	-9|50	0
2358	-9|51	0
