强度等级	战斗阵型ID	掉落ID	积分系数
230	3001230|3002230|3003230|3004230|3005230|3006230|3007230|3008230	1201|1202|1203|1204|1205|1206|1207|1208	47806
231	3001231|3002231|3003231|3004231|3005231|3006231|3007231|3008231	1201|1202|1203|1204|1205|1206|1207|1208	49794
232	3001232|3002232|3003232|3004232|3005232|3006232|3007232|3008232	1201|1202|1203|1204|1205|1206|1207|1208	50349
233	3001233|3002233|3003233|3004233|3005233|3006233|3007233|3008233	1201|1202|1203|1204|1205|1206|1207|1208	50906
234	3001234|3002234|3003234|3004234|3005234|3006234|3007234|3008234	1201|1202|1203|1204|1205|1206|1207|1208	51464
235	3001235|3002235|3003235|3004235|3005235|3006235|3007235|3008235	1201|1202|1203|1204|1205|1206|1207|1208	52025
236	3001236|3002236|3003236|3004236|3005236|3006236|3007236|3008236	1201|1202|1203|1204|1205|1206|1207|1208	52587
237	3001237|3002237|3003237|3004237|3005237|3006237|3007237|3008237	1201|1202|1203|1204|1205|1206|1207|1208	53190
238	3001238|3002238|3003238|3004238|3005238|3006238|3007238|3008238	1201|1202|1203|1204|1205|1206|1207|1208	53756
239	3001239|3002239|3003239|3004239|3005239|3006239|3007239|3008239	1201|1202|1203|1204|1205|1206|1207|1208	54326
240	3001240|3002240|3003240|3004240|3005240|3006240|3007240|3008240	1201|1202|1203|1204|1205|1206|1207|1208	54827
241	3001241|3002241|3003241|3004241|3005241|3006241|3007241|3008241	1201|1202|1203|1204|1205|1206|1207|1208	55550
242	3001242|3002242|3003242|3004242|3005242|3006242|3007242|3008242	1201|1202|1203|1204|1205|1206|1207|1208	56065
243	3001243|3002243|3003243|3004243|3005243|3006243|3007243|3008243	1201|1202|1203|1204|1205|1206|1207|1208	56573
244	3001244|3002244|3003244|3004244|3005244|3006244|3007244|3008244	1201|1202|1203|1204|1205|1206|1207|1208	57082
245	3001245|3002245|3003245|3004245|3005245|3006245|3007245|3008245	1201|1202|1203|1204|1205|1206|1207|1208	57593
246	3001246|3002246|3003246|3004246|3005246|3006246|3007246|3008246	1201|1202|1203|1204|1205|1206|1207|1208	58106
247	3001247|3002247|3003247|3004247|3005247|3006247|3007247|3008247	1201|1202|1203|1204|1205|1206|1207|1208	58621
248	3001248|3002248|3003248|3004248|3005248|3006248|3007248|3008248	1201|1202|1203|1204|1205|1206|1207|1208	59137
249	3001249|3002249|3003249|3004249|3005249|3006249|3007249|3008249	1201|1202|1203|1204|1205|1206|1207|1208	59655
250	3001250|3002250|3003250|3004250|3005250|3006250|3007250|3008250	1201|1202|1203|1204|1205|1206|1207|1208	60175
251	3001251|3002251|3003251|3004251|3005251|3006251|3007251|3008251	1201|1202|1203|1204|1205|1206|1207|1208	60696
252	3001252|3002252|3003252|3004252|3005252|3006252|3007252|3008252	1201|1202|1203|1204|1205|1206|1207|1208	61220
253	3001253|3002253|3003253|3004253|3005253|3006253|3007253|3008253	1201|1202|1203|1204|1205|1206|1207|1208	61890
254	3001254|3002254|3003254|3004254|3005254|3006254|3007254|3008254	1201|1202|1203|1204|1205|1206|1207|1208	62417
255	3001255|3002255|3003255|3004255|3005255|3006255|3007255|3008255	1201|1202|1203|1204|1205|1206|1207|1208	62946
256	3001256|3002256|3003256|3004256|3005256|3006256|3007256|3008256	1201|1202|1203|1204|1205|1206|1207|1208	63477
257	3001257|3002257|3003257|3004257|3005257|3006257|3007257|3008257	1201|1202|1203|1204|1205|1206|1207|1208	64008
258	3001258|3002258|3003258|3004258|3005258|3006258|3007258|3008258	1201|1202|1203|1204|1205|1206|1207|1208	64537
259	3001259|3002259|3003259|3004259|3005259|3006259|3007259|3008259	1201|1202|1203|1204|1205|1206|1207|1208	65067
260	3001260|3002260|3003260|3004260|3005260|3006260|3007260|3008260	1201|1202|1203|1204|1205|1206|1207|1208	65599
261	3001261|3002261|3003261|3004261|3005261|3006261|3007261|3008261	1201|1202|1203|1204|1205|1206|1207|1208	66189
262	3001262|3002262|3003262|3004262|3005262|3006262|3007262|3008262	1201|1202|1203|1204|1205|1206|1207|1208	66725
263	3001263|3002263|3003263|3004263|3005263|3006263|3007263|3008263	1201|1202|1203|1204|1205|1206|1207|1208	67262
264	3001264|3002264|3003264|3004264|3005264|3006264|3007264|3008264	1201|1202|1203|1204|1205|1206|1207|1208	67933
265	3001265|3002265|3003265|3004265|3005265|3006265|3007265|3008265	1201|1202|1203|1204|1205|1206|1207|1208	68637
266	3001266|3002266|3003266|3004266|3005266|3006266|3007266|3008266	1201|1202|1203|1204|1205|1206|1207|1208	69344
267	3001267|3002267|3003267|3004267|3005267|3006267|3007267|3008267	1201|1202|1203|1204|1205|1206|1207|1208	70053
268	3001268|3002268|3003268|3004268|3005268|3006268|3007268|3008268	1201|1202|1203|1204|1205|1206|1207|1208	70764
269	3001269|3002269|3003269|3004269|3005269|3006269|3007269|3008269	1201|1202|1203|1204|1205|1206|1207|1208	71477
270	3001270|3002270|3003270|3004270|3005270|3006270|3007270|3008270	1201|1202|1203|1204|1205|1206|1207|1208	72192
271	3001271|3002271|3003271|3004271|3005271|3006271|3007271|3008271	1201|1202|1203|1204|1205|1206|1207|1208	72910
272	3001272|3002272|3003272|3004272|3005272|3006272|3007272|3008272	1201|1202|1203|1204|1205|1206|1207|1208	73629
273	3001273|3002273|3003273|3004273|3005273|3006273|3007273|3008273	1201|1202|1203|1204|1205|1206|1207|1208	74351
274	3001274|3002274|3003274|3004274|3005274|3006274|3007274|3008274	1201|1202|1203|1204|1205|1206|1207|1208	75075
275	3001275|3002275|3003275|3004275|3005275|3006275|3007275|3008275	1201|1202|1203|1204|1205|1206|1207|1208	75801
276	3001276|3002276|3003276|3004276|3005276|3006276|3007276|3008276	1201|1202|1203|1204|1205|1206|1207|1208	76529
277	3001277|3002277|3003277|3004277|3005277|3006277|3007277|3008277	1201|1202|1203|1204|1205|1206|1207|1208	77259
278	3001278|3002278|3003278|3004278|3005278|3006278|3007278|3008278	1201|1202|1203|1204|1205|1206|1207|1208	77992
279	3001279|3002279|3003279|3004279|3005279|3006279|3007279|3008279	1201|1202|1203|1204|1205|1206|1207|1208	78872
280	3001280|3002280|3003280|3004280|3005280|3006280|3007280|3008280	1201|1202|1203|1204|1205|1206|1207|1208	79609
281	3001281|3002281|3003281|3004281|3005281|3006281|3007281|3008281	1201|1202|1203|1204|1205|1206|1207|1208	80414
282	3001282|3002282|3003282|3004282|3005282|3006282|3007282|3008282	1201|1202|1203|1204|1205|1206|1207|1208	81221
283	3001283|3002283|3003283|3004283|3005283|3006283|3007283|3008283	1201|1202|1203|1204|1205|1206|1207|1208	82031
284	3001284|3002284|3003284|3004284|3005284|3006284|3007284|3008284	1201|1202|1203|1204|1205|1206|1207|1208	82844
285	3001285|3002285|3003285|3004285|3005285|3006285|3007285|3008285	1201|1202|1203|1204|1205|1206|1207|1208	83658
286	3001286|3002286|3003286|3004286|3005286|3006286|3007286|3008286	1201|1202|1203|1204|1205|1206|1207|1208	84475
287	3001287|3002287|3003287|3004287|3005287|3006287|3007287|3008287	1201|1202|1203|1204|1205|1206|1207|1208	85295
288	3001288|3002288|3003288|3004288|3005288|3006288|3007288|3008288	1201|1202|1203|1204|1205|1206|1207|1208	86713
289	3001289|3002289|3003289|3004289|3005289|3006289|3007289|3008289	1201|1202|1203|1204|1205|1206|1207|1208	87598
290	3001290|3002290|3003290|3004290|3005290|3006290|3007290|3008290	1201|1202|1203|1204|1205|1206|1207|1208	88487
291	3001291|3002291|3003291|3004291|3005291|3006291|3007291|3008291	1201|1202|1203|1204|1205|1206|1207|1208	89465
292	3001292|3002292|3003292|3004292|3005292|3006292|3007292|3008292	1201|1202|1203|1204|1205|1206|1207|1208	90361
293	3001293|3002293|3003293|3004293|3005293|3006293|3007293|3008293	1201|1202|1203|1204|1205|1206|1207|1208	91259
294	3001294|3002294|3003294|3004294|3005294|3006294|3007294|3008294	1201|1202|1203|1204|1205|1206|1207|1208	93855
295	3001295|3002295|3003295|3004295|3005295|3006295|3007295|3008295	1201|1202|1203|1204|1205|1206|1207|1208	94758
296	3001296|3002296|3003296|3004296|3005296|3006296|3007296|3008296	1201|1202|1203|1204|1205|1206|1207|1208	95665
297	3001297|3002297|3003297|3004297|3005297|3006297|3007297|3008297	1201|1202|1203|1204|1205|1206|1207|1208	96574
298	3001298|3002298|3003298|3004298|3005298|3006298|3007298|3008298	1201|1202|1203|1204|1205|1206|1207|1208	97486
299	3001299|3002299|3003299|3004299|3005299|3006299|3007299|3008299	1201|1202|1203|1204|1205|1206|1207|1208	98400
300	3001300|3002300|3003300|3004300|3005300|3006300|3007300|3008300	1201|1202|1203|1204|1205|1206|1207|1208	99318
301	3001301|3002301|3003301|3004301|3005301|3006301|3007301|3008301	1201|1202|1203|1204|1205|1206|1207|1208	100462
302	3001302|3002302|3003302|3004302|3005302|3006302|3007302|3008302	1201|1202|1203|1204|1205|1206|1207|1208	101532
303	3001303|3002303|3003303|3004303|3005303|3006303|3007303|3008303	1201|1202|1203|1204|1205|1206|1207|1208	102459
304	3001304|3002304|3003304|3004304|3005304|3006304|3007304|3008304	1201|1202|1203|1204|1205|1206|1207|1208	103389
305	3001305|3002305|3003305|3004305|3005305|3006305|3007305|3008305	1201|1202|1203|1204|1205|1206|1207|1208	104334
306	3001306|3002306|3003306|3004306|3005306|3006306|3007306|3008306	1201|1202|1203|1204|1205|1206|1207|1208	105282
307	3001307|3002307|3003307|3004307|3005307|3006307|3007307|3008307	1201|1202|1203|1204|1205|1206|1207|1208	106233
308	3001308|3002308|3003308|3004308|3005308|3006308|3007308|3008308	1201|1202|1203|1204|1205|1206|1207|1208	107187
309	3001309|3002309|3003309|3004309|3005309|3006309|3007309|3008309	1201|1202|1203|1204|1205|1206|1207|1208	108143
310	3001310|3002310|3003310|3004310|3005310|3006310|3007310|3008310	1201|1202|1203|1204|1205|1206|1207|1208	109103
311	3001311|3002311|3003311|3004311|3005311|3006311|3007311|3008311	1201|1202|1203|1204|1205|1206|1207|1208	110065
312	3001312|3002312|3003312|3004312|3005312|3006312|3007312|3008312	1201|1202|1203|1204|1205|1206|1207|1208	111065
313	3001313|3002313|3003313|3004313|3005313|3006313|3007313|3008313	1201|1202|1203|1204|1205|1206|1207|1208	112118
314	3001314|3002314|3003314|3004314|3005314|3006314|3007314|3008314	1201|1202|1203|1204|1205|1206|1207|1208	113174
315	3001315|3002315|3003315|3004315|3005315|3006315|3007315|3008315	1201|1202|1203|1204|1205|1206|1207|1208	114234
316	3001316|3002316|3003316|3004316|3005316|3006316|3007316|3008316	1201|1202|1203|1204|1205|1206|1207|1208	115297
317	3001317|3002317|3003317|3004317|3005317|3006317|3007317|3008317	1201|1202|1203|1204|1205|1206|1207|1208	116364
318	3001318|3002318|3003318|3004318|3005318|3006318|3007318|3008318	1201|1202|1203|1204|1205|1206|1207|1208	117434
319	3001319|3002319|3003319|3004319|3005319|3006319|3007319|3008319	1201|1202|1203|1204|1205|1206|1207|1208	118507
320	3001320|3002320|3003320|3004320|3005320|3006320|3007320|3008320	1201|1202|1203|1204|1205|1206|1207|1208	119584
321	3001321|3002321|3003321|3004321|3005321|3006321|3007321|3008321	1201|1202|1203|1204|1205|1206|1207|1208	120700
322	3001322|3002322|3003322|3004322|3005322|3006322|3007322|3008322	1201|1202|1203|1204|1205|1206|1207|1208	121819
323	3001323|3002323|3003323|3004323|3005323|3006323|3007323|3008323	1201|1202|1203|1204|1205|1206|1207|1208	122941
324	3001324|3002324|3003324|3004324|3005324|3006324|3007324|3008324	1201|1202|1203|1204|1205|1206|1207|1208	124212
325	3001325|3002325|3003325|3004325|3005325|3006325|3007325|3008325	1201|1202|1203|1204|1205|1206|1207|1208	125342
326	3001326|3002326|3003326|3004326|3005326|3006326|3007326|3008326	1201|1202|1203|1204|1205|1206|1207|1208	126475
327	3001327|3002327|3003327|3004327|3005327|3006327|3007327|3008327	1201|1202|1203|1204|1205|1206|1207|1208	127610
328	3001328|3002328|3003328|3004328|3005328|3006328|3007328|3008328	1201|1202|1203|1204|1205|1206|1207|1208	128902
329	3001329|3002329|3003329|3004329|3005329|3006329|3007329|3008329	1201|1202|1203|1204|1205|1206|1207|1208	130047
330	3001330|3002330|3003330|3004330|3005330|3006330|3007330|3008330	1201|1202|1203|1204|1205|1206|1207|1208	131196
331	3001331|3002331|3003331|3004331|3005331|3006331|3007331|3008331	1201|1202|1203|1204|1205|1206|1207|1208	132349
332	3001332|3002332|3003332|3004332|3005332|3006332|3007332|3008332	1201|1202|1203|1204|1205|1206|1207|1208	133506
333	3001333|3002333|3003333|3004333|3005333|3006333|3007333|3008333	1201|1202|1203|1204|1205|1206|1207|1208	134666
334	3001334|3002334|3003334|3004334|3005334|3006334|3007334|3008334	1201|1202|1203|1204|1205|1206|1207|1208	135830
335	3001335|3002335|3003335|3004335|3005335|3006335|3007335|3008335	1201|1202|1203|1204|1205|1206|1207|1208	136997
336	3001336|3002336|3003336|3004336|3005336|3006336|3007336|3008336	1201|1202|1203|1204|1205|1206|1207|1208	138185
337	3001337|3002337|3003337|3004337|3005337|3006337|3007337|3008337	1201|1202|1203|1204|1205|1206|1207|1208	139442
338	3001338|3002338|3003338|3004338|3005338|3006338|3007338|3008338	1201|1202|1203|1204|1205|1206|1207|1208	140703
339	3001339|3002339|3003339|3004339|3005339|3006339|3007339|3008339	1201|1202|1203|1204|1205|1206|1207|1208	141968
340	3001340|3002340|3003340|3004340|3005340|3006340|3007340|3008340	1201|1202|1203|1204|1205|1206|1207|1208	143237
341	3001341|3002341|3003341|3004341|3005341|3006341|3007341|3008341	1201|1202|1203|1204|1205|1206|1207|1208	144548
342	3001342|3002342|3003342|3004342|3005342|3006342|3007342|3008342	1201|1202|1203|1204|1205|1206|1207|1208	145862
343	3001343|3002343|3003343|3004343|3005343|3006343|3007343|3008343	1201|1202|1203|1204|1205|1206|1207|1208	147326
344	3001344|3002344|3003344|3004344|3005344|3006344|3007344|3008344	1201|1202|1203|1204|1205|1206|1207|1208	148648
345	3001345|3002345|3003345|3004345|3005345|3006345|3007345|3008345	1201|1202|1203|1204|1205|1206|1207|1208	149973
346	3001346|3002346|3003346|3004346|3005346|3006346|3007346|3008346	1201|1202|1203|1204|1205|1206|1207|1208	151304
347	3001347|3002347|3003347|3004347|3005347|3006347|3007347|3008347	1201|1202|1203|1204|1205|1206|1207|1208	152638
348	3001348|3002348|3003348|3004348|3005348|3006348|3007348|3008348	1201|1202|1203|1204|1205|1206|1207|1208	153975
349	3001349|3002349|3003349|3004349|3005349|3006349|3007349|3008349	1201|1202|1203|1204|1205|1206|1207|1208	155317
350	3001350|3002350|3003350|3004350|3005350|3006350|3007350|3008350	1201|1202|1203|1204|1205|1206|1207|1208	156663
351	3001351|3002351|3003351|3004351|3005351|3006351|3007351|3008351	1201|1202|1203|1204|1205|1206|1207|1208	158014
352	3001352|3002352|3003352|3004352|3005352|3006352|3007352|3008352	1201|1202|1203|1204|1205|1206|1207|1208	159369
353	3001353|3002353|3003353|3004353|3005353|3006353|3007353|3008353	1201|1202|1203|1204|1205|1206|1207|1208	160728
354	3001354|3002354|3003354|3004354|3005354|3006354|3007354|3008354	1201|1202|1203|1204|1205|1206|1207|1208	162091
355	3001355|3002355|3003355|3004355|3005355|3006355|3007355|3008355	1201|1202|1203|1204|1205|1206|1207|1208	163458
356	3001356|3002356|3003356|3004356|3005356|3006356|3007356|3008356	1201|1202|1203|1204|1205|1206|1207|1208	164830
357	3001357|3002357|3003357|3004357|3005357|3006357|3007357|3008357	1201|1202|1203|1204|1205|1206|1207|1208	166206
358	3001358|3002358|3003358|3004358|3005358|3006358|3007358|3008358	1201|1202|1203|1204|1205|1206|1207|1208	167586
359	3001359|3002359|3003359|3004359|3005359|3006359|3007359|3008359	1201|1202|1203|1204|1205|1206|1207|1208	168971
360	3001360|3002360|3003360|3004360|3005360|3006360|3007360|3008360	1201|1202|1203|1204|1205|1206|1207|1208	171276
