关键字	中文
STR_LEGIONNEW_108	更改时间
STR_LEGIONNEW_109	今日开启时间：
STR_LEGIONNEW_110	篝火等级越高奖励越丰厚，可通过添柴，加火等提升篝火等级！
STR_LEGIONNEW_112	篝火达到指定等级，军团管家将发放篝火大红包！
STR_LEGIONNEW_113	今日篝火尚未开启
STR_LEGIONNEW_114	今日篝火已结束
STR_LEGIONNEW_115	您还没有报名！
STR_LEGIONNEW_116	今日添柴次数已达上限！
STR_LEGIONNEW_117	今日加火次数已达上限！
STR_LEGIONNEW_118	添柴冷却中！
STR_LEGIONNEW_119	加火冷却中！
STR_LEGIONNEW_120	添柴
STR_LEGIONNEW_121	加火
STR_LEGIONNEW_122	添柴时有概率给大家发出添柴小红包
STR_LEGIONNEW_123	加火时有概率给大家发出加火小红包
STR_LEGIONNEW_124	添柴奖励
STR_LEGIONNEW_125	加火奖励
STR_LEGIONNEW_126	抢到了
STR_LEGIONNEW_127	来到了篝火派对 
STR_LEGIONNEW_128	离开了篝火派对 
STR_LEGIONNEW_129	在加火时向大家发放了1个
STR_LEGIONNEW_130	在大家的努力下，篝火等级得到了提升 
STR_LEGIONNEW_131	一大波篝火红包来袭 
STR_LEGIONNEW_132	红包已经被抢走了 
STR_LEGIONNEW_133	篝火大红包（Lv.%s）
STR_LEGIONNEW_134	篝火等级达到Lv.%s级发放
STR_LEGIONNEW_135	开启可能获得：
STR_LEGIONNEW_136	每人限抢%d个
STR_LEGIONNEW_137	军团日志
STR_LEGIONNEW_138	事件
STR_LEGIONNEW_139	贡献
STR_LEGIONNEW_140	申请成功
STR_LEGIONNEW_141	您撤销了申请
STR_LEGIONNEW_142	欢迎新伙伴的到来！
STR_LEGIONNEW_143	军团创建成功
STR_LEGIONNEW_144	旗帜更换成功
STR_LEGIONNEW_145	尚未输入军团ID
STR_LEGIONNEW_146	%s不足，无法创建
STR_LEGIONNEW_147	后可加入军团
STR_LEGIONNEW_148	后可创建军团
STR_LEGIONNEW_149	移交团长后才能退出军团！
STR_LEGIONNEW_CODE_DEFALUT	数据异常，请关闭界面重试
STR_LEGIONNEW_CODE_100	军团名字不合法 
STR_LEGIONNEW_CODE_101	消耗不足 
STR_LEGIONNEW_CODE_102	参数有误 
STR_LEGIONNEW_CODE_103	使用旗面条件不满足 
STR_LEGIONNEW_CODE_104	使用花纹条件不满足 
STR_LEGIONNEW_CODE_105	军团不存在 
STR_LEGIONNEW_CODE_106	军团已经存在 
STR_LEGIONNEW_CODE_107	没有权限 
STR_LEGIONNEW_CODE_108	公告不合法 
STR_LEGIONNEW_CODE_109	不能加入军团 
STR_LEGIONNEW_CODE_110	申请军团数量已达到上限 
STR_LEGIONNEW_CODE_111	您已加入军团了
STR_LEGIONNEW_CODE_112	已经申请 
STR_LEGIONNEW_CODE_113	职位数量达到上限 
STR_LEGIONNEW_CODE_114	职位不合法 
STR_LEGIONNEW_CODE_115	不满足弹劾条件 
STR_LEGIONNEW_CODE_116	已经发起弹劾 
STR_LEGIONNEW_CODE_117	不满足领取奖励的条件 
STR_LEGIONNEW_CODE_118	冷却CD 
STR_LEGIONNEW_CODE_119	没有加入篝火 
STR_LEGIONNEW_CODE_120	成员不存在 
STR_LEGIONNEW_CODE_121	军团名已被占用
STR_LEGIONNEW_CODE_122	加入军团时间冷却中
STR_LEGIONNEW_CODE_123	此类型红包数已经达到上限
STR_LEGIONNEW_CODE_124	红包已经被别人抢走
STR_LEGIONNEW_CODE_125	今日建设次数已达上限
STR_LEGIONNEW_CODE_126	添柴次数已达上限
STR_LEGIONNEW_CODE_127	加火次数已达上限
STR_LEGIONNEW_CODE_128	添柴冷却中
STR_LEGIONNEW_CODE_129	加火冷却中
STR_LEGIONNEW_CODE_130	军团成员数量达到上限
STR_LEGIONNEW_CODE_131	已经加入篝火了
STR_LEGIONNEW_CODE_132	篝火尚未开启
STR_LEGIONNEW_CODE_133	篝火已经结束
STR_LEGIONNEW_CODE_134	不能踢出自己
STR_LEGIONNEW_CODE_135	军团经验不足，无法踢出成员
STR_LEGIONNEW_CODE_137	今日鼓舞次数已达上限
STR_LEGIONNEW_CODE_139	今日挑战次数已用完
STR_LEGIONNEW_CODE_140	不在BOSS挑战时间内
STR_LEGIONNEW_CODE_141	加入军团24小时内无法主动离开军团
STR_LEGIONNEW_CODE_142	军团战期间不能解散军团
STR_LEGIONNEW_CODE_143	该玩家已加入其它军团
STR_LEGIONNEW_INFO_200	成功解散军团
STR_LEGIONNEW_BTN_STR	军团战
STR_LEGIONNEW_SERVER_BTN_STR	跨服军团战
SECOND_AGO	%d秒前
MINUTE_AGO	%d分钟前
JUST_NOW	刚刚
JUST_NOW1	在线
OFF_LINE	离线
HOUR_AGO	%d小时前
YESTERDAY	昨天
DAY_AGO	%d天前
A_WEEK_AGO	一周前
STR_MINUTES	分钟
STR_SECONDS	秒
TIME_LIMIT	时限：%d天
MINE_ENTRANCE_TITLE_1	秘境矿洞
MINE_ENTRANCE_TITLE_2	龙晶矿洞
MINE_ENTRANCE_INFO_1	奇遇探险，获取精炼神石
MINE_ENTRANCE_INFO_2	采集龙晶，进化神龙
REPORT_TAB_TITLE_1	竞技场
REPORT_TAB_TITLE_2	王城争霸
REPORT_TAB_TITLE_3	王者之战
REPORT_TAB_TITLE_4	村庄争夺
REPORT_TAB_TITLE_5	地块争夺
STR_NO_REPORT	 暂无战报
STR_REPORT_TIP	点击即可回放战报
STR_EQUIPING	装备中
STR_USE_NEW_DESC_1	选择使用数量：
STR_USE_NEW_DESC_2	使用数量最小为1
STR_SELL_NEW_DESC_1	选择出售数量：
STR_SELL_NEW_DESC_2	出售数量最小为1
NEED_CASH	需要消耗%d钻石
BAG_GET_DESC_1	恭喜你获得%d次擂台挑战次数
STR_MERGE_NEW_DESC_1	选择合成数量：
STR_MERGE_NEW_DESC_2	合成数量最小为1
DRESS_CANNOT_MERGE	该装备无法合成
DRESS_MERGE	装备合成
ITEM_CANNOT_MERGE	该道具无法合成
DESTINY_MERGE	道具合成
JADESEAL_DESC_1	选择一个奖励领取
JADESEAL_DESC_2	请点击卡牌选取一个奖励！
STR_QIYU	奇遇
STR_ZHOU_CHENG_JIU	周成就
TRIAL_DESC1	无倍率加成
TRIAL_DESC2	一键探索
TRIAL_DESC3	开始探索
TRIAL_DESC4	停止探索
TRIAL_DESC5	奖励倍率：
TRIAL_DESC6	奖励积分：
TRIAL_DESC7	 +%s
TRIAL_DESC8	x %s
TRIAL_DESC9	已领取
TRIAL_DESC10	每日积分奖励：
TRIAL_DESC11	可领取
TRIAL_DESC12	再探索%d次可领奖
TRIAL_DESC13	重置硬币获取更高奖励
TRIAL_DESC14	你没有探索次数了
TRIAL_DESC15	探索中
TRIAL_DESC16	似乎没找到什么有用的东西
TRIAL_DESC17	奖励倍率
TRIAL_DESC18	奖励领取
TRIAL_DESC19	你的奇遇时间已经结束了
TRIAL_DESC20	你的金币不足
TRIAL_DESC21	确定花费%d钻石刷新怪物星级？
TRIAL_DESC22	确定花费%d钻石购买该道具？
TRIAL_DESC23	怪物刷新
TRIAL_DESC24	确定刷新怪物星级？
TRIAL_DESC25	可能出现更低星级
TRIAL_DESC26	没有奇遇事件了
TRIAL_DESC27	%d级开启
TRIAL_DESC28	尚未开启
TRIAL_DESC29	快去探索吧！
TRIAL_DESC30	正在探索中！
TRIAL_DESC31	已领取今日宝箱！
TRIAL_DESC32	购买该材料？
TRIAL_DESC33	限购%d次
TRIAL_DESC34	原价:
MODULE_OPEN_NEED	需要开启%s
LEVEL_OPEN_NEED	需要Lv.%d
NEED_JOIN_LEGION	需要加入军团
NEED_JOIN_TEAM	需要加入战队
STR_FOOD	体力
STR_CASH	钻石
STR_GOLD	金币
STR_BINDCASH	蓝钻
STR_GOLDCASH	金钻
STR_TISHI	提示
ALTAR_DESC_1	今日剩余次数：
ALTAR_DESC_2	祭祀
ALTAR_DESC_3	点亮魔法阵上的
ALTAR_DESC_4	6朵火焰
ALTAR_DESC_5	将获得
ALTAR_DESC_6	2倍奖励
ALTAR_DESC_7	%d次
ALTAR_DESC_8	取消消耗确认
ALTAR_DESC_9	需要获得：
ALTAR_DESC_10	获取提示：解救[%s.%s]附近的村庄
ALTAR_DESC_11	进行祭祀？
ALTAR_DESC_12	进行%d次祭祀？
ALTAR_DESC_13	可完成1次阵法获得%d倍奖励
ALTAR_DESC_14	祭祀次数不足
ALTAR_DESC_15	前往提升VIP等级获得额外祭祀次数？
ALTAR_DESC_16	，前往充值获得钻石？
RUNE_POS_1	第一符文槽
RUNE_POS_2	第二符文槽
RUNE_POS_3	第三符文槽
RUNE_POS_4	第四符文槽
RUNE_EQUIP	装备
RUNE_CHANGE	更换
RUNE_DISMOUNT	卸下
RUNE_LEVEL	符文等级：%d
RUNE_HAVE_NULL	暂无可用符文
RUNE_GOT_TITLE	已解锁符文
RUNE_GOT_TITLE_STR	符文宝箱可随机获取已解锁的符文
RUNE_NOT_GOT_TITLE	未解锁符文
RUNE_NOT_GOT_TITLE_STR	通关至%d层可解锁新的符文
RUNE_UNLOCK_NUM	%d层解锁
RUNE_LV_UP_MAX	符文等级已达上限，快去提升英雄等级吧
RUNE_LV_UP_STR_1	材料不足，无法升级
NO_RUNE_STR	没有符文
RUNE_BASE_ATT_TITLE	基础属性：
RUNE_SP_ATT_TITLE	特殊属性：
RUNE_SP_ATT_DES	特殊属性
RUNE_CARD_TIPS	基础属性可随强化等级不断增强
STR_RUNE_BAG_1	点击操作所需符文
STR_RUNE_DECOMPOSE_1	暂无可分解的符文
STR_RUNE_DECOMPOSE_2	符文分解
STR_RUNE_DECOMPOSE_3	是否分解高品质符文？
STR_RUNE_DECOMPOSE_4	高品质符文
STR_RUNE_BASE_ATTR	基础属性
STR_RUNE_SPECIALL_ATTR	特殊属性
STR_RUNE_ATTR_DESC_PREFIX	【随机获取%s条如下%s】
LEVEL_LIMIT	(等级上限：%d)
STR_RUNE_NO_PUT	尚未放置符文
FIGHT_FORCE	战斗力
FIGHT_FORCE_ALL	总战斗力
FIGHT_FORCE_UP_1	全体步兵战斗力提升
FIGHT_FORCE_UP_2	全体远程战斗力提升
FIGHT_FORCE_UP_3	全体骑兵战斗力提升
FIGHT_FORCE_UP_4	战斗力提升：%d
LIMIT_TIME_DESC	到期时间：
DAY	天
MONTH	月
DAY_DESC_1	日
YEAR	年
LIMIT_DESC	限时
STR_EQUIP_TIPS_DESC_1	强化属性成长
STR_EQUIP_TIPS_DESC_2	精炼属性成长
STR_EQUIP_TIPS_DESC_3	精炼等级上限
STR_EQUIP_TIPS_DESC_4	强化
STR_EQUIP_TIPS_DESC_5	强化属性
STR_EQUIP_TIPS_DESC_6	精炼属性
STR_CAVE_NEW_DESC_1	点击开启宝箱
STR_CAVE_NEW_DESC_2	当前骰子数：
STR_CAVE_NEW_DESC_3	必定获得大奖金币，低概率额外获得200钻石
STR_CAVE_NEW_DESC_4	集齐4个宝箱碎片即可开启碎片宝箱
STR_CAVE_NEW_DESC_5	骰子数+1
STR_NOTHING_HERE	这里没有东西
TIPS_AWARD_BOX	符文随机宝箱
BOX_STR_1	开启有机会获得符文或符文精华
BOX_STR_2	随机范围由符文图鉴已解锁符文决定
RUNE_HANDBOOX_BTN	符文图鉴
CHART_RECORD	英雄简介
GUIDE_INFO_1	亲，请按照提示操作哦
GUIDE_INFO_2	恭喜你，获得了第一件装备
GUIDE_INFO_3	恭喜你，获得了经验药水
GUIDE_INFO_4	恭喜你，获得了一枚星星印记
GUIDE_INFO_5	这是一块神奇的面板
GUIDE_INFO_6	恭喜你，获得了1阶军械武器
GUIDE_INFO_7	恭喜你，获得了第一个英雄
GUIDE_INFO_8	救命呀~
CLICK_SCREEN_CONTINUE	点击屏幕继续
HONOR_TITLE_1	战力霸主
HONOR_TITLE_2	等级霸主
HONOR_TITLE_3	竞技场霸主
HONOR_TITLE_4	爬塔霸主
HONOR_TITLE_5	皇城霸主
HONOR_TITLE_6	军团霸主
HONOR_TITLE_7	运气王
SRE_GUIDE_TXT_1	你的名字是？
SRE_GUIDE_TXT_2	最多12个字符
SRE_GUIDE_TXT_3	请输入姓名
SRE_GUIDE_TXT_4	昵称已被使用
SRE_GUIDE_TXT_5	修改失败，当前您正在使用该昵称
SRE_GUIDE_TXT_6	只能输入中文、字母、数字
STR_SOLDIER_TYPE	兵种
STR_LIMIT_HERO	限时英雄：
STR_KING_LVUP_TITLE	领主等级提升
STR_KING_LVUP_DESC_1	领主等级：
STR_KING_LVUP_DESC_2	体力回复：
STR_KING_LVUP_DESC_3	等级上限：
STR_KING_LVUP_DESC_4	新功能！
STR_GET_TREASURE	获取宝物
STR_GOTO_GET	前往获取
STR_GOTO_GET2	前往领取
STR_JING_XING_ZHONG	进行中
STR_UNLOCK	未解锁
STR_QUALITY_CHAPTER	%s阶章节
STR_GROWPATH_STR_1	领主已成长至
STR_SUCC_ADVANCE	进阶成功
LIMIT_BATTLE_SPEEDUP_1	%d级开启%d档加速
LIMIT_BATTLE_SPEEDUP_2	vip%d开启%d档加速
STR_JIUMING	救命
CLICK_ANY_POS_CONTINUE	点击任意位置继续
CUSTOM_SWEEP_OPEN_TEXT	%d级开启扫荡
STR_JIXU_MAOXIAN	继续冒险
FOOD_RESTORE_DESC_1	体力恢复时间：
FOOD_RESTORE_DESC_2	下次体力恢复：
FOOD_RESTORE_DESC_3	全部体力恢复
FOOD_RESTORE_DESC_4	已满
RED_FOOD_RESTORE_DESC_1	红色体力恢复时间：
RED_FOOD_RESTORE_DESC_2	下次红色体力恢复：
RED_FOOD_RESTORE_DESC_3	全部红色体力恢复
COMMON_STR_LEVELOPEN_2	%s级解锁
STR_KING_WAY	帝王之路
STR_KING_WAY_DESC_1	集齐
STR_KING_WAY_DESC_2	提升领主品质
STR_KING_WAY_DESC_3	收集
STR_KING_WAY_DESC_4	可提升领主品级
STR_KING_WAY_DESC_5	继续搜集
STR_KING_WAY_DESC_6	领主晋级
TIPS_DESC_1	当前拥有：
TIPS_DESC_2	恢复间隔：
TIPS_DESC_3	下次恢复时间：
TIPS_DESC_4	全部恢复时间：
TIPS_DESC_5	已满
TIPS_DESC_6	拥有量：
TIPS_LANDGRABBER_TIPS_1	古老的村庄等待着强者解救，谁知迎来了无尽的纷争...
LANDGRABBER_TITLE_NOT_CAPTURED_1	虚位以待
LANDGRABBER_TITLE_NOT_CAPTURED_2	本段暂无玩家
LANDGRABBER_TIP_WAIT_RESCURE	待解救
LANDGRABBER_NOT_RESCURED_1	解救后开启资源争夺
LANDGRABBER_GOTO_SEARCH_1	前往寻找
LANDGRABBER_GOTO_RESCURE_1	前往解救
LANDGRABBER_GIVEUP_OWNER_1	撤离
LANDGRABBER_GOTO_CAPTURE_1	前往争夺
LANDGRABBER_VILLAGE_LOCATION_1	传说位于%s附近
LANDGRABBER_ERR_NO_TEAM_1	您需要加入一个战队
LANDGRABBER_ERR_NOT_TEAM_LEADER_1	需要战队队长进行操作
LANDGRABBER_ERR_IN_PROTECT	保护时间内无法进行此操作，请稍后再试
LANDGRABBER_VILLAGE_LEAVE_SUSS	撤离成功
STR_SPECIAL_REWARD_1	特产
STR_LEFT_RES_1	剩余资源：
STR_GET_SPEED	获取速度
STR_GET_SPEED_1	获取速度：
STR_OTHER_SERVER_1	跨服
STR_LORD_INFO	领主信息
STR_UNKOWN_1	未 知
CUSTOMTIP_DESC_1	搜集到5颗星就能挑战我啦！
STR_TODAY_NOLONGER_NOTICE	今日不再提示
STR_MIXCASH_COST_DESC_1	（蓝钻不足，剩余消耗金钻）
STR_YU	与
STR_BUY_THIS_ITEM	进行购买该道具？
STR_TOTAL_FIGHT_FORCE	总战力
STR_OPERATE	查看
STR_JUEWEI	爵位
STR_ZHAN_DUI	战队
STR_ZHAN_DUI_XIN_XI	战队信息
STR_LEGION_XIN_XI	军团信息
STR_LEGION_SCORE_XIN_XI	军团战积分
STR_QUIT_GAME_TITLE	退出游戏
STR_RELOAD_NEW_CLIENT	版本已更新，需要重新下载客户端
NEED_UPDATE_SIZE	需要下载%s的数据，是否继续？
STR_QUIT_GAME	是否要退出游戏？
STR_DISSOLVE_TEAM	成功解散了战队
STR_LEAVE_TEAM	成功退出了战队
STR_REFRESH_LATER	刷新过于频繁,请稍后再试
LEGION_LEVELS_DESC12	进度：
GOTO_1	前  往
STR_GET_1	领  取
LEGION_MEM_NUM	军团人数：
LEGION_RANK	军团排名：
CORE_MEMBERS	核心成员
MEMBER_LEADER	团长：
TEAM_MEM_NUM	战队人数：
TEAM_RANK	战队排名：
TEAM_MEMBER	战队成员
STR_VILLAGE_AWARD	村民进贡
STR_WIN	胜
STR_FAIL	败
STR_CAPTURE_LORD	领主争夺
STR_CAPTAIN	队长：
STR_CAPTAIN_1	队长
HAVE_NOT_LORD	暂无领主
STR_LAND_OUTPUT	地块可能产出
STR_LAND_LORD	占领者
STR_CAPTURE	占领
STR_SURPLUS_TIME	剩余时间
STR_GOT	已获取：
STR_FORMATION_FIGHT_FORCE	布阵战力
STR_OWN_LAND	我的地块
STR_CROSS_SERVER_RES_UP	（跨服，产量提升）
STR_MEMBER_NOT_UNLOCK_VILLAGE	该成员尚未解锁村庄
STR_OWN_LAND_RES_OUTPUT	我的地块累计收益：
STR_LAND_GRAB_COST_TIP	尚未占领地块，占领成功消耗：
STR_GRAB_SUCESS	占领成功
STR_GRAB_FAILURE	占领失败
STR_DEFEND_SUCESS	防守成功
STR_DEFEND_FAILURE	防守失败
STR_BARREN_LAND	荒地
STR_LAND_REWARD_EMPTY_TIP	地块暂时未有所收益，请稍后查看
STR_SURPLUS_TIME_TODAY	今日剩余时间：
STR_GRAB_TIME_ONCE	单次占领时间：
STR_LAND_GRAB_ERR_DEFAULT	数据异常，请刷新界面后重试
STR_LAND_GRAB_PERSON_ERR_201	不是领主
STR_LAND_GRAB_PERSON_ERR_202	当前地块正处于保护时间内，无法占领
STR_LAND_GRAB_PERSON_ERR_203	您已经占领了一个地块，请撤离后再尝试
STR_LAND_GRAB_PERSON_ERR_204	您今日的占领时间已经耗尽，请明天再来
STR_LAND_GRAB_PERSON_ERR_209	占地凭证不足
STR_LAND_GRAB_TEAM_ERR_201	不是领主
STR_LAND_GRAB_TEAM_ERR_202	当前村庄正处于保护时间内，无法撤离或占领
STR_LAND_GRAB_TEAM_ERR_203	您的战队已经占领了一个村庄，请撤离后再尝试
STR_LAND_GRAB_TEAM_ERR_205	请您加入一个战队后再尝试
STR_LAND_GRAB_TEAM_ERR_206	您已经占领了一个村庄了
STR_LAND_GRAB_TEAM_ERR_207	占领村庄所需资源不足
STR_LAND_GRAB_TEAM_ERR_208	村庄还未解救
STR_SELECT_SER_DESC	选择服务器：
STR_START	开始
STR_OVER	结束
STR_COMMONLY_USED	常用账号推荐
NO_NAME	未命名
STR_ALL_SERVER	所有服务器
STR_VERSION_CODE	当前版本号：
STR_LOGIN_TIPS	测试版本不代表最终品质
STR_GET_NEW_SKILL	解锁天赋：
STR_DRAGON_TALENT	巨龙天赋：
STR_JOIN_TEAM_TIME	后可加入战队
STR_TEAM_MAMBER_MAX	战队人数已达上限
STR_LOW_LEVEL	领主等级太低,无法加入战队
STR_ZHANG_YU_DESC_1	休想拿走我绝世宝贝
STR_ZHANG_YU_DESC_2	绝世宝贝激活神秘属性
STR_FA_LAO_DESC_1	救我，帮你征服世界
STR_TEAM_APPLY_NUM_LIMIT	仅能同时向%s个战队发出申请
STR_CAPTURE_VILLAGE_CONFIRM	是否争夺该村庄领主？
STR_ROB_NOT_ENOUGH	没有足够的占地凭证，是否前往获取？
STR_GOTO_LOOK	前往查看
STR_CANT_QUIT	队长不可退出战队
STR_CITY_CRAFT_DESC_1	增加1次挑战次数
STR_TEAM_BONUS	战队加成
STR_HERO_FATE_DESC_1	英雄缘分
STR_HERO_FATE_DESC_2	激活缘分可提升英雄属性
STR_HERO_FATE_DESC_3	帝王之路可获取缺失英雄碎片
STR_GLACEMAN_DESC_1	被束缚的
STR_CAN_WEAR_EQUIP_DESC	当前有可穿戴装备，是否自动穿戴？ 
ROLE_EQUIPREBUILD_TIP501	强化材料不足
ROLE_EQUIPREBUILD_TIP502	精炼材料不足
ROLE_EQUIPREBUILD_TIP503	强化等级已达上限
ROLE_EQUIPREBUILD_TIP504	精炼等级已达上限
STR_TO_BATTLE_FINISH	到战斗结束
STR_MAX_FLOOR	恭喜英雄通关勇者之塔,敬请期待接下来的挑战吧!
STR_HAS_LEGION	已经加入了军团
STR_GUIDE_FREE_DRAGON_USE_DESC_1	通关[%s.%s]可永久使用
DRAGON_BADGE_NAME	火龙徽章
DRAGON_BADGE_kill_NAME	巨龙吐息
STR_GUIDE_TASK_NODE_LV	%s级开启:
STR_GUIDE_TASK_NODE_AWARD	领取奖励!
STR_GUIDE_TASK_TARGET_NEW	新目标:
STR_GUIDE_TASK_FUNC_NEW	新功能:
STR_GUIDE_TASK_NODE_NEED_LV	%s级领取
STR_GUIDE_TASK_NODE_NEED_CITY	通关[%s.%s]
BATTLE_RESULT_SEAT_1	进攻方
BATTLE_RESULT_SEAT_2	防守方
EXPLORE_BOSS_SHOW_TALK_STR	点我！
TERRITORIAL_WAL_REPORT_TITLE_1	事件
TERRITORIAL_WAL_REPORT_TITLE_2	防守
CITYCRAFT_INFO_1	税收奖励：
CITYCRAFT_INFO_2	挑战成功，获取
CITYCRAFT_INFO_3	爵位
CITYCRAFT_INFO_4	爵位进阶失败
CITYCRAFT_INFO_5	防守失败，降级为
CITYCRAFT_INFO_6	爵位保留成功
CITYCRAFT_INFO_7	爵位未变化
CITYCRAFT_INFO_8	暂无爵位
FIRST_PAY_INFO_1	超值豪礼
FIRST_PAY_INFO_2	内含：
FIRST_PAY_INFO_3	首充豪礼
FIRST_PAY_INFO_4	送：
FIRST_PAY_INFO_5	超值好礼
FIRST_PAY_INFO_6	超值好礼
TREASURE_PLACE_INFO_1	成功占领
TREASURE_PLACE_INFO_2	成功防守
TREASURE_PLACE_INFO_3	挑战失败
TREASURE_PLACE_INFO_4	失败退出
NO_ROLE_CAN_ONLINE_DESC	暂无英雄，是否前往酒馆招募英雄？
WORLD_ENTER_TEXT	世界
PURCHASED	已购买
SOLDOUT	售 罄
TEN_THOUSAND	万
ONE_HUNDRED_MILLION	亿
FWACT_LIMIT	仅限前%d人购买，(剩余%d件)
FIRST_WEEK_INFO_1	已过期
FIRST_WEEK_INFO_2	再完成
FIRST_WEEK_INFO_3	个任务可开启下一个宝箱
FIRST_WEEK_INFO_4	还剩余
FIRST_WEEK_INFO_5	关闭
FIRST_WEEK_INFO_6	已结束
FIRST_WEEK_INFO_7	开服七天乐
FIRST_WEEK_INFO_8	第%d天可查看
FIRST_WEEK_INFO_9	至尊礼盒
FIRST_WEEK_INFO_10	等级达到
WEEK_SIGN_STR_RESIGN	补签
WEEK_SIGN_CODE201	VIP1解锁补签
WEEK_SIGN_DAY_1	第一天
WEEK_SIGN_DAY_2	第二天
WEEK_SIGN_DAY_3	第三天
WEEK_SIGN_DAY_4	第四天
WEEK_SIGN_DAY_5	第五天
WEEK_SIGN_DAY_6	第六天
WEEK_SIGN_DAY_7	第七天
WEEK_SIGN_RESIGN_STR	进行补签
WEEK_SIGN_RESIGN_DIALOG	补签确认
AC_LEVEL_RANK_1	榜首奖励：
AC_LEVEL_RANK_2	我的排名
AC_LEVEL_RANK_3	等级排行
AC_FIGHT_RANK_1	战斗力排行
LEGION_SHOP_NPC_STR	军团商人
LEGION_WAR_NPC_STR	军团战
LEGION_WORLD_WAR_NPC_STR	王者之战
LEGION_BUTTON_STR_WORLD_WAR	决战天下
WAR_COLLEGE_DESC_1	欢迎来到战争学院，在这里您可以学习到高级布阵方法。
WAR_COLLEGE_DESC_2	步兵通常是用来抵挡敌人的，他能够牵制两个敌方近战单位。
WAR_COLLEGE_DESC_3	试试用步兵牵制敌方的骑兵来获得胜利吧！
WAR_COLLEGE_DESC_4	骑兵只能吸引一个近战单位，其余的近战单位会越过骑兵。
WAR_COLLEGE_DESC_5	试试用骑兵牵制敌方骑兵以保护后排的远程吧！
WAR_COLLEGE_DESC_6	远程只能吸引一个近战单位，其余近战单位会越过远程。
WAR_COLLEGE_DESC_7	试试用远程牵制敌方步兵以方便己方骑兵发起对敌方远程的突袭吧！
WAR_COLLEGE_DESC_8	注意对面的骑兵，他们的攻击力不容小觑。
WAR_COLLEGE_DESC_9	快用你的步兵好好的保护远程吧！
WAR_COLLEGE_DESC_10	注意对面后排的远程，她们有着令人胆颤的强大的攻击力。
WAR_COLLEGE_DESC_11	快利用骑兵绕后的特性击溃她们吧！
WAR_COLLEGE_DESC_12	注意对面的步兵，他们有着很高的防御力。
WAR_COLLEGE_DESC_13	快利用远程集火干掉敌方的步兵吧！
STR_TIME11	%d天
STR_TIME12	%d 天
LEGION_BOSS_INFO_1	排行
LEGION_BOSS_INFO_2	鼓舞
LEGION_BOSS_INFO_3	挑战
LEGION_BOSS_INFO_4	今日未开始
LEGION_BOSS_INFO_5	今日已结束
LEGION_BOSS_INFO_6	本次免费
LEGION_BOSS_INFO_7	击杀
LEGION_BOSS_INFO_8	伤害排行
LEGION_BOSS_INFO_9	排名
LEGION_BOSS_INFO_10	玩家名称
LEGION_BOSS_INFO_11	伤害
LEGION_BOSS_INFO_12	开启时间：
LEGION_BOSS_INFO_13	升级条件：
LEGION_BOSS_INFO_14	军团%d级
LEGION_BOSS_INFO_15	成功击杀BOSS
LEGION_BOSS_INFO_16	士气鼓舞
LEGION_BOSS_INFO_17	军团全员对BOSS伤害得到提升！
LEGION_BOSS_INFO_18	剩余鼓舞次数：
LEGION_BOSS_INFO_19	鼓舞次数已达上限！
LEGION_BOSS_INFO_20	鼓舞军团全员
LEGION_BOSS_INFO_21	今日剩余鼓舞次数：%d
LEGION_BOSS_INFO_22	士气鼓舞
LEGION_BOSS_INFO_23	军团2级开放
LEGION_BOSS_INFO_24	奖励说明
LEGION_BOSS_INFO_25	军团参与奖励
LEGION_BOSS_INFO_26	首杀奖励
LEGION_BOSS_INFO_27	挑战奖励
LEGION_BOSS_INFO_28	最后一击奖励
LEGION_BOSS_INFO_29	军团排名奖励
LEGION_BOSS_INFO_30	军团排名
LEGION_BOSS_INFO_31	军团尚未入榜
LEGION_BOSS_INFO_32	奖励说明
LEGION_BOSS_INFO_33	排名
LEGION_BOSS_INFO_34	军团
LEGION_BOSS_INFO_35	难度
LEGION_BOSS_INFO_36	伤害量
LEGION_BOSS_INFO_37	鼓舞
LEGION_BOSS_INFO_38	MVP
LEGION_BOSS_INFO_39	奖励
LEGION_BOSS_INFO_40	挑战次数已达上限
LEGION_BOSS_INFO_41	是否花费
LEGION_BOSS_INFO_42	进行一次挑战
LEGION_BOSS_INFO_43	BOSS挑战
LEGION_BOSS_INFO_44	BOSS很强，您要小心哦！
LEGION_BOSS_INFO_45	本次对BOSS造成伤害：
LEGION_BOSS_INFO_46	最后一击奖励：
WEEK_SIGN_DESC_STR	连续7日完成签到可领取极品大奖!
ACTIVITY_TITLE	精彩活动
ACTIVITY_LIMIT	限时活动
LV_GIFT_DESC_STR	达到指定等级可获取豪华奖励!
STR_FIGHTING	战斗中
STR_TERRITORIAL_WAL_REPORT_DESC_1	在这里您可以查看到领地中发生的重大事件哦！
STR_WORLD_ENTRANCE_DESC_1	你有什么请求？
STR_WORLD_ENTRANCE_DESC_2	每隔一段时间我都会赏赐前来的人
STR_WORLD_ENTRANCE_DESC_3	请求赏赐
STR_WORLD_ENTRANCE_DESC_4	装备强化
STR_WORLD_ENTRANCE_DESC_5	装备附魔
STR_TERRITORIAL_WAL_DESC_1	玩家信息
STR_TERRITORIAL_WAL_DESC_2	所在军团
STR_TERRITORIAL_WAL_DESC_3	操作
STR_TERRITORIAL_WAL_DESC_4	敌人数量：
